target_url,source_list_gov_man
fns.usda.gov,TRUE
foia.af.mil,TRUE
folklife.si.edu,TRUE
fra.dot.gov,TRUE
frtib.gov,TRUE
fs.fed.us,TRUE
fsa.usda.gov,TRUE
fsis.usda.gov,TRUE
fta.dot.gov,TRUE
ftc.gov,TRUE
fws.gov,TRUE
gallaudet.edu,TRUE
gao.gov,TRUE
genome.gov,TRUE
ginniemae.gov,TRUE
gipsa.usda.gov,TRUE
goarmy.com,TRUE
gpo.gov,TRUE
greatamericanstations.com,TRUE
gsa.gov,TRUE
hhs.gov,TRUE
hirshhorn.si.edu,TRUE
history.army.mil,TRUE
house.gov,TRUE
howard.edu,TRUE
hqmc.marines.mil,TRUE
hrsa.gov,TRUE
hud.gov,TRUE
hudoig.gov,TRUE
iadb.org,TRUE
iaf.gov,TRUE
icj-cij.org,TRUE
ies.ed.gov,TRUE
ifc.org,TRUE
ihs.gov,TRUE
iic.org,TRUE
imf.org,TRUE
imls.gov,TRUE
imo.org,TRUE
instagram.com,TRUE
iom.int,TRUE
irs.gov,TRUE
its.bldrdoc.gov,TRUE
jcs.mil,TRUE
jpml.uscourts.gov,TRUE
justice.gov,TRUE
kennedy-center.org,TRUE
loc.gov,TRUE
lsc.gov,TRUE
marad.dot.gov,TRUE
marines.mil,TRUE
martinoticias.com,TRUE
mbda.gov,TRUE
mcrcc.osmre.gov,TRUE
mda.mil,TRUE
med.navy.mil,TRUE
micc.army.mil,TRUE
miga.org,TRUE
mnh.si.edu,TRUE
moneyfactory.com,TRUE
mortuary.af.mil,TRUE
msha.gov,TRUE
mspb.gov,TRUE
nal.usda.gov,TRUE
nasa.gov,TRUE
nasic.af.mil,TRUE
nasm.si.edu,TRUE
nass.usda.gov,TRUE
nationalservice.gov,TRUE
nature.nps.gov,TRUE
navair.navy.mil,TRUE
navsea.navy.mil,TRUE
navy.com,TRUE
navy.mil,TRUE
ncis.navy.mil,TRUE
ncpc.gov,TRUE
ncua.gov,TRUE
ndu.edu,TRUE
neh.gov,TRUE
nei.nih.gov,TRUE
nga.gov,TRUE
nga.mil,TRUE
nhlbi.nih.gov,TRUE
nhtsa.gov,TRUE
nia.nih.gov,TRUE
niaaa.nih.gov,TRUE
niaid.nih.gov,TRUE
niams.nih.gov,TRUE
nibib.nih.gov,TRUE
nichd.nih.gov,TRUE
nidcd.nih.gov,TRUE
nidcr.nih.gov,TRUE
niehs.nih.gov,TRUE
nigms.nih.gov,TRUE
nih.gov,TRUE
nimh.nih.gov,TRUE
nimhd.nih.gov,TRUE
ninds.nih.gov,TRUE
ninr.nih.gov,TRUE
nist.gov,TRUE
nlm.nih.gov,TRUE
nlrb.gov,TRUE
nmaahc.si.edu,TRUE
nmb.gov,TRUE
nmfs.noaa.gov,TRUE
noaa.gov,TRUE
npg.si.edu,TRUE
nps.gov,TRUE
nrc.gov,TRUE
nrcs.usda.gov,TRUE
nsa.gov,TRUE
nsf.gov,TRUE
ntia.doc.gov,TRUE
ntid.rit.edu,TRUE
ntionline.com,TRUE
ntis.gov,TRUE
ntsb.gov,TRUE
oalj.dol.gov,TRUE
oar.noaa.gov,TRUE
oas.org,TRUE
occ.gov,TRUE
oea.gov,TRUE
oge.gov,TRUE
oig.doc.gov,TRUE
oig.dol.gov,TRUE
ojp.gov,TRUE
omao.noaa.gov,TRUE
ondcp.gov,TRUE
oni.navy.mil,TRUE
onr.navy.mil,TRUE
opic.gov,TRUE
opm.gov,TRUE
osc.gov,TRUE
osha.gov,TRUE
oshrc.gov,TRUE
osi.af.mil,TRUE
osmre.gov,TRUE
ostp.gov,TRUE
pacaf.af.mil,TRUE
patientsafety.va.gov,TRUE
pbgc.gov,TRUE
peacecorps.gov,TRUE
pfpa.mil,TRUE
phe.gov,TRUE
phmsa.dot.gov,TRUE
poolsafely.gov,TRUE
prc.gov,TRUE
psc.gov,TRUE
public.navy.mil,TRUE
publicaffairs.af.mil,TRUE
rd.usda.gov,TRUE
read.gov,TRUE
recalls.gov,TRUE
rma.usda.gov,TRUE
rrb.gov,TRUE
safercar.gov,TRUE
safety.af.mil,TRUE
samhsa.gov,TRUE
sba.gov,TRUE
scholarlypress.si.edu,TRUE
sddc.army.mil,TRUE
seaway.dot.gov,TRUE
sec.gov,TRUE
secnav.navy.mil,TRUE
secretservice.gov,TRUE
senate.gov,TRUE
serc.si.edu,TRUE
si.edu,TRUE
sihr.si.edu,TRUE
sites.si.edu,TRUE
sji.gov,TRUE
smithsonianbooks.com,TRUE
smithsonianmag.com,TRUE
smithsonianofi.com,TRUE
sms.si.edu,TRUE
soc.mil,TRUE
socialsecurity.gov,TRUE
spawar.navy.mil,TRUE
ssa.gov,TRUE
ssp.navy.mil,TRUE
sss.gov,TRUE
state.gov,TRUE
stb.gov,TRUE
stri.org,TRUE
supremecourt.gov,TRUE
surgeongeneral.gov,TRUE
sustainablesites.org,TRUE
trade.gov,TRUE
trafficsafetymarketing.gov,TRUE
treasury.gov,TRUE
treasurydirect.gov,TRUE
ttb.gov,TRUE
tva.com,TRUE
un.org,TRUE
unicwash.org,TRUE
unionreports.gov,TRUE
usadf.gov,TRUE
usafa.af.mil,TRUE
usafe.af.mil,TRUE
usagm.gov,TRUE
usaid.gov,TRUE
usaraf.army.mil,TRUE
usbg.gov,TRUE
usbr.gov,TRUE
usccr.gov,TRUE
uscfc.uscourts.gov,TRUE
uscg.mil,TRUE
uscis.gov,TRUE
uscourts.cavc.gov,TRUE
uscourts.gov,TRUE
usda.gov,TRUE
usdoj.gov,TRUE
usgs.gov,TRUE
ushmm.org,TRUE
usip.org,TRUE
usitc.gov,TRUE
usma.edu,TRUE
usmarshals.gov,TRUE
usmc-mccs.org,TRUE
usmint.gov,TRUE
usna.edu,TRUE
usnabsd.com,TRUE
usno.navy.mil,TRUE
usphs.gov,TRUE
uspto.gov,TRUE
ussc.gov,TRUE
ustaxcourt.gov,TRUE
ustda.gov,TRUE
ustr.gov,TRUE
usuhs.edu,TRUE
usuhs.mil,TRUE
va.gov,TRUE
weather.gov,TRUE
whitehouse.gov,TRUE
whs.mil,TRUE
wilsoncenter.org,TRUE
worldbank.org,TRUE
wrcc.osmre.gov,TRUE
www2.ed.gov,TRUE
www2.gallaudet.edu,TRUE
acl.gov,TRUE
advocacy.sba.gov,TRUE
aec.army.mil,TRUE
afciviliancareers.com,TRUE
airnow.gov,TRUE
amlis.osmre.gov,TRUE
answers.ed.gov,TRUE
answers.usgs.gov,TRUE
apod.nasa.gov,TRUE
apps.fca.gov,TRUE
apps.irs.gov,TRUE
apps.nlrb.gov,TRUE
apps.opm.gov,TRUE
appsec.helpwithmybank.gov,TRUE
arc.fiscal.treasury.gov,TRUE
archivescatalog.imf.org,TRUE
arlweb.msha.gov,TRUE
arpa-e.energy.gov,TRUE
art.state.gov,TRUE
ask.gpo.gov,TRUE
ask.un.org,TRUE
bensguide.gpo.gov,TRUE
beta.bls.gov,TRUE
biamaps.doi.gov,TRUE
bioguideretro.congress.gov,TRUE
bjs.ojp.gov,TRUE
blog.gao.gov,TRUE
blog.usaid.gov,TRUE
blogs.bls.gov,TRUE
blogs.imf.org,TRUE
blogs.state.gov,TRUE
bookstore.gpo.gov,TRUE
calendar.nih.gov,TRUE
careers.occ.gov,TRUE
careers.state.gov,TRUE
careers.un.org,TRUE
catalog.archives.gov,TRUE
catalog.data.gov,TRUE
catalog.fdic.gov,TRUE
catalog.gpo.gov,TRUE
cfpub.epa.gov,TRUE
clerkpreview.house.gov,TRUE
cms.marad.dot.gov,TRUE
collegescorecard.ed.gov,TRUE
contractorconnection.gpo.gov,TRUE
cops.usdoj.gov,TRUE
crsreports.congress.gov,TRUE
data.bls.gov,TRUE
data.hrsa.gov,TRUE
data.iadb.org,TRUE
deamuseum.org,TRUE
directory.psc.gov,TRUE
disposal.gsa.gov,TRUE
documents.un.org,TRUE
dod.usajobs.gov,TRUE
download.bls.gov,TRUE
e-appeal.mspb.gov,TRUE
e3sm.org,TRUE
earthobservatory.nasa.gov,TRUE
eda.gov,TRUE
edis.usitc.gov,TRUE
edit.doi.gov,TRUE
eeoc.custhelp.com,TRUE
eeotraining.eeoc.gov,TRUE
efile.flra.gov,TRUE
efoia-pal.usda.gov,TRUE
efoia.bis.doc.gov,TRUE
efoiarequest.fdic.gov,TRUE
eldercare.acl.gov,TRUE
elderjustice.acl.gov,TRUE
energyplus.net,TRUE
engage.ushmm.org,TRUE
engage.wilsoncenter.org,TRUE
environmentalmigration.iom.int,TRUE
ephtracking.cdc.gov,TRUE
espanol.ncua.gov,TRUE
esrl.noaa.gov,TRUE
evaluation.iom.int,TRUE
faa.custhelp.com,TRUE
facts.usps.com,TRUE
fam.state.gov,TRUE
faq.ssa.gov,TRUE
fhwaapps.fhwa.dot.gov,TRUE
files.peacecorps.gov,TRUE
fiscal.treasury.gov,TRUE
fmc2.fmc.gov,TRUE
foia-pal.occ.gov,TRUE
foia.cdc.gov,TRUE
foia.state.gov,TRUE
foiaonline.gov,TRUE
foiaonline.regulations.gov,TRUE
foiarequest.usaid.gov,TRUE
foreignassistance.gov,TRUE
founders.archives.gov,TRUE
fws.gov,TRUE
gateway.usps.com,TRUE
gml.noaa.gov,TRUE
govbooktalk.gpo.gov,TRUE
gsaauctions.gov,TRUE
history.amtrak.com,TRUE
history.nasa.gov,TRUE
history.nih.gov,TRUE
history.state.gov,TRUE
historyhub.history.gov,TRUE
home.treasury.gov,TRUE
hr.nih.gov,TRUE
hts.usitc.gov,TRUE
ies.ed.gov,TRUE
ifcextapps.ifc.org,TRUE
imls.gov,TRUE
info.ahrq.gov,TRUE
innovation.cms.gov,TRUE
jobs.amtrak.com,TRUE
jobs.irs.gov,TRUE
jwst.nasa.gov,TRUE
kids-clerk.house.gov,TRUE
landscape.blm.gov,TRUE
learningenglish.voanews.com,TRUE
leb.fbi.gov,TRUE
library.worldbankimflib.org,TRUE
lincs.ed.gov,TRUE
m.facebook.com,TRUE
m.treasury.gov,TRUE
mapping.ncua.gov,TRUE
maritime.org,TRUE
media.un.org,TRUE
memory.loc.gov,TRUE
moneyfactory.gov,TRUE
moversguide.usps.com,TRUE
msc.fema.gov,TRUE
my.usajobs.gov,TRUE
navigator.blm.gov,TRUE
ncats.nih.gov,TRUE
nccdb.fmcsa.dot.gov,TRUE
nccih.nih.gov,TRUE
ncptt.nps.gov,TRUE
ned.nih.gov,TRUE
news.un.org,TRUE
newsinhealth.nih.gov,TRUE
nsd.rdc.noaa.gov,TRUE
ntl.bts.gov,TRUE
obamawhitehouse.archives.gov,TRUE
occ.gov,TRUE
oceanservice.noaa.gov,TRUE
ogc.osd.mil,TRUE
oig.eeoc.gov,TRUE
oig.federalreserve.gov,TRUE
oig.hhs.gov,TRUE
oig.justice.gov,TRUE
oig.nasa.gov,TRUE
oig.state.gov,TRUE
oig.treasury.gov,TRUE
oig.usaid.gov,TRUE
ojjdp.ojp.gov,TRUE
olc.worldbank.org,TRUE
olderindians.acl.gov,TRUE
oli.org,TRUE
oma.od.nih.gov,TRUE
omg.jpl.nasa.gov,TRUE
onsafety.cpsc.gov,TRUE
osc.gov,TRUE
oui.doleta.gov,TRUE
oversight.gov,TRUE
pe.usps.com,TRUE
pip.worldbank.org,TRUE
postalpro.usps.com,TRUE
procurement.amtrak.com,TRUE
prologue.blogs.archives.gov,TRUE
pronounce.voanews.com,TRUE
pubapps2.usitc.gov,TRUE
public.govdelivery.com,TRUE
publications.iadb.org,TRUE
pubs.er.usgs.gov,TRUE
railroads.dot.gov,TRUE
reg.usps.com,TRUE
register.state.gov,TRUE
research.fdic.gov,TRUE
rrb.gov,TRUE
safehelpline.org,TRUE
safetydata.fra.dot.gov,TRUE
salud.nih.gov,TRUE
sam.gov,TRUE
sbo.faa.gov,TRUE
science.nasa.gov,TRUE
sdbs.adb.org,TRUE
sdgs.un.org,TRUE
service.govdelivery.com,TRUE
servirglobal.net,TRUE
sftool.gov,TRUE
shop.nga.gov,TRUE
shop.un.org,TRUE
sites.google.com,TRUE
sor.epa.gov,TRUE
ssec.si.edu,TRUE
statemag.state.gov,TRUE
sti.nasa.gov,TRUE
store.samhsa.gov,TRUE
store.usgs.gov,TRUE
store.usps.com,TRUE
studentaid.ed.gov,TRUE
suicidepreventionlifeline.org,TRUE
supremecourthistory.org,TRUE
svs.gsfc.nasa.gov,TRUE
tile.loc.gov,TRUE
tools.cdc.gov,TRUE
tools.niehs.nih.gov,TRUE
tools.usps.com,TRUE
transition.fec.gov,TRUE
tva-azr-eastus-cdn-ep-tvawcm-prd.azureedge.net,TRUE
tva.com,TRUE
unofficeny.iom.int,TRUE
unsceb.org,TRUE
uscode.house.gov,TRUE
uscurrency.gov,TRUE
usepa.servicenowservices.com,TRUE
usgs.libguides.com,TRUE
usitc.gov,TRUE
uspsblog.com,TRUE
ustr.gov,TRUE
usun.usmission.gov,TRUE
vault.fbi.gov,TRUE
vesselhistory.marad.dot.gov,TRUE
vimeo.com,TRUE
visitor.r20.constantcontact.com,TRUE
wdr.doleta.gov,TRUE
abandonedmines.gov,TRUE
ada.gov,TRUE
airforce.com,TRUE
airnow.gov,TRUE
aphis.usda.gov,TRUE
archivesfoundation.org,TRUE
arctic.noaa.gov,TRUE
ascr.usda.gov,TRUE
cfo.gov,TRUE
challenge.gov,TRUE
chicagofed.org,TRUE
choosemyplate.gov,TRUE
climateinvestmentfunds.org,TRUE
commerce.gov,TRUE
consumer.ftc.gov,TRUE
docsteach.org,TRUE
doioig.gov,TRUE
donotcall.gov,TRUE
eftps.gov,TRUE
eia.gov,TRUE
eisenhowerlibrary.gov,TRUE
energystar.gov,TRUE
esrl.noaa.gov,TRUE
everycrsreport.com,TRUE
fbijobs.gov,TRUE
fbo.gov,TRUE
fdicig.gov,TRUE
fdicoig.gov,TRUE
feb.gov,TRUE
federalregister.gov,TRUE
federalreserveconsumerhelp.gov,TRUE
federalreservehistory.org,TRUE
ffiec.gov,TRUE
fic.nih.gov,TRUE
fletc.gov,TRUE
foia.gov,TRUE
forfeiture.gov,TRUE
ftccomplaintassistant.gov,TRUE
govinfo.gov,TRUE
gsaig.gov,TRUE
healthcare.gov,TRUE
helpwithmybank.gov,TRUE
hudexchange.info,TRUE
huduser.gov,TRUE
ice.gov,TRUE
identitytheft.gov,TRUE
ignet.gov,TRUE
indianaffairs.gov,TRUE
insurekidsnow.gov,TRUE
investor.gov,TRUE
ipcc.ch,TRUE
linkedin.com,TRUE
maritime.dot.gov,TRUE
medicaid.gov,TRUE
medicare.gov,TRUE
minneapolisfed.org,TRUE
moneyfactory.gov,TRUE
mycreditunion.gov,TRUE
myhealth.va.gov,TRUE
nationalarchivesstore.org,TRUE
nationalguard.com,TRUE
nesdis.noaa.gov,TRUE
niddk.nih.gov,TRUE
npms.phmsa.dot.gov,TRUE
obamalibrary.gov,TRUE
odni.gov,TRUE
ohchr.org,TRUE
oig.dhs.gov,TRUE
oig.dot.gov,TRUE
oig.lsc.gov,TRUE
opentech.fund,TRUE
oprm.va.gov,TRUE
organdonor.gov,TRUE
osbp.nasa.gov,TRUE
osti.gov,TRUE
ourdocuments.gov,TRUE
oversight.gov,TRUE
ptsd.va.gov,TRUE
radiosawa.com,TRUE
reaganlibrary.gov,TRUE
recreation.gov,TRUE
ree.usda.gov,TRUE
reginfo.gov,TRUE
research.gov,TRUE
rfa.org,TRUE
rferl.org,TRUE
richmondfed.org,TRUE
rmda.army.mil,TRUE
safehelpline.org,TRUE
sigpr.gov,TRUE
sigtarp.gov,TRUE
slideshare.net,TRUE
speaker.gov,TRUE
srs.fs.usda.gov,TRUE
stateoig.gov,TRUE
stopbullying.gov,TRUE
stopmedicarefraud.gov,TRUE
supertracker.usda.gov,TRUE
sustainability.gov,TRUE
telework.gov,TRUE
transit.dot.gov,TRUE
transportation.gov,TRUE
tsa.gov,TRUE
tsp.gov,TRUE
tva.gov,TRUE
tvakids.com,TRUE
unep.org,TRUE
usa.gov,TRUE
usajobs.gov,TRUE
uscurrency.gov,TRUE
usembassy.gov,TRUE
uspis.gov,TRUE
usps.com,TRUE
uspsoig.gov,TRUE
visitthecapitol.gov,TRUE
voanews.com,TRUE
volpe.dot.gov,TRUE
wfp.org,TRUE
whistleblower.gov,TRUE
womenshealth.va.gov,TRUE
work.uscg.mil,TRUE
youtube.com,TRUE
www2.fmc.gov,TRUE
www2.howard.edu,TRUE
www5.fdic.gov,TRUE
wwwn.cdc.gov,TRUE
wwwnc.cdc.gov,TRUE
youtu.be,TRUE
<webaddress>www.vacareers.gov,TRUE
