target_url,source_list_usagov
northcom.mil,TRUE
nrcs.usda.gov,TRUE
nrel.gov,TRUE
nro.gov,TRUE
ntis.gov,TRUE
ntsb.gov,TRUE
occ.treas.gov,TRUE
ocwr.gov,TRUE
oge.gov,TRUE
openworld.gov,TRUE
opm.gov,TRUE
ornl.gov,TRUE
osha.gov,TRUE
pacom.mil,TRUE
parentcenterhub.org,TRUE
pbgc.gov,TRUE
pclob.gov,TRUE
peacecorps.gov,TRUE
pfpa.mil,TRUE
pnnl.gov,TRUE
pppl.gov,TRUE
psa.gov,TRUE
radiosawa.com,TRUE
radiotelevisionmarti.com,TRUE
rd.usda.gov,TRUE
recalls.gov,TRUE
rrb.gov,TRUE
"saferproducts.gov, consumer product safety commission in spanish",TRUE
saferproducts.gov,TRUE
sandia.gov,TRUE
secretservice.gov,TRUE
socom.mil,TRUE
spacecom.mil,TRUE
ssab.gov,TRUE
sss.gov,TRUE
stb.gov,TRUE
trade.gov,TRUE
transit.dot.gov,TRUE
transportation.gov,TRUE
tsa.gov,TRUE
ttb.gov,TRUE
tva.com,TRUE
usa.gov,TRUE
usadf.gov,TRUE
usagm.gov,TRUE
usbr.gov,TRUE
uscg.mil,TRUE
uscgboating.org,TRUE
uscp.gov,TRUE
usda.gov,TRUE
usdalocalfoodportal.com,TRUE
usfa.fema.gov,TRUE
usff.navy.mil,TRUE
ushmm.org,TRUE
usich.gov,TRUE
usitc.gov,TRUE
usmarshals.gov,TRUE
usmint.gov,TRUE
usps.com,TRUE
ussc.gov,TRUE
ustranscom.mil,TRUE
usuhs.edu,TRUE
voatour.com,TRUE
wapa.gov,TRUE
weather.gov,TRUE
westpoint.edu,TRUE
whs.mil,TRUE
www6.slac.stanford.edu,TRUE
wwwn.cdc.gov,TRUE
