target_url,branch,agency,bureau,base_domain_pulse,source_list_federal_domains,source_list_pulse,source_list_dap,source_list_omb_idea,source_list_eotw,source_list_usagov,source_list_gov_man,source_list_uscourts,source_list_oira,source_list_other,source_list_mil_1,source_list_mil_2,source_list_dod_public,source_list_dotmil,source_list_final_url_websites,source_list_house_117th,source_list_senate_117th,source_list_gpo_fdlp,source_list_cisa,source_list_dod_2025,source_list_dap_2,source_list_usagov_clicks,source_list_usagov_clicks_mil,source_list_search_gov,source_list_search_gov_mil,source_list_public_inventory,source_list_non_gov_mil,source_list_govt_urls,source_list_hyperlink_domains,base_domain,top_level_domain,filtered
crisisnextdoor.gov,,,,crisisnextdoor.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,crisisnextdoor.gov,gov,false
ctoc.gov,,,,ctoc.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,ctoc.gov,gov,false
mail.ctoc.gov,,,,ctoc.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,ctoc.gov,gov,true
gitlab.df.gov,,,,df.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,df.gov,gov,false
digitaldashboard.gov,,,,digitaldashboard.gov,false,true,false,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,digitaldashboard.gov,gov,false
uat.digitaldashboard.gov,,,,digitaldashboard.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,digitaldashboard.gov,gov,true
disability.gov,,,,disability.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,disability.gov,gov,false
distracteddriving.gov,,,,distracteddriving.gov,false,true,false,true,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,distracteddriving.gov,gov,false
dod.gov,,,,dod.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,dod.gov,gov,false
abqhr.doeal.gov,,,,doeal.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,doeal.gov,gov,false
abqservices.doeal.gov,,,,doeal.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,doeal.gov,gov,false
autodiscover.doeal.gov,,,,doeal.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,doeal.gov,gov,true
otac.doeal.gov,,,,doeal.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,doeal.gov,gov,false
pnt.doeal.gov,,,,doeal.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,doeal.gov,gov,false
aqsweb.dol-esa.gov,,,,dol-esa.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,dol-esa.gov,gov,false
cqs.dol-esa.gov,,,,dol-esa.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,dol-esa.gov,gov,false
cqsweb.dol-esa.gov,,,,dol-esa.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,dol-esa.gov,gov,false
ecabws.dol-esa.gov,,,,dol-esa.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,dol-esa.gov,gov,false
eclaimant.dol-esa.gov,,,,dol-esa.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,dol-esa.gov,gov,false
ofccp.dol-esa.gov,,,,dol-esa.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,dol-esa.gov,gov,false
olms.dol-esa.gov,,,,dol-esa.gov,false,true,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,dol-esa.gov,gov,false
owcpconnect.dol-esa.gov,,,,dol-esa.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,dol-esa.gov,gov,false
seaportal.dol-esa.gov,,,,dol-esa.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,dol-esa.gov,gov,false
whd.dol-esa.gov,,,,dol-esa.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,dol-esa.gov,gov,false
dtv.gov,,,,dtv.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,dtv.gov,gov,false
dev.e-enterprise.gov,,,,e-enterprise.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,e-enterprise.gov,gov,true
e-enterprise.gov,,,,e-enterprise.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,e-enterprise.gov,gov,false
test.e-enterprise.gov,,,,e-enterprise.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,e-enterprise.gov,gov,true
earthsystemprediction.gov,,,,earthsystemprediction.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,earthsystemprediction.gov,gov,false
economicinclusion.gov,,,,economicinclusion.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,economicinclusion.gov,gov,false
eisenhowermemorial.gov,,,,eisenhowermemorial.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,eisenhowermemorial.gov,gov,false
legacy.eisenhowermemorial.gov,,,,eisenhowermemorial.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,eisenhowermemorial.gov,gov,false
timeline.eisenhowermemorial.gov,,,,eisenhowermemorial.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,eisenhowermemorial.gov,gov,false
endingthedocumentgame.gov,,,,endingthedocumentgame.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,endingthedocumentgame.gov,gov,false
ethicsburg.gov,,,,ethicsburg.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,ethicsburg.gov,gov,false
everykidinapark.gov,,,,everykidinapark.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,everykidinapark.gov,gov,false
fbf.gov,,,,fbf.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,fbf.gov,gov,false
fcg.gov,,,,fcg.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,fcg.gov,gov,false
fdicseguro.gov,,,,fdicseguro.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,fdicseguro.gov,gov,false
fea.gov,,,,fea.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,fea.gov,gov,false
fedidcard.gov,,,,fedidcard.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,fedidcard.gov,gov,false
fedrooms.gov,,,,fedrooms.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,fedrooms.gov,gov,false
financialstability.gov,,,,financialstability.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,financialstability.gov,gov,false
firstfreedom.gov,,,,firstfreedom.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,firstfreedom.gov,gov,false
communities.firstresponder.gov,,,,firstresponder.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,firstresponder.gov,gov,false
firstresponder.gov,,,,firstresponder.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,firstresponder.gov,gov,false
afsptest.flightschoolcandidates.gov,,,,flightschoolcandidates.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,flightschoolcandidates.gov,gov,false
flightschoolcandidates.gov,,,,flightschoolcandidates.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,flightschoolcandidates.gov,gov,false
foiaonline.gov,,,,foiaonline.gov,false,true,false,true,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,true,foiaonline.gov,gov,false
foodsafetyjobs.gov,,,,foodsafetyjobs.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,foodsafetyjobs.gov,gov,false
freshempire.gov,,,,freshempire.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,freshempire.gov,gov,false
frpg.gov,,,,frpg.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,frpg.gov,gov,false
apps.fs.fed.us,,,,fs.fed.us,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,fed.us,us,false
fhm.fs.fed.us,,,,fs.fed.us,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,fed.us,us,false
fia.fs.fed.us,,,,fs.fed.us,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,fed.us,us,false
forest-atlas.fs.fed.us,,,,fs.fed.us,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,fed.us,us,false
fpl.fs.fed.us,,,,fs.fed.us,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,fed.us,us,false
fs.fed.us,,,,fs.fed.us,false,true,false,false,true,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,fed.us,us,false
na.fs.fed.us,,,,fs.fed.us,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,fed.us,us,false
ncrs.fs.fed.us,,,,fs.fed.us,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,fed.us,us,false
nrs.fs.fed.us,,,,fs.fed.us,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,fed.us,us,false
nsl.fs.fed.us,,,,fs.fed.us,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,fed.us,us,false
roadless.fs.fed.us,,,,fs.fed.us,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,fed.us,us,false
srs.fs.fed.us,,,,fs.fed.us,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,fed.us,us,false
treesearch.fs.fed.us,,,,fs.fed.us,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,fed.us,us,false
webcam.srs.fs.fed.us,,,,fs.fed.us,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,fed.us,us,false
www1.fpl.fs.fed.us,,,,fs.fed.us,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,fed.us,us,true
c8ejol7s.ftccomplaintassistant.gov,,,,ftccomplaintassistant.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,ftccomplaintassistant.gov,gov,false
chat.ftccomplaintassistant.gov,,,,ftccomplaintassistant.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,ftccomplaintassistant.gov,gov,false
cloudbeta.ftccomplaintassistant.gov,,,,ftccomplaintassistant.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,ftccomplaintassistant.gov,gov,false
dr-www.ftccomplaintassistant.gov,,,,ftccomplaintassistant.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,ftccomplaintassistant.gov,gov,true
ftccomplaintassistant.gov,,,,ftccomplaintassistant.gov,false,true,false,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,ftccomplaintassistant.gov,gov,false
ftcefile.gov,,,,ftcefile.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,ftcefile.gov,gov,false
g72020.gov,,,,g72020.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,g72020.gov,gov,false
g7campdavid.gov,,,,g7campdavid.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,g7campdavid.gov,gov,false
g7usa.gov,,,,g7usa.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,g7usa.gov,gov,false
geomac.gov,,,,geomac.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,geomac.gov,gov,false
admin.globalchange.gov,,,,globalchange.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,globalchange.gov,gov,true
assessment.globalchange.gov,,,,globalchange.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,globalchange.gov,gov,false
contribute.globalchange.gov,,,,globalchange.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,globalchange.gov,gov,false
data.globalchange.gov,,,,globalchange.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,true,false,false,false,false,false,globalchange.gov,gov,false
downloads.globalchange.gov,,,,globalchange.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,globalchange.gov,gov,false
globalchange.gov,,,,globalchange.gov,false,true,false,true,true,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,globalchange.gov,gov,false
health2016.globalchange.gov,,,,globalchange.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,false,globalchange.gov,gov,false
indicators.globalchange.gov,,,,globalchange.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,globalchange.gov,gov,false
library.globalchange.gov,,,,globalchange.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,globalchange.gov,gov,false
match.globalchange.gov,,,,globalchange.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,globalchange.gov,gov,false
nca2009.globalchange.gov,,,,globalchange.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,globalchange.gov,gov,false
nca2014.globalchange.gov,,,,globalchange.gov,false,true,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,true,false,false,false,false,true,globalchange.gov,gov,false
ncadac.globalchange.gov,,,,globalchange.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,globalchange.gov,gov,false
review.globalchange.gov,,,,globalchange.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,globalchange.gov,gov,false
