target_url,branch,agency,bureau,base_domain_pulse,source_list_federal_domains,source_list_pulse,source_list_dap,source_list_omb_idea,source_list_eotw,source_list_usagov,source_list_gov_man,source_list_uscourts,source_list_oira,source_list_other,source_list_mil_1,source_list_mil_2,source_list_dod_public,source_list_dotmil,source_list_final_url_websites,source_list_house_117th,source_list_senate_117th,source_list_gpo_fdlp,source_list_cisa,source_list_dod_2025,source_list_dap_2,source_list_usagov_clicks,source_list_usagov_clicks_mil,source_list_search_gov,source_list_search_gov_mil,source_list_public_inventory,base_domain,top_level_domain,filtered
stageaoa.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
stageapps.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
stagedirectory.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
stageeldercare.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
stageeldercare2.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
stageeldercare3.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
stagemis.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
stagenadrc.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
stagencea.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
stagencler.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
stagenlrc.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
stagenoa.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,acl.gov,gov,true
stagenwdmt.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
stageoam.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
stageolderindians2.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
stageoralhealth.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
stageskywalker.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
stageweaad.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
stagewwwaclgov2.acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,acl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acl.gov,gov,true
origin-www.acquisition.gov,Executive,General Services Administration,"GSA, IC, Acquisition",acquisition.gov,false,true,true,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,acquisition.gov,gov,true
autodiscover.acus.gov,Executive,Administrative Conference of the United States,,acus.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,acus.gov,gov,true
2www.adlnet.gov,Executive,Department of Defense,Defense Human Resources Activity,adlnet.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,adlnet.gov,gov,true
mail.adlnet.gov,Executive,Department of Defense,Defense Human Resources Activity,adlnet.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,adlnet.gov,gov,true
sandbox.adlnet.gov,Executive,Department of Defense,Defense Human Resources Activity,adlnet.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,adlnet.gov,gov,true
autodiscover.ahcpr.gov,Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,ahcpr.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,ahcpr.gov,gov,true
accounts.ahrq.gov,Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,ahrq.gov,false,true,false,true,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,ahrq.gov,gov,true
accountstest.ahrq.gov,Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,ahrq.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,ahrq.gov,gov,true
api.daa.ahrq.gov,Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,ahrq.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,ahrq.gov,gov,true
autodiscover.ahrq.gov,Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,ahrq.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,ahrq.gov,gov,true
cdn-stage.ahrq.gov,Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,ahrq.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,ahrq.gov,gov,true
dev.ahrq.gov,Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,ahrq.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,ahrq.gov,gov,true
prod.ahrq.gov,Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,ahrq.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,ahrq.gov,gov,true
autodiscover.aids.gov,Executive,Department of Health and Human Services,"Office of the Assistant Secretary for Health, Office of the Secretary",aids.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,aids.gov,gov,true
uat-www.amberalert.gov,Executive,Department of Justice,Office of Justice Programs,amberalert.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,amberalert.gov,gov,true
api.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
api.dev.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,america.gov,gov,true
api.edit.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
campususa.edit.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
campususa.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
courses.dev.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,america.gov,gov,true
courses.edit.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
courses.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
dev.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,america.gov,gov,true
dmgt.edit.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
edit.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,america.gov,gov,true
edit.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
fact.dev.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,america.gov,gov,true
interactive.edit.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
interactive.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
publications.edit.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
publications.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
rfj.edit.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
rfj.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
search.dev.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,america.gov,gov,true
search.edit.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
share.dev.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
share.edit.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
share.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
static.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,true,false,false,false,false,america.gov,gov,true
techcamp.edit.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
techcamp.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
translations.edit.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
translations.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
yali.dev.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,america.gov,gov,true
yali.edit.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
yali.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
ylai.edit.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
ylai.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
yseali.edit.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
yseali.staging.america.gov,Executive,Department of State,Bureau of Global Public Affairs (GPA),america.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,america.gov,gov,true
idp-ext.ameslab.gov,Executive,Department of Energy,Ames Laboratory,ameslab.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,ameslab.gov,gov,true
idp.ameslab.gov,Executive,Department of Energy,Ames Laboratory,ameslab.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,ameslab.gov,gov,true
mail.amtrakoig.gov,Executive,AMTRAK,Office of Inspector General,amtrakoig.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,amtrakoig.gov,gov,true
origin.www.anchorit.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,anchorit.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,anchorit.gov,gov,true
access.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,anl.gov,gov,true
accounts.alcf.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,anl.gov,gov,true
accounts.jlse.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,anl.gov,gov,true
accounts.lcrc.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,anl.gov,gov,true
accounts.mcs.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,anl.gov,gov,true
api.metagenomics.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,anl.gov,gov,true
atlaswww.hep.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,anl.gov,gov,true
autodiscover.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,anl.gov,gov,true
dash-stage.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,anl.gov,gov,true
data-stage.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,anl.gov,gov,true
data-test.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,anl.gov,gov,true
dev-dash.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,anl.gov,gov,true
dev-sec-dash.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,anl.gov,gov,true
fpsstage.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,anl.gov,gov,true
ftp.mcs.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,anl.gov,gov,true
login-test.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,anl.gov,gov,true
mail.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,anl.gov,gov,true
napac2016-stg.aps.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,anl.gov,gov,true
nccadwww.iac.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,anl.gov,gov,true
sharepoint.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,anl.gov,gov,true
staging-www.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,anl.gov,gov,true
svn.alcf.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,false,anl.gov,gov,true
svn.aps.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false,false,false,false,false,false,false,anl.gov,gov,true
svn.mcs.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,anl.gov,gov,true
tour-dev.aps.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,anl.gov,gov,true
tour-stg.aps.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,anl.gov,gov,true
usersmeeting-dev.conference.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,anl.gov,gov,true
usersmeeting-stg.conference.anl.gov,Executive,Department of Energy,Argonne National Laboratory,anl.gov,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,anl.gov,gov,true
