target_url,source_list_dap
spaceplace.nasa.gov,TRUE
nih.gov,TRUE
ods.od.nih.gov,TRUE
fsis.usda.gov,TRUE
fws.gov,TRUE
ready.gov,TRUE
donotcall.gov,TRUE
nist.gov,TRUE
therealcost.betobaccofree.hhs.gov,TRUE
mytravel.state.gov,TRUE
dea.gov,TRUE
e-verify.gov,TRUE
nces.ed.gov,TRUE
postcalc.usps.com,TRUE
samhsa.gov,TRUE
wwwnc.cdc.gov,TRUE
time.gov,TRUE
cpsc.gov,TRUE
uscourts.gov,TRUE
fcc.gov,TRUE
fmcsa.dot.gov,TRUE
fdc.nal.usda.gov,TRUE
new.nsf.gov,TRUE
signin.usastaffing.gov,TRUE
usda.gov,TRUE
health.gov,TRUE
usaid.gov,TRUE
earthobservatory.nasa.gov,TRUE
home.army.mil,TRUE
mentalhealth.va.gov,TRUE
ninds.nih.gov,TRUE
commerce.gov,TRUE
data.bls.gov,TRUE
ice.gov,TRUE
tidesandcurrents.noaa.gov,TRUE
climate.gov,TRUE
coast.noaa.gov,TRUE
help.usajobs.gov,TRUE
transportation.gov,TRUE
emailus.usps.com,TRUE
nlm.nih.gov,TRUE
training.fema.gov,TRUE
search.treasury.gov,TRUE
ofac.treasury.gov,TRUE
marines.mil,TRUE
bb.usembassy.gov,TRUE
hts.usitc.gov,TRUE
news.va.gov,TRUE
auth.nih.gov,TRUE
blm.gov,TRUE
usembassy.gov,TRUE
flag.dol.gov,TRUE
ed.gov,TRUE
data.census.gov,TRUE
identitytheft.gov,TRUE
account.ncbi.nlm.nih.gov,TRUE
niams.nih.gov,TRUE
tricare.mil,TRUE
metoc.navy.mil,TRUE
mynavyhr.navy.mil,TRUE
mx.usembassy.gov,TRUE
af.mil,TRUE
faq.ssa.gov,TRUE
blogs.nasa.gov,TRUE
time.gov,TRUE
pe.usps.com,TRUE
solarsystem.nasa.gov,TRUE
floodsmart.gov,TRUE
ojp.gov,TRUE
fisheries.noaa.gov,TRUE
ahrq.gov,TRUE
acquisition.gov,TRUE
osti.gov,TRUE
grants.gov,TRUE
nsf.gov,TRUE
militaryonesource.mil,TRUE
dfas.mil,TRUE
americorps.gov,TRUE
fire.airnow.gov,TRUE
iafdb.travel.state.gov,TRUE
armypubs.army.mil,TRUE
gateway.usps.com,TRUE
energystar.gov,TRUE
ace.cbp.gov,TRUE
benefits.va.gov,TRUE
medicaid.gov,TRUE
doi.gov,TRUE
travel.dod.mil,TRUE
nidcd.nih.gov,TRUE
data.cms.gov,TRUE
blog.ssa.gov,TRUE
newsinhealth.nih.gov,TRUE
jpl.nasa.gov,TRUE
tricare.mil,TRUE
acf.hhs.gov,TRUE
in.usembassy.gov,TRUE
bwt.cbp.gov,TRUE
rd.usda.gov,TRUE
csrc.nist.gov,TRUE
cuidadodesalud.gov,TRUE
fec.gov,TRUE
search.cdc.gov,TRUE
firms.modaps.eosdis.nasa.gov,TRUE
ntia.doc.gov,TRUE
plus.nasa.gov,TRUE
nei.nih.gov,TRUE
research.gov,TRUE
webbook.nist.gov,TRUE
sites.ed.gov,TRUE
usmint.gov,TRUE
ecomp.dol.gov,TRUE
espanol.nichd.nih.gov,TRUE
eg.usembassy.gov,TRUE
br.usembassy.gov,TRUE
poboxes.usps.com,TRUE
uk.usembassy.gov,TRUE
nccih.nih.gov,TRUE
employeeexpress.gov,TRUE
securityawareness.usalearning.gov,TRUE
broadbandusa.ntia.doc.gov,TRUE
trumpwhitehouse.archives.gov,TRUE
niaaa.nih.gov,TRUE
jfklibrary.org,TRUE
dla.mil,TRUE
history.navy.mil,TRUE
choose.va.gov,TRUE
mycg.uscg.mil,TRUE
nichd.nih.gov,TRUE
marine.weather.gov,TRUE
afdc.energy.gov,TRUE
fsa.usda.gov,TRUE
eclkc.ohs.acf.hhs.gov,TRUE
help.cbp.gov,TRUE
dcsa.mil,TRUE
department.va.gov,TRUE
jp.usembassy.gov,TRUE
hiv.gov,TRUE
fincen.gov,TRUE
ada.gov,TRUE
obamawhitehouse.archives.gov,TRUE
navy.mil,TRUE
nrcs.usda.gov,TRUE
usaperformance.opm.gov,TRUE
fbijobs.gov,TRUE
regulations.gov,TRUE
atf.gov,TRUE
ams.usda.gov,TRUE
ers.usda.gov,TRUE
mobile.va.gov,TRUE
ic3.gov,TRUE
pk.usembassy.gov,TRUE
stemgateway.nasa.gov,TRUE
nrc.gov,TRUE
idcfars.bls.gov,TRUE
sacd.larc.nasa.gov,TRUE
observer.globe.gov,TRUE
ustraveldocs.com,TRUE
search.ssa.gov,TRUE
hudhomestore.gov,TRUE
eftps.gov,TRUE
era.nih.gov,TRUE
occ.gov,TRUE
digital.weather.gov,TRUE
earthexplorer.usgs.gov,TRUE
grants.gov,TRUE
seer.cancer.gov,TRUE
army.mil,TRUE
reportfraud.ftc.gov,TRUE
ca.usembassy.gov,TRUE
training.seer.cancer.gov,TRUE
pubmed-ncbi-nlm-nih-gov.translate.goog,TRUE
health.mil,TRUE
arcp.army.mil,TRUE
news.uscg.mil,TRUE
catalog.data.gov,TRUE
militarypay.defense.gov,TRUE
nlrb.gov,TRUE
ppubs.uspto.gov,TRUE
do.usembassy.gov,TRUE
consumidor.ftc.gov,TRUE
newsroom.tricare.mil,TRUE
ar.usembassy.gov,TRUE
atsdr.cdc.gov,TRUE
nsa.gov,TRUE
fiscaldata.treasury.gov,TRUE
publicportal.eeoc.gov,TRUE
careers.state.gov,TRUE
cftc.gov,TRUE
benefits.va.gov,TRUE
graphical.weather.gov,TRUE
smokefree.gov,TRUE
catalog.usmint.gov,TRUE
salud.nih.gov,TRUE
installations.militaryonesource.mil,TRUE
usmarshals.gov,TRUE
hivinfo.nih.gov,TRUE
public.cyber.mil,TRUE
huduser.gov,TRUE
aspr.hhs.gov,TRUE
nrel.gov,TRUE
acl.gov,TRUE
portal.consumerfinance.gov,TRUE
wpc.ncep.noaa.gov,TRUE
widget.airnow.gov,TRUE
rarediseases.info.nih.gov,TRUE
tva.com,TRUE
treasurydirect.gov,TRUE
ph.usembassy.gov,TRUE
es.usps.com,TRUE
climate.nasa.gov,TRUE
armytenmiler.com,TRUE
nij.ojp.gov,TRUE
vacareers.va.gov,TRUE
uspreventiveservicestaskforce.org,TRUE
catalog.archives.gov,TRUE
fsd.gov,TRUE
servicesonline.opm.gov,TRUE
usaspending.gov,TRUE
dcma.mil,TRUE
translated.turbopages.org,TRUE
grc.nasa.gov,TRUE
aoprals.state.gov,TRUE
aspe.hhs.gov,TRUE
ptsd.va.gov,TRUE
passportappointment.travel.state.gov,TRUE
clinicaltrials.gov,TRUE
2009-2017.state.gov,TRUE
niaid.nih.gov,TRUE
nidcr.nih.gov,TRUE
farmers.gov,TRUE
foodsafety.gov,TRUE
healthit.gov,TRUE
secretservice.gov,TRUE
nifc.gov,TRUE
pmc.ncbi.nlm.nih.gov,TRUE
nationalguard.mil,TRUE
mn.usembassy.gov,TRUE
cnrse.cnic.navy.mil,TRUE
ospo.noaa.gov,TRUE
clinicalinfo.hiv.gov,TRUE
peacecorps.gov,TRUE
m.usps.com,TRUE
aetc.af.mil,TRUE
reaganlibrary.gov,TRUE
scijinks.gov,TRUE
covid.cdc.gov,TRUE
cscrip.ntia.gov,TRUE
china.usembassy-china.org.cn,TRUE
airuniversity.af.edu,TRUE
il.usembassy.gov,TRUE
lejeune.marines.mil,TRUE
vetrecs.archives.gov,TRUE
stopbullying.gov,TRUE
magazine.medlineplus.gov,TRUE
seasonaljobs.dol.gov,TRUE
amc.af.mil,TRUE
niehs.nih.gov,TRUE
cem.va.gov,TRUE
hrsa.gov,TRUE
worldview.earthdata.nasa.gov,TRUE
occ.gov,TRUE
neh.gov,TRUE
espanol.epa.gov,TRUE
studyinthestates.dhs.gov,TRUE
bsaefiling.fincen.treas.gov,TRUE
apprenticeship.gov,TRUE
gpm.nasa.gov,TRUE
bia.gov,TRUE
usace.army.mil,TRUE
childwelfare.gov,TRUE
highways.dot.gov,TRUE
nro.gov,TRUE
health.mil,TRUE
co.usembassy.gov,TRUE
portal.cms.cmsnet,TRUE
shadesofgreen.org,TRUE
www-search.uspto.gov,TRUE
search.usembassy.gov,TRUE
www1.grc.nasa.gov,TRUE
fas.usda.gov,TRUE
bja.ojp.gov,TRUE
ars.usda.gov,TRUE
publichealth.va.gov,TRUE
tr.usembassy.gov,TRUE
ngmdb.usgs.gov,TRUE
cl.usembassy.gov,TRUE
share.america.gov,TRUE
postalpro.usps.com,TRUE
insurekidsnow.gov,TRUE
wwwn.cdc.gov,TRUE
usar.army.mil,TRUE
my.americorps.gov,TRUE
ng.usembassy.gov,TRUE
nal.usda.gov,TRUE
svs.gsfc.nasa.gov,TRUE
evus.gov,TRUE
onlineclaims.usps.com,TRUE
climatekids.nasa.gov,TRUE
apps.nationalmap.gov,TRUE
ec.usembassy.gov,TRUE
gsaauctions.gov,TRUE
vn.usembassy.gov,TRUE
europa.nasa.gov,TRUE
bep.gov,TRUE
bis.gov,TRUE
ttb.gov,TRUE
espanol.cdc.gov,TRUE
uspsdelivers.com,TRUE
nibib.nih.gov,TRUE
plants.usda.gov,TRUE
ebuy.gsa.gov,TRUE
first.uscis.gov,TRUE
owcpmed.dol.gov,TRUE
gt.usembassy.gov,TRUE
community.fema.gov,TRUE
helpwithmybank.gov,TRUE
data.ntsb.gov,TRUE
l0dup05.larc.nasa.gov,TRUE
tsaprecheckbytelos.tsa.dhs.gov,TRUE
ncbi.nlm.nih.gov,TRUE
ciencia.nasa.gov,TRUE
nationalmuseum.af.mil,TRUE
usfa.fema.gov,TRUE
emergency.cdc.gov,TRUE
es-tools.usps.com,TRUE
georgewbush-whitehouse.archives.gov,TRUE
founders.archives.gov,TRUE
home.nps.gov,TRUE
llnl.gov,TRUE
med.navy.mil,TRUE
bsaefiling.fincen.gov,TRUE
access-board.gov,TRUE
urs.earthdata.nasa.gov,TRUE
cdse.edu,TRUE
navsea.navy.mil,TRUE
stacks.cdc.gov,TRUE
cool.osd.mil,TRUE
ru.usembassy.gov,TRUE
fiscal.treasury.gov,TRUE
it.usembassy.gov,TRUE
ncua.gov,TRUE
ies.ed.gov,TRUE
medlineplus-gov.translate.goog,TRUE
bie.edu,TRUE
gispub.epa.gov,TRUE
pe.usembassy.gov,TRUE
cd.usembassy.gov,TRUE
fincenid.fincen.gov,TRUE
irs.usajobs.gov,TRUE
2001-2009.state.gov,TRUE
spaceforce.mil,TRUE
elibrary.ferc.gov,TRUE
afpc.af.mil,TRUE
arts.gov,TRUE
secsearch.sec.gov,TRUE
tn.usembassy.gov,TRUE
oceanexplorer.noaa.gov,TRUE
data.gov,TRUE
careers.cbp.gov,TRUE
th.usembassy.gov,TRUE
fiscal.treasury.gov,TRUE
dco.uscg.mil,TRUE
uscg.mil,TRUE
netc.navy.mil,TRUE
globaldossier.uspto.gov,TRUE
gsaauctions.gov,TRUE
smap.jpl.nasa.gov,TRUE
retail-pi.usps.com,TRUE
eddm.usps.com,TRUE
vlm.cem.va.gov,TRUE
recruiting.army.mil,TRUE
prologue.blogs.archives.gov,TRUE
bphc.hrsa.gov,TRUE
ornl.gov,TRUE
usbr.gov,TRUE
effectivehealthcare.ahrq.gov,TRUE
collegescorecard.ed.gov,TRUE
research.fs.usda.gov,TRUE
support.nlm.nih.gov,TRUE
hr.nih.gov,TRUE
ferc.gov,TRUE
lb.usembassy.gov,TRUE
search.archives.gov,TRUE
store.samhsa.gov,TRUE
dietaryguidelines.gov,TRUE
pnnl.gov,TRUE
jobcorps.gov,TRUE
phmsa.dot.gov,TRUE
ers.cr.usgs.gov,TRUE
bf.usembassy.gov,TRUE
idp.int.identitysandbox.gov,TRUE
intelligencecareers.gov,TRUE
bd.usembassy.gov,TRUE
trumanlibrary.gov,TRUE
idcf.bls.gov,TRUE
usitc.gov,TRUE
iqrs.npdb.hrsa.gov,TRUE
armyupress.army.mil,TRUE
georgewbushlibrary.gov,TRUE
wrh.noaa.gov,TRUE
2014-2018.firstnet.gov,TRUE
arpa-h.gov,TRUE
usagm.gov,TRUE
landsat.gsfc.nasa.gov,TRUE
search.epa.gov,TRUE
bjs.ojp.gov,TRUE
psnet.ahrq.gov,TRUE
msha.gov,TRUE
esd.whs.mil,TRUE
ehp.niehs.nih.gov,TRUE
et.usembassy.gov,TRUE
assignment.uspto.gov,TRUE
pbgc.gov,TRUE
fr.usembassy.gov,TRUE
abmc.gov,TRUE
complaint.ic3.gov,TRUE
arlingtoncemetery.mil,TRUE
youth.gov,TRUE
gps.gov,TRUE
moon.nasa.gov,TRUE
cdx.epa.gov,TRUE
jcs.mil,TRUE
alzheimers.gov,TRUE
drought.gov,TRUE
webapps.dol.gov,TRUE
halekoa.com,TRUE
cameochemicals.noaa.gov,TRUE
5gchallenge.ntia.gov,TRUE
dcms.uscg.mil,TRUE
sandia.gov,TRUE
findtreatment.gov,TRUE
register.clinicaltrials.gov,TRUE
search.justice.gov,TRUE
sciencebase.gov,TRUE
mutcd.fhwa.dot.gov,TRUE
gsaelibrary.gsa.gov,TRUE
mars.nasa.gov,TRUE
imagine.gsfc.nasa.gov,TRUE
fpds.gov,TRUE
wamssoprd.epa.gov,TRUE
portfoliomanager.energystar.gov,TRUE
oceantoday.noaa.gov,TRUE
cumulis.epa.gov,TRUE
nepis.epa.gov,TRUE
forum.earthdata.nasa.gov,TRUE
transit.dot.gov,TRUE
ojjdp.ojp.gov,TRUE
jbsa.mil,TRUE
bg.usembassy.gov,TRUE
bhw.hrsa.gov,TRUE
occ.treas.gov,TRUE
blogs.cdc.gov,TRUE
nass.usda.gov,TRUE
search.nih.gov,TRUE
pages.nist.gov,TRUE
npdb.hrsa.gov,TRUE
americancenterjapan.com,TRUE
jo.usembassy.gov,TRUE
resources.hud.gov,TRUE
kids.niehs.nih.gov,TRUE
installations.pre.militaryonesource.mil,TRUE
www-cdc-gov.translate.goog,TRUE
sanctionslist.ofac.treas.gov,TRUE
eol.jsc.nasa.gov,TRUE
ro.usembassy.gov,TRUE
kr.usembassy.gov,TRUE
cr.usembassy.gov,TRUE
gsafleet.gov,TRUE
mchb.hrsa.gov,TRUE
ait.org.tw,TRUE
gh.usembassy.gov,TRUE
invasivespeciesinfo.gov,TRUE
bootcamp.navy.mil,TRUE
fhfa.gov,TRUE
optn.transplant.hrsa.gov,TRUE
es.usembassy.gov,TRUE
images.nasa.gov,TRUE
j1visa.state.gov,TRUE
recreation.gov,TRUE
afrl.af.mil,TRUE
bcrisktool.cancer.gov,TRUE
historyhub.history.gov,TRUE
icesat-2.gsfc.nasa.gov,TRUE
mobile.arc.nasa.gov,TRUE
earthdata.nasa.gov,TRUE
science.larc.nasa.gov,TRUE
ntp.niehs.nih.gov,TRUE
ssd.noaa.gov,TRUE
banks.data.fdic.gov,TRUE
cde.ucr.cjis.gov,TRUE
search.earthdata.nasa.gov,TRUE
espanol.stopbullying.gov,TRUE
dni.gov,TRUE
ssd.jpl.nasa.gov,TRUE
cm.usembassy.gov,TRUE
mu.usembassy.gov,TRUE
dz.usembassy.gov,TRUE
kz.usembassy.gov,TRUE
cac.mil,TRUE
bj.usembassy.gov,TRUE
de.usembassy.gov,TRUE
usmcu.edu,TRUE
jira.cms.gov,TRUE
au.usembassy.gov,TRUE
bts.gov,TRUE
foia.gov,TRUE
apps.usfa.fema.gov,TRUE
sdo.gsfc.nasa.gov,TRUE
exchanges.state.gov,TRUE
ug.usembassy.gov,TRUE
ned.nih.gov,TRUE
e-publishing.af.mil,TRUE
search.osha.gov,TRUE
sv.usembassy.gov,TRUE
reginfo.gov,TRUE
rma.usda.gov,TRUE
pl.usembassy.gov,TRUE
studentprivacy.ed.gov,TRUE
aab.larc.nasa.gov,TRUE
eclipse2017.nasa.gov,TRUE
nssl.noaa.gov,TRUE
missingmail.usps.com,TRUE
covid.gov,TRUE
uz.usembassy.gov,TRUE
physics.nist.gov,TRUE
careers.occ.gov,TRUE
programportal.hrsa.gov,TRUE
ohss.dhs.gov,TRUE
cu.usembassy.gov,TRUE
oedci.uspto.gov,TRUE
submit.ncbi.nlm.nih.gov,TRUE
nexus.od.nih.gov,TRUE
saj.usace.army.mil,TRUE
text-message.blogs.archives.gov,TRUE
childcare.gov,TRUE
its.ntia.gov,TRUE
primis-stage.phmsa.dot.gov,TRUE
globe.gov,TRUE
pvwatts.nrel.gov,TRUE
findit.state.gov,TRUE
everykidoutdoors.gov,TRUE
space.commerce.gov,TRUE
pacom.mil,TRUE
blog.dol.gov,TRUE
ae.usembassy.gov,TRUE
hazards.fema.gov,TRUE
vehiclehistory.bja.ojp.gov,TRUE
fatherhood.gov,TRUE
dodig.mil,TRUE
bhwnextgen.hrsa.gov,TRUE
power.larc.nasa.gov,TRUE
dodcio.defense.gov,TRUE
ctsu.org,TRUE
skillbridge.osd.mil,TRUE
echo.epa.gov,TRUE
rrb.gov,TRUE
directfile.irs.gov,TRUE
fletc.gov,TRUE
thinkculturalhealth.hhs.gov,TRUE
digital.va.gov,TRUE
namus.nij.ojp.gov,TRUE
oig.ssa.gov,TRUE
np.usembassy.gov,TRUE
pubmed-ncbi-nlm-nih-gov.proxy.insermbiblio.inist.fr,TRUE
centcom.mil,TRUE
research.va.gov,TRUE
nspires.nasaprs.com,TRUE
hn.usembassy.gov,TRUE
meshb.nlm.nih.gov,TRUE
photolibrary.usap.gov,TRUE
ke.usembassy.gov,TRUE
ua.usembassy.gov,TRUE
www2.occ.gov,TRUE
login.identitytheft.gov,TRUE
ffiec.cfpb.gov,TRUE
nfc.usda.gov,TRUE
ipp.gov,TRUE
nhsc.hrsa.gov,TRUE
surfpac.navy.mil,TRUE
railroads.dot.gov,TRUE
hk.usconsulate.gov,TRUE
nps.gov,TRUE
tech.ed.gov,TRUE
vacanteen.va.gov,TRUE
idcfoews.bls.gov,TRUE
ch.usembassy.gov,TRUE
nutrition.gov,TRUE
glorecords.blm.gov,TRUE
ma.usembassy.gov,TRUE
visualsonline.cancer.gov,TRUE
armymwr.com,TRUE
telehealth.hhs.gov,TRUE
home.grantsolutions.gov,TRUE
public.csr.nih.gov,TRUE
eqrs.cms.gov,TRUE
www2.helpwithmybank.gov,TRUE
music.af.mil,TRUE
hcup-us.ahrq.gov,TRUE
amberalert.ojp.gov,TRUE
dcp.psc.gov,TRUE
dia.mil,TRUE
ntia.gov,TRUE
niccs.cisa.gov,TRUE
medlinet.amedd.army.mil,TRUE
fedramp.gov,TRUE
cnic.navy.mil,TRUE
banknet.gov,TRUE
sa.usembassy.gov,TRUE
videocast.nih.gov,TRUE
digital.gov,TRUE
spr.doe.gov,TRUE
snaped.fns.usda.gov,TRUE
ovc.ojp.gov,TRUE
portal.gdc.cancer.gov,TRUE
mentalhealth.va.gov,TRUE
caregiver.va.gov,TRUE
nigms.nih.gov,TRUE
online-auction.state.gov,TRUE
apps.occ.gov,TRUE
edelweisslodgeandresort.com,TRUE
osac.gov,TRUE
macdill.af.mil,TRUE
llis.nasa.gov,TRUE
cfpub.epa.gov,TRUE
unwritten-record.blogs.archives.gov,TRUE
aff.gov,TRUE
consumidor.gov,TRUE
misr-test-1.larc.nasa.gov,TRUE
section508.gov,TRUE
oig.hhs.gov,TRUE
connect.usa.gov,TRUE
cacb.uscourts.gov,TRUE
ecc.nist.gov,TRUE
docline.gov,TRUE
airpac.navy.mil,TRUE
itl.nist.gov,TRUE
fai.gov,TRUE
oig.dhs.gov,TRUE
eldercare.acl.gov,TRUE
grants.hrsa.gov,TRUE
careers2.occ.gov,TRUE
cfo.usps.com,TRUE
nga.mil,TRUE
careers.pnnl.gov,TRUE
leb.fbi.gov,TRUE
webpricer.cms.gov,TRUE
soarworks.samhsa.gov,TRUE
ojp.gov,TRUE
usmap.osd.mil,TRUE
safetosleep.nichd.nih.gov,TRUE
services.occ.treas.gov,TRUE
datadashboard.fda.gov,TRUE
helpwithmybank.gov,TRUE
sewp.nasa.gov,TRUE
deadiversion.usdoj.gov,TRUE
intern.usajobs.gov,TRUE
nas.er.usgs.gov,TRUE
pubmed-ncbi-nlm-nih-gov.pbidi.unam.mx,TRUE
dw.opm.gov,TRUE
ncses.nsf.gov,TRUE
swot.jpl.nasa.gov,TRUE
answers.hud.gov,TRUE
arc.eeoc.gov,TRUE
careers.occ.gov,TRUE
sanctuaries.noaa.gov,TRUE
za.usembassy.gov,TRUE
oig.justice.gov,TRUE
pki.treasury.gov,TRUE
soho.nascom.nasa.gov,TRUE
access.fda.gov,TRUE
eisenhowerlibrary.gov,TRUE
asdc.larc.nasa.gov,TRUE
ferc.gov,TRUE
water.usgs.gov,TRUE
www2a.cdc.gov,TRUE
sealevel.nasa.gov,TRUE
dashboard.waterdata.usgs.gov,TRUE
oceancolor.sci.gsfc.nasa.gov,TRUE
performance.gov,TRUE
pa.usembassy.gov,TRUE
ccr.cancer.gov,TRUE
rethinkingdrinking.niaaa.nih.gov,TRUE
marketplace.fedramp.gov,TRUE
marforres.marines.mil,TRUE
hepatitis.va.gov,TRUE
portal.ice.gov,TRUE
minorityhealth.hhs.gov,TRUE
ml.usembassy.gov,TRUE
mycreditunion.gov,TRUE
ncbiinsights.ncbi.nlm.nih.gov,TRUE
1id.army.mil,TRUE
trace.ncbi.nlm.nih.gov,TRUE
www3.epa.gov,TRUE
ordspub.epa.gov,TRUE
patrick.spaceforce.mil,TRUE
hr.sandia.gov,TRUE
qualitynet.cms.gov,TRUE
wapa.gov,TRUE
commonfund.nih.gov,TRUE
fdrlibrary.org,TRUE
hpms.cms.gov,TRUE
orise.orau.gov,TRUE
americanenglish.state.gov,TRUE
docsteach.org,TRUE
dtops.cbp.dhs.gov,TRUE
data.nasa.gov,TRUE
cnreurafcent.cnic.navy.mil,TRUE
gracefo.jpl.nasa.gov,TRUE
odin.tradoc.army.mil,TRUE
starchild.gsfc.nasa.gov,TRUE
rosap.ntl.bts.gov,TRUE
dml.msfc.nasa.gov,TRUE
iq.usembassy.gov,TRUE
al.usembassy.gov,TRUE
cnrj.cnic.navy.mil,TRUE
mapping.ncua.gov,TRUE
cafc.uscourts.gov,TRUE
zh-tools.usps.com,TRUE
volcanoes.usgs.gov,TRUE
agents.floodsmart.gov,TRUE
technology.nasa.gov,TRUE
ramstein.af.mil,TRUE
trafficsafetymarketing.gov,TRUE
tmsearch.uspto.gov,TRUE
cfcgiving.opm.gov,TRUE
testinglocator.cdc.gov,TRUE
cdfifund.gov,TRUE
asc.gov,TRUE
exoplanets.nasa.gov,TRUE
certify.sba.gov,TRUE
mcrc.marines.mil,TRUE
cnrsw.cnic.navy.mil,TRUE
seedfund.nsf.gov,TRUE
diplomacy.state.gov,TRUE
cdp.dhs.gov,TRUE
opendap.larc.nasa.gov,TRUE
archive.ada.gov,TRUE
lrd.usace.army.mil,TRUE
cc.nih.gov,TRUE
mymarketnews.ams.usda.gov,TRUE
espanol.insurekidsnow.gov,TRUE
usun.usmission.gov,TRUE
smartpay.gsa.gov,TRUE
walterreed.tricare.mil,TRUE
mobilefire.airnow.gov,TRUE
fam.a.state.sbu,TRUE
comptox.epa.gov,TRUE
geocoding.geo.census.gov,TRUE
yali.state.gov,TRUE
19january2017snapshot.epa.gov,TRUE
bds.explorer.ces.census.gov,TRUE
eplanning.blm.gov,TRUE
mcrdsd.marines.mil,TRUE
netl.doe.gov,TRUE
hud4.my.site.com,TRUE
espanol.ninds.nih.gov,TRUE
teen.smokefree.gov,TRUE
boem.gov,TRUE
belvoir.armymwr.com,TRUE
ipac.ecosphere.fws.gov,TRUE
choosework.ssa.gov,TRUE
openpaymentsdata.cms.gov,TRUE
jobs.cdc.gov,TRUE
godirect.gov,TRUE
confluence.cms.gov,TRUE
amview.japan.usembassy.gov,TRUE
ops.fhwa.dot.gov,TRUE
opa.hhs.gov,TRUE
usdasearch.usda.gov,TRUE
