target_url,omb_idea_public,source_list_omb_idea
7id.xray.aps.anl.gov,TRUE,TRUE
7trestingstate.ctss.nih.gov,TRUE,TRUE
889.smartpay.gsa.gov,TRUE,TRUE
8af.af.mil,TRUE,TRUE
8astars.fas.gsa.gov,TRUE,TRUE
8thmarines.marines.mil,TRUE,TRUE
8thmcd.marines.mil,TRUE,TRUE
9-11commission.gov,TRUE,TRUE
901energyfacts.com,FALSE,TRUE
908aw.afrc.af.mil,TRUE,TRUE
911.gov,TRUE,TRUE
911commission.gov,TRUE,TRUE
913ag.afrc.af.mil,TRUE,TRUE
916arw.afrc.af.mil,TRUE,TRUE
919sow.afrc.af.mil,TRUE,TRUE
920rqw.afrc.af.mil,TRUE,TRUE
926wing.afrc.af.mil,TRUE,TRUE
927arw.afrc.af.mil,TRUE,TRUE
931arw.afrc.af.mil,TRUE,TRUE
932aw.afrc.af.mil,TRUE,TRUE
940arw.afrc.af.mil,TRUE,TRUE
944fw.afrc.af.mil,TRUE,TRUE
960cyber.afrc.af.mil,TRUE,TRUE
988lifeline.org,TRUE,TRUE
9thmcd.marines.mil,TRUE,TRUE
a2e.energy.gov,TRUE,TRUE
aab.larc.nasa.gov,TRUE,TRUE
aacinquiry.fas.gsa.gov,FALSE,TRUE
aad.archives.gov,TRUE,TRUE
aams.epa.gov,TRUE,TRUE
aas.gsa.gov,TRUE,TRUE
aasis.omha.hhs.gov,TRUE,TRUE
aasportal.fra.dot.gov,TRUE,TRUE
aatc.ang.af.mil,TRUE,TRUE
ab2d.cms.gov,TRUE,TRUE
abarrshvuat.ofac.treas.gov,FALSE,TRUE
abc.lbl.gov,TRUE,TRUE
abclab.jpl.nasa.gov,TRUE,TRUE
abmc.gov,TRUE,TRUE
about.lanl.gov,TRUE,TRUE
aboutusa.japan.usembassy.gov,FALSE,TRUE
above.nasa.gov,TRUE,TRUE
abp.cr.usgs.gov,TRUE,TRUE
abpdu.lbl.gov,TRUE,TRUE
acc.af.mil,TRUE,TRUE
accedeainternet.gov,TRUE,TRUE
accelerate.census.gov,TRUE,TRUE
access-board.gov,TRUE,TRUE
access.earthdata.nasa.gov,TRUE,TRUE
access.fda.gov,TRUE,TRUE
access.ginniemae.gov,TRUE,TRUE
access.va.gov,TRUE,TRUE
access1.bpa.gov,FALSE,TRUE
accessclinicaldata.niaid.nih.gov,TRUE,TRUE
accessdata.fda.gov,TRUE,TRUE
accessgudid.nlm.nih.gov,TRUE,TRUE
accessibility.18f.gov,TRUE,TRUE
accessibility.digital.gov,TRUE,TRUE
accesstest.trade.gov,FALSE,TRUE
accesstocare.va.gov,TRUE,TRUE
accfaaaccess.ed.gov,TRUE,TRUE
account.ncbi.nlm.nih.gov,TRUE,TRUE
accounts.ahrq.gov,FALSE,TRUE
accounts.alcf.anl.gov,FALSE,TRUE
accounts.cels.anl.gov,FALSE,TRUE
accounts.lb.csp.noaa.gov,FALSE,TRUE
accounts.noaa.gov,FALSE,TRUE
accpiv.treasury.gov,FALSE,TRUE
accs.cap.gov,TRUE,TRUE
accsso.treasury.gov,FALSE,TRUE
acd-ext.gsfc.nasa.gov,TRUE,TRUE
acd-pub.gsfc.nasa.gov,TRUE,TRUE
acd.od.nih.gov,TRUE,TRUE
ace-d3.cbp.gov,TRUE,TRUE
ace-d6.cbp.gov,TRUE,TRUE
ace-sat.cbp.gov,TRUE,TRUE
ace.cbp.gov,TRUE,TRUE
ace.niaid.nih.gov,TRUE,TRUE
acetool.commerce.gov,TRUE,TRUE
acf.hhs.gov,TRUE,TRUE
aci.nichd.nih.gov,TRUE,TRUE
acis.eoir.justice.gov,TRUE,TRUE
ack.usaccess.gsa.gov,FALSE,TRUE
acl.gov,TRUE,TRUE
acmc.marines.mil,TRUE,TRUE
acms.aphis.usda.gov,FALSE,TRUE
acmt.bis.doc.gov,FALSE,TRUE
acode-browser.usatlas.bnl.gov,TRUE,TRUE
acode-browser2.usatlas.bnl.gov,TRUE,TRUE
acoms-impl.cms.gov,FALSE,TRUE
acoms.cms.gov,FALSE,TRUE
acq-map.od.nih.gov,FALSE,TRUE
acq.osd.mil,TRUE,TRUE
acquisition.gov,TRUE,TRUE
acquisition.jpl.nasa.gov,TRUE,TRUE
acquisitionacademy.va.gov,TRUE,TRUE
acquisitiongateway.gov,TRUE,TRUE
acquisitions.usajobs.gov,TRUE,TRUE
acsl.ars.usda.gov,FALSE,TRUE
act24.nci.nih.gov,FALSE,TRUE
actev.nist.gov,TRUE,TRUE
actiontracker-jpss.nesdis.noaa.gov,FALSE,TRUE
activate.larc.nasa.gov,TRUE,TRUE
actribe.nsopw.gov,TRUE,TRUE
actuary.defense.gov,TRUE,TRUE
actuary.usajobs.gov,TRUE,TRUE
acwi.gov,TRUE,TRUE
ad-esh.fnal.gov,TRUE,TRUE
ad.fnal.gov,TRUE,TRUE
ada.gov,TRUE,TRUE
adams.nrc.gov,TRUE,TRUE
adamswebsearch2.nrc.gov,TRUE,TRUE
adc.arm.gov,TRUE,TRUE
addictionresearch.nih.gov,TRUE,TRUE
address.ncjrs.gov,FALSE,TRUE
adfs.nsf.gov,FALSE,TRUE
adfs.pnnl.gov,FALSE,TRUE
adgsupport.state.gov,FALSE,TRUE
adlnet.gov,TRUE,TRUE
admin-ovcncvrw.ncjrs.gov,TRUE,TRUE
admin.mytva.com,FALSE,TRUE
adms.fnal.gov,TRUE,TRUE
adoptionusca.state.gov,TRUE,TRUE
adp.noaa.gov,TRUE,TRUE
adr.af.mil,TRUE,TRUE
ads.tva.gov,FALSE,TRUE
adsorption.nist.gov,TRUE,TRUE
adstracker.cdan.dot.gov,TRUE,TRUE
adt.larc.nasa.gov,TRUE,TRUE
advancedprojects.pppl.gov,FALSE,TRUE
adviserinfo.sec.gov,TRUE,TRUE
advocacy.sba.gov,TRUE,TRUE
ae.usembassy.gov,TRUE,TRUE
aefla.ed.gov,TRUE,TRUE
ael.gsfc.nasa.gov,TRUE,TRUE
aeon.hosc.msfc.nasa.gov,FALSE,TRUE
aeonivv2.hosc.msfc.nasa.gov,FALSE,TRUE
aeonivv2ms.hosc.msfc.nasa.gov,FALSE,TRUE
aeonivv2owa.hosc.msfc.nasa.gov,FALSE,TRUE
aeonivv2sk.hosc.msfc.nasa.gov,FALSE,TRUE
aeonivv2sp.hosc.msfc.nasa.gov,FALSE,TRUE
aeonms.hosc.msfc.nasa.gov,FALSE,TRUE
aeonodte.hosc.msfc.nasa.gov,FALSE,TRUE
aeonodte2.hosc.msfc.nasa.gov,FALSE,TRUE
aeonowa.hosc.msfc.nasa.gov,FALSE,TRUE
aeonsk.hosc.msfc.nasa.gov,FALSE,TRUE
aeonsp.hosc.msfc.nasa.gov,FALSE,TRUE
aepubs.eur.army.mil,TRUE,TRUE
aero-fp.larc.nasa.gov,TRUE,TRUE
aero.larc.nasa.gov,TRUE,TRUE
aerocenter.gsfc.nasa.gov,TRUE,TRUE
aeroelasticity.larc.nasa.gov,TRUE,TRUE
aeronet.gsfc.nasa.gov,TRUE,TRUE
aesics.cr.usgs.gov,TRUE,TRUE
aesir.gsfc.nasa.gov,FALSE,TRUE
aetc.af.mil,TRUE,TRUE
aether.lbl.gov,TRUE,TRUE
af.mil,TRUE,TRUE
af.usembassy.gov,TRUE,TRUE
afaa.af.mil,TRUE,TRUE
afadvantage.gov,TRUE,TRUE
afams.af.mil,TRUE,TRUE
afcec.af.mil,TRUE,TRUE
afcent.af.mil,TRUE,TRUE
afd.defense.gov,TRUE,TRUE
afdc.energy.gov,TRUE,TRUE
afdw.af.mil,TRUE,TRUE
aff.gov,FALSE,TRUE
affordableconnectivity.gov,TRUE,TRUE
afgsc.af.mil,TRUE,TRUE
afhistory.af.mil,TRUE,TRUE
afhistoryandmuseums.af.mil,TRUE,TRUE
afhra.af.mil,TRUE,TRUE
afimsc.af.mil,TRUE,TRUE
afinspectorgeneral.af.mil,TRUE,TRUE
afjag.af.mil,TRUE,TRUE
aflcmc.af.mil,TRUE,TRUE
afm.fmi.gov,FALSE,TRUE
afmaa.af.mil,TRUE,TRUE
afmc.af.mil,TRUE,TRUE
afmss.blm.gov,TRUE,TRUE
afni.nimh.nih.gov,TRUE,TRUE
afnwc.af.mil,TRUE,TRUE
afod.eur.army.mil,TRUE,TRUE
afotec.af.mil,TRUE,TRUE
afpc.af.mil,TRUE,TRUE
afrc.af.mil,TRUE,TRUE
afrims.health.mil,TRUE,TRUE
afrl.af.mil,TRUE,TRUE
afsbeurope.army.mil,TRUE,TRUE
afsbirsttr.af.mil,TRUE,TRUE
afsc.af.mil,TRUE,TRUE
afsfc.af.mil,TRUE,TRUE
afsoc.af.mil,TRUE,TRUE
afspc.af.mil,TRUE,TRUE
aft3.af.mil,TRUE,TRUE
aftc.af.mil,TRUE,TRUE
afwerx.af.mil,TRUE,TRUE
agc.army.mil,TRUE,TRUE
agclass.nal.usda.gov,TRUE,TRUE
age.edc.usda.gov,FALSE,TRUE
agencyportal.usajobs.gov,TRUE,TRUE
agents.floodsmart.gov,TRUE,TRUE
ageweb.irp.nia.nih.gov,FALSE,TRUE
aghealth.nih.gov,TRUE,TRUE
agid.acl.gov,TRUE,TRUE
agile.18f.gov,TRUE,TRUE
agile.tva.gov,FALSE,TRUE
agileplaybook.tva.gov,FALSE,TRUE
agingresearchbiobank.nia.nih.gov,TRUE,TRUE
agingstats.gov,TRUE,TRUE
agisportal.lanl.gov,FALSE,TRUE
aglab-prod.arsnet.usda.gov,TRUE,TRUE
aglearn.usda.gov,FALSE,TRUE
agresearchmag.ars.usda.gov,FALSE,TRUE
ahat.sc.egov.usda.gov,FALSE,TRUE
ahead.hiv.gov,TRUE,TRUE
ahed.nasa.gov,TRUE,TRUE
ahrq.gov,TRUE,TRUE
ai-workshop-2020.jpl.nasa.gov,TRUE,TRUE
ai.fmcsa.dot.gov,TRUE,TRUE
ai.jpl.nasa.gov,TRUE,TRUE
aiaa-dpw.larc.nasa.gov,TRUE,TRUE
aiaccelerator.af.mil,TRUE,TRUE
aidscape.usaid.gov,TRUE,TRUE
aidscapeuat.usaid.gov,FALSE,TRUE
aidvantage.com,TRUE,TRUE
ails.arc.nasa.gov,TRUE,TRUE
aim.nrel.gov,TRUE,TRUE
aimproteus.ctss.nih.gov,TRUE,TRUE
aims.nesdis.noaa.gov,FALSE,TRUE
aipl.arsusda.gov,FALSE,TRUE
aiptest.rma.usda.gov,FALSE,TRUE
air663.app.cloud.gov,FALSE,TRUE
airbornescience.jpl.nasa.gov,TRUE,TRUE
airbornescience.nasa.gov,TRUE,TRUE
airc.nist.gov,TRUE,TRUE
aircrafticing.grc.nasa.gov,TRUE,TRUE
airdomainintelligence.mil,TRUE,TRUE
airforce.usajobs.gov,TRUE,TRUE
airforceacademy.tricare.mil,TRUE,TRUE
airforcebes.af.mil,TRUE,TRUE
airforcemedicine.af.mil,TRUE,TRUE
airforcesmallbiz.af.mil,TRUE,TRUE
airforcespecialtactics.af.mil,TRUE,TRUE
airknowledge.gov,TRUE,TRUE
airlant.usff.navy.mil,TRUE,TRUE
airleakage-calc.ornl.gov,TRUE,TRUE
airman.af.mil,TRUE,TRUE
airmanmagazine.af.mil,TRUE,TRUE
airmoss.jpl.nasa.gov,TRUE,TRUE
airmoss.ornl.gov,TRUE,TRUE
airnow-green.app.cloud.gov,FALSE,TRUE
airnow.gov,TRUE,TRUE
airpac.navy.mil,TRUE,TRUE
airquality.gsfc.nasa.gov,TRUE,TRUE
airquality.lanl.gov,TRUE,TRUE
airquality.weather.gov,TRUE,TRUE
airrange.ssc.nasa.gov,TRUE,TRUE
airs.jpl.nasa.gov,TRUE,TRUE
airsar.jpl.nasa.gov,TRUE,TRUE
airsea.jpl.nasa.gov,TRUE,TRUE
airsl0.gesdisc.eosdis.nasa.gov,FALSE,TRUE
airsl1.gesdisc.eosdis.nasa.gov,FALSE,TRUE
airsl2.gesdisc.eosdis.nasa.gov,FALSE,TRUE
airsnrt.jpl.nasa.gov,TRUE,TRUE
airsteam.jpl.nasa.gov,TRUE,TRUE
airuniversity.af.edu,TRUE,TRUE
ais.ctss.nih.gov,TRUE,TRUE
ais.usvisa-info.com,TRUE,TRUE
ak-chin.nsopw.gov,TRUE,TRUE
ak.ng.mil,TRUE,TRUE
ak3.acl.gov,FALSE,TRUE
akadev-ion-hhs.gov,FALSE,TRUE
akama.arc.nasa.gov,TRUE,TRUE
akaprod-betobaccofree.hhs.gov,TRUE,TRUE
akaprod-digitalmedia.hhs.gov,TRUE,TRUE
akaprod-foodsafety.gov,TRUE,TRUE
akaprod-stopbullying.gov,TRUE,TRUE
akaqa-ion-hhs.gov,TRUE,TRUE
akwg.cap.gov,TRUE,TRUE
al.ng.mil,TRUE,TRUE
al.usembassy.gov,TRUE,TRUE
alaska-mdc.diver.orr.noaa.gov,TRUE,TRUE
alaska.jobcorps.gov,TRUE,TRUE
albany.marines.mil,TRUE,TRUE
albedomap.lbl.gov,TRUE,TRUE
albuquerque.jobcorps.gov,TRUE,TRUE
alcf.anl.gov,TRUE,TRUE
alcoholpolicy.niaaa.nih.gov,TRUE,TRUE
alcoholtreatment.niaaa.nih.gov,TRUE,TRUE
aldo.ctss.nih.gov,TRUE,TRUE
alert.nih.gov,FALSE,TRUE
alerts-v2.weather.gov,TRUE,TRUE
alerts.pnnl.gov,TRUE,TRUE
alerts.weather.gov,TRUE,TRUE
all-sorns.app.cloud.gov,FALSE,TRUE
allaccess.lbl.gov,TRUE,TRUE
allhands.navy.mil,TRUE,TRUE
allofus.nih.gov,TRUE,TRUE
allofus.nnlm.gov,TRUE,TRUE
allofustec.nnlm.gov,TRUE,TRUE
alpenacrtc.ang.af.mil,TRUE,TRUE
alpha-api.urs.eosdis.nasa.gov,FALSE,TRUE
alpha.cpars.gov,FALSE,TRUE
alpha.ngs.noaa.gov,TRUE,TRUE
alpha.sam.gov,FALSE,TRUE
alpha.urs.eosdis.nasa.gov,FALSE,TRUE
alpha2.sam.gov,FALSE,TRUE
als.lbl.gov,TRUE,TRUE
alsa.mil,TRUE,TRUE
alshub.als.lbl.gov,TRUE,TRUE
alsusweb.lbl.gov,FALSE,TRUE
altus.af.mil,TRUE,TRUE
altus.tricare.mil,TRUE,TRUE
alumni.ilea.state.gov,TRUE,TRUE
alumni.state.gov,TRUE,TRUE
alumni.udall.gov,TRUE,TRUE
alvarezphysicsmemos.lbl.gov,TRUE,TRUE
alwg.cap.gov,TRUE,TRUE
alzheimers.gov,TRUE,TRUE
alzped.nia.nih.gov,TRUE,TRUE
am.usembassy.gov,TRUE,TRUE
amac.lbl.gov,TRUE,TRUE
amberalert.ojp.gov,FALSE,TRUE
amberjackm.nmfs.noaa.gov,TRUE,TRUE
ambismobile.niaid.nih.gov,FALSE,TRUE
ambismobileqa.niaid.nih.gov,FALSE,TRUE
amc.af.mil,TRUE,TRUE
amc.army.mil,TRUE,TRUE
amcom.army.mil,TRUE,TRUE
amdar.ncep.noaa.gov,TRUE,TRUE
amdar.noaa.gov,TRUE,TRUE
amdsb.larc.nasa.gov,TRUE,TRUE
americanenglish.state.gov,TRUE,TRUE
americansamoa.noaa.gov,FALSE,TRUE
americansamoa.nsopw.gov,TRUE,TRUE
americanspaces.state.gov,TRUE,TRUE
ameriflux-data.lbl.gov,FALSE,TRUE
ameriflux.lbl.gov,TRUE,TRUE
ameslab.gov,TRUE,TRUE
amis.cdfifund.gov,FALSE,TRUE
amlc.army.mil,TRUE,TRUE
amlis.osmre.gov,TRUE,TRUE
ammd.nist.gov,TRUE,TRUE
ammos.nasa.gov,TRUE,TRUE
amo-csd.lbl.gov,TRUE,TRUE
amoc-css.cbp.dhs.gov,TRUE,TRUE
amos.lbl.gov,TRUE,TRUE
amp.cdc.gov,FALSE,TRUE
ampb.larc.nasa.gov,TRUE,TRUE
amphib7flt.navy.mil,TRUE,TRUE
amplification.training.nij.gov,FALSE,TRUE
amputation.research.va.gov,TRUE,TRUE
ampx.ornl.gov,TRUE,TRUE
amri.ninds.nih.gov,TRUE,TRUE
ams-02project.jsc.nasa.gov,FALSE,TRUE
ams.hhs.gov,FALSE,TRUE
ams.prod.usda.gov,FALSE,TRUE
ams.usda.gov,TRUE,TRUE
amspaces.state.gov,TRUE,TRUE
amu.nemsis.org,TRUE,TRUE
amview.japan.usembassy.gov,TRUE,TRUE
anaalaska.org,TRUE,TRUE
anaconda.jobcorps.gov,TRUE,TRUE
anacostiabolling.tricare.mil,TRUE,TRUE
anag-repo.lbl.gov,TRUE,TRUE
analogstudies.jsc.nasa.gov,TRUE,TRUE
analysis.sns.gov,TRUE,TRUE
analysistools.cancer.gov,TRUE,TRUE
analyst.gsfc.nasa.gov,TRUE,TRUE
analytics.app.cloud.gov,FALSE,TRUE
analytics.tva.gov,FALSE,TRUE
analytics.usa.gov,TRUE,TRUE
andersen.tricare.mil,TRUE,TRUE
andrews.tricare.mil,TRUE,TRUE
ang.af.mil,TRUE,TRUE
angell.jobcorps.gov,TRUE,TRUE
angtec.ang.af.mil,TRUE,TRUE
animaldrugsatfda.fda.gov,TRUE,TRUE
animalresearch.nih.gov,FALSE,TRUE
anl.gov,TRUE,TRUE
annapolis.tricare.mil,TRUE,TRUE
annarbor.hsrd.research.va.gov,TRUE,TRUE
annarbor.research.va.gov,TRUE,TRUE
annie.fnal.gov,TRUE,TRUE
annotation.blogs.archives.gov,TRUE,TRUE
annualmeritreview.energy.gov,TRUE,TRUE
annualreport.nichd.nih.gov,TRUE,TRUE
anp.lbl.gov,TRUE,TRUE
anrpl.com,FALSE,TRUE
answer.mycreditunion.gov,TRUE,TRUE
answers.hud.gov,TRUE,TRUE
answers.usgs.gov,TRUE,TRUE
antarcticsun.usap.gov,TRUE,TRUE
anxietycognition.ctss.nih.gov,TRUE,TRUE
anxietyexercise.ctss.nih.gov,TRUE,TRUE
anyconnect.dhs.gov,FALSE,TRUE
anyconnect1.dhs.gov,FALSE,TRUE
anyconnect2.dhs.gov,FALSE,TRUE
anyconnect3.dhs.gov,FALSE,TRUE
anyconnect4.dhs.gov,FALSE,TRUE
anywhere.gsa.gov,FALSE,TRUE
ao.jpl.nasa.gov,TRUE,TRUE
ao.usembassy.gov,TRUE,TRUE
aocground.omao.noaa.gov,TRUE,TRUE
aom.giss.nasa.gov,TRUE,TRUE
aopdb.epa.gov,TRUE,TRUE
aoprals.state.gov,TRUE,TRUE
aos.gsfc.nasa.gov,TRUE,TRUE
aotus.blogs.archives.gov,TRUE,TRUE
aotus11.blogs.archives.gov,TRUE,TRUE
