target_url,base_domain,branch,agency,agency_code,bureau,bureau_code,source_list_federal_domains,source_list_dap,source_list_pulse,source_list_other,is_gov
academy.faa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
academy.grc.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
academy.jccbi.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
academy.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acadia.sec.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acadiastg.sec.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acbackup.dot.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acc.fafsa.ed.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acc.fafsacm.ed.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acce-ops.jpl.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acce.jpl.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accedeainternet.gov,,Executive,,,,,TRUE,FALSE,FALSE,FALSE,False
accelerate.hhs.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accelerators.lbl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
access01.bea.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
access1.bpa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
access1.max.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
access1.nrel.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
access2.bpa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
access2.cpsc.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
access2.max.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
access3.max.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
access3.nih.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
access4.nih.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accessdata-preprod.fda.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accessdata.fda.gov.ezproxyhhs.nihlibrary.nih.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accessdc4.nlrb.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accessdev.ginniemae.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accessdev.nsf.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accessgudid.awsprod.nlm.nih.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accessgudid.wip.nlm.nih.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accessibility.gov,,Executive,,,,,TRUE,FALSE,TRUE,FALSE,False
accession.nodc.noaa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accessitc.rdc.noaa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accessrequest.ntc.doe.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accesssc8.nlrb.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accesssit.ginniemae.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accesstest.cdc.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accessuat.ginniemae.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accidentreport.lbl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acclft.cdc.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
account.mymedicare.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accounts.ahrq.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accounts.alcf.anl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accounts.jlse.anl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accounts.lb.csp.noaa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accounts.lcrc.anl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accounts.mcs.anl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accounts.noaa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accountshpc.lanl.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accountstest.ahrq.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accpiv.treasury.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accqauth.usaid.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accqpub.usaid.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accs.njwg.cap.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accsso.treasury.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accweb.gsfc.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accweb.modaps.eosdis.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
accweb.nascom.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acd-int.gsfc.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acd.gsfc.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acdb-ext.gsfc.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acdb-int.gsfc.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acdb-pub.gsfc.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acdb.gsfc.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acdisc-ts1.gesdisc.eosdis.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acdisc.gesdisc.eosdis.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
acdisc.gsfc.nasa.gov,,Executive,,,,,FALSE,FALSE,TRUE,FALSE,False
