Website,Public-Facing,Canonical List
imagej.nih.gov,No,Yes
imagery.nationalmap.gov,Yes,Yes
images.nasa.gov,Yes,Yes
images.nigms.nih.gov,Yes,Yes
images.nrel.gov,Yes,Yes
imagine.gsfc.nasa.gov,Yes,Yes
imaging.cancer.gov,Yes,Yes
imagingtherapy.nibib.nih.gov,No,Yes
imat.cancer.gov,Yes,Yes
imds.lbl.gov,No,Yes
img.jgi.doe.gov,Yes,Yes
imglib.lbl.gov,No,Yes
immport.niaid.nih.gov,Yes,Yes
impact.earthdata.nasa.gov,Yes,Yes
impel.lbl.gov,Yes,Yes
impl.eft.cloud.cms.gov,No,Yes
impl.home.idm.cms.gov,No,Yes
impl.idp.idm.cms.gov,No,Yes
importws.consumersentinel.gov,No,Yes
ims.cr.usgs.gov,Yes,Yes
in-spire.pnnl.gov,Yes,Yes
incitest.nwcg.gov,No,Yes
inciweb.nwcg.gov,No,Yes
indagent.cancer.gov,Yes,Yes
index.nationalmap.gov,Yes,Yes
indexcat.nlm.nih.gov,Yes,Yes
indexcat.wip.nlm.nih.gov,Yes,Yes
indianaharbor.evs.anl.gov,Yes,Yes
indico.bnl.gov,Yes,Yes
indico.physics.lbl.gov,No,Yes
indoor.lbl.gov,Yes,Yes
industrialapplications.lbl.gov,Yes,Yes
infernotest.healthit.gov,Yes,Yes
inflammatory.nhlbi.nih.gov,Yes,Yes
info.ahrq.gov,Yes,Yes
info.bpa.gov,Yes,Yes
info.nicic.gov,Yes,Yes
infocenter.nimh.nih.gov,Yes,Yes
infocus.nlm.nih.gov,Yes,Yes
infoexchange.sandia.gov,No,Yes
infoquality.osp.od.nih.gov,Yes,Yes
informal.jpl.nasa.gov,Yes,Yes
informationtechnology.usajobs.gov,Yes,Yes
infosys.ars.usda.gov,No,Yes
infrared.phy.bnl.gov,Yes,Yes
inl.gov,Yes,Yes
inldigitallibrary.inl.gov,Yes,Yes
inpa.lbl.gov,No,Yes
inquiry.vba.va.gov,Yes,Yes
inr.inl.gov,No,Yes
inro.niaid.nih.gov,Yes,Yes
inside.aps.anl.gov,No,Yes
insidedlab.jpl.nasa.gov,Yes,Yes
insp.pnnl.gov,Yes,Yes
instrumentation2006.lbl.gov,Yes,Yes
instrumentationcolloquium.lbl.gov,Yes,Yes
insurance.lbl.gov,Yes,Yes
int-ddt-vehss.cdc.gov,No,Yes
int.eauth.va.gov,No,Yes
int.fed.eauth.va.gov,No,Yes
intbir.incf.org,Yes,Yes
integrationacademy.ahrq.gov,Yes,Yes
integrity.gov,Yes,Yes
intel.usajobs.gov,Yes,Yes
intelligencecareers.gov,Yes,Yes
intelligencecareers.usajobs.gov,Yes,Yes
intern.usajobs.gov,Yes,Yes
internal-audit.fnal.gov,No,Yes
international.anl.gov,Yes,Yes
international.lbl.gov,Yes,Yes
internet-dotnet.fsa.usda.gov,No,Yes
internet-prod.nhlbi.nih.gov,Yes,Yes
internships.fnal.gov,Yes,Yes
intidp.ornl.gov,No,Yes
intramural.nih.gov,Yes,Yes
invention.nasa.gov,Yes,Yes
inventions.nih.gov,No,Yes
inventory.data.gov,No,Yes
invitation.nasa.gov,Yes,Yes
ioa.cancer.gov,Yes,Yes
iono.jpl.nasa.gov,Yes,Yes
iowanation.nsopw.gov,Yes,Yes
iowatribe.nsopw.gov,Yes,Yes
ip.sandia.gov,Yes,Yes
ipabs-is.baja.em.doe.gov,No,Yes
ipac.ecosphere.fws.gov,Yes,Yes
ipacb.ecosphere.fws.gov,No,Yes
ipad.fas.usda.gov,Yes,Yes
ipat.sc.egov.usda.gov,No,Yes
ipels2011.pppl.gov,Yes,Yes
ipnpr.jpl.nasa.gov,Yes,Yes
ipo.lbl.gov,Yes,Yes
iprr.cbp.gov,Yes,Yes
iprs.cbp.gov,Yes,Yes
ipsc.ncats.nih.gov,Yes,Yes
iqcs.nwcg.gov,No,Yes
iqcsweb.nwcg.gov,No,Yes
iqrs.npdb.hrsa.gov,No,Yes
ir.eia.gov,Yes,Yes
irad.nih.gov,Yes,Yes
iraq.cr.usgs.gov,Yes,Yes
irb.energy.gov,No,Yes
irb.nasa.gov,Yes,Yes
irbo.nih.gov,Yes,Yes
irene.lbl.gov,Yes,Yes
iris.gsfc.nasa.gov,Yes,Yes
irishub.preptoolkit.fema.gov,Yes,Yes
irma.nps.gov,Yes,Yes
irmadev.nps.gov,No,Yes
irmadevservices.nps.gov,No,Yes
irmafiles.nps.gov,No,Yes
irmaservices.nps.gov,Yes,Yes
iroquois.jobcorps.gov,Yes,Yes
irp-positions.nih.gov,No,Yes
irp.nida.nih.gov,Yes,Yes
irp.nih.gov,Yes,Yes
irpseminar.nlm.nih.gov,Yes,Yes
irs.usajobs.gov,Yes,Yes
irtsectraining.nih.gov,Yes,Yes
irtx.spr.doe.gov,No,Yes
irwin.doi.gov,Yes,Yes
irwinoat.doi.gov,No,Yes
irwint.doi.gov,No,Yes
isccompliance.dhs.gov,Yes,Yes
isccp.giss.nasa.gov,Yes,Yes
iseq.lbl.gov,Yes,Yes
isis.astrogeology.usgs.gov,Yes,Yes
isla2011.pppl.gov,Yes,Yes
isleta.nsopw.gov,Yes,Yes
iso50001.lbl.gov,Yes,Yes
isomir.ccr.cancer.gov,Yes,Yes
isoo-overview.blogs.archives.gov,Yes,Yes
isoo.blogs.archives.gov,Yes,Yes
isotopes.gov,Yes,Yes
issm.jpl.nasa.gov,Yes,Yes
issues.mobilehealth.va.gov,No,Yes
istcolloq.gsfc.nasa.gov,Yes,Yes
istd.gsfc.nasa.gov,Yes,Yes
it.lbl.gov,No,Yes
itcontacts.kcnsc.doe.gov,No,Yes
itcr.cancer.gov,Yes,Yes
itcr.ha2.cancer.gov,Yes,Yes
ithelp.gsa.gov,No,Yes
itims.bia.gov,No,Yes
itmanagement.usajobs.gov,Yes,Yes
itos.gsfc.nasa.gov,Yes,Yes
itough2.lbl.gov,Yes,Yes
itpa09.pppl.gov,Yes,Yes
itpa2015.pppl.gov,No,Yes
its-live.jpl.nasa.gov,Yes,Yes
itsupport.ams.usda.gov,No,Yes
itsupport.doi.gov,No,Yes
itsupport.fema.gov,No,Yes
itsupport.usgs.gov,Yes,Yes
itvmo.gsa.gov,Yes,Yes
iucrc.nsf.gov,Yes,Yes
ivscc.gsfc.nasa.gov,Yes,Yes
iwgsc.nal.usda.gov,Yes,Yes
ixpe.msfc.nasa.gov,Yes,Yes
james.healthit.gov,Yes,Yes
jamf.ornl.gov,No,Yes
jats.nlm.nih.gov,Yes,Yes
jconv.civ.justice.gov,No,Yes
jconv2.civ.justice.gov,No,Yes
jconx2.civ.justice.gov,No,Yes
jdm.ctss.nih.gov,Yes,Yes
jemez.nsopw.gov,Yes,Yes
jenkins.aps.anl.gov,No,Yes
jet.lbl.gov,Yes,Yes
jfk.artifacts.archives.gov,Yes,Yes
jfk.blogs.archives.gov,Yes,Yes
jfklibrary.archives.gov,Yes,Yes
jgi.doe.gov,Yes,Yes
jicarilla.nsopw.gov,Yes,Yes
jira.ginniemae.gov,No,Yes
jira.grantsolutions.gov,No,Yes
jira.ncbi.nlm.nih.gov,No,Yes
jkcooper.lbl.gov,Yes,Yes
jlevinlab.nichd.nih.gov,No,Yes
jnoidp1.jpl.nasa.gov,No,Yes
jnoidp2.jpl.nasa.gov,No,Yes
joahsts.tva.com,No,Yes
jobs-origin.cdc.gov,Yes,Yes
jobs.lbl.gov,Yes,Yes
jobs.ornl.gov,Yes,Yes
jobs.tva.com,No,Yes
jobsp1.lanl.gov,Yes,Yes
join.tts.gsa.gov,Yes,Yes
join.video.dol.gov,No,Yes
joinastudy.niehs.nih.gov,Yes,Yes
joliet.jobcorps.gov,Yes,Yes
joltsdata.bls.gov,Yes,Yes
joltsdataorigin1.bls.gov,No,Yes
joltsdatat.bls.gov,No,Yes
journal-reports.nlm.nih.gov,Yes,Yes
jpl-mag-vpn-ext-vip.jpl.nasa.gov,No,Yes
jpl-nasa.libguides.com,Yes,Yes
jpldataeval.jpl.nasa.gov,Yes,Yes
jplteamx.jpl.nasa.gov,Yes,Yes
jplwater.nasa.gov,Yes,Yes
jpssmis.gsfc.nasa.gov,Yes,Yes
jscvpn.nasa.gov,No,Yes
jscwebvpn.nasa.gov,No,Yes
jttest.wip.nlm.nih.gov,Yes,Yes
jumpstart.nih.gov,Yes,Yes
juno-uls.jpl.nasa.gov,No,Yes
juno-uls2.jpl.nasa.gov,No,Yes
junomag.gsfc.nasa.gov,Yes,Yes
justicegrants.usdoj.gov,Yes,Yes
juvenilecouncil.ojp.gov,No,Yes
kaibabpaiute.nsopw.gov,Yes,Yes
kansascity.feb.gov,Yes,Yes
karate.gsfc.nasa.gov,Yes,Yes
katana.www.sba.gov,No,Yes
kaw.nsopw.gov,Yes,Yes
kbic.nsopw.gov,Yes,Yes
kcnsc.doe.gov,Yes,Yes
keaslinglab.lbl.gov,Yes,Yes
keof.jpl.nasa.gov,Yes,Yes
keys.tvaoig.gov,No,Yes
kickapoo.nsopw.gov,Yes,Yes
kids.climate.nasa.gov,Yes,Yes
kids.niehs.nih.gov,Yes,Yes
kiteworks.doe.gov,No,Yes
kiteworks.ttb.gov,Yes,Yes
kittrell.jobcorps.gov,Yes,Yes
kms.dsac.gov,No,Yes
knowledgestore.nmb.gov,Yes,Yes
knowyourchances.cancer.gov,Yes,Yes
ko.stopbullying.gov,Yes,Yes
kona.nhgri.nih.gov,No,Yes
kscweather.ksc.nasa.gov,Yes,Yes
kusoglulab.lbl.gov,Yes,Yes
l0dup05.larc.nasa.gov,Yes,Yes
l5ftl01.larc.nasa.gov,No,Yes
la-science.lanl.gov,Yes,Yes
la.www4.irs.gov,Yes,Yes
lab.opm.gov,Yes,Yes
labalaban.nhlbi.nih.gov,No,Yes
labels.fda.gov,Yes,Yes
labels.preprod.fda.gov,Yes,Yes
labhomes.pnnl.gov,Yes,Yes
labs.gsa.gov,Yes,Yes
labs.usa.gov,Yes,Yes
labs.waterdata.usgs.gov,Yes,Yes
labstatus.pppl.gov,No,Yes
labtech.lbl.gov,Yes,Yes
ladsweb.modaps.eosdis.nasa.gov,Yes,Yes
lageos.gsfc.nasa.gov,Yes,Yes
lagrit.lanl.gov,Yes,Yes
laguna.nsopw.gov,Yes,Yes
lakefw1.doioig.gov,No,Yes
lakeinfo.tva.com,No,Yes
laketahoe.jpl.nasa.gov,Yes,Yes
lakmshaegov02.msha.gov,Yes,Yes
lambda.gsfc.nasa.gov,Yes,Yes
lambda.pnnl.gov,No,Yes
lamppz02.gsfc.nasa.gov,No,Yes
lamppz03.gsfc.nasa.gov,No,Yes
lance.modaps.eosdis.nasa.gov,Yes,Yes
lance.nsstc.nasa.gov,Yes,Yes
landfire.cr.usgs.gov,Yes,Yes
landfire.gov,Yes,Yes
landlook.usgs.gov,Yes,Yes
landsat.gsfc.nasa.gov,Yes,Yes
landsat.visibleearth.nasa.gov,Yes,Yes
landsatlook.usgs.gov,Yes,Yes
landscan-services.ornl.gov,No,Yes
landscan.ornl.gov,Yes,Yes
landscape.jpl.nasa.gov,Yes,Yes
landweb.modaps.eosdis.nasa.gov,Yes,Yes
lanl.github.io,Yes,Yes
lanl.gov,Yes,Yes
lansce.lanl.gov,No,Yes
lansceoperations.lanl.gov,Yes,Yes
lar.bnl.gov,Yes,Yes
larc-exchange.larc.nasa.gov,Yes,Yes
larcsos.larc.nasa.gov,Yes,Yes
largelakes.jpl.nasa.gov,Yes,Yes
laro.lanl.gov,Yes,Yes
lartpc-docdb.fnal.gov,Yes,Yes
laser-research.lbl.gov,Yes,Yes
lasersdbw.larc.nasa.gov,Yes,Yes
latex.ornl.gov,No,Yes
latinawomen.larc.nasa.gov,No,Yes
law101.training.nij.gov,No,Yes
laws.lanl.gov,No,Yes
lbj.artifacts.archives.gov,Yes,Yes
lbjlibrary.archives.gov,Yes,Yes
lbnf-dune.fnal.gov,Yes,Yes
lbpw-ftp.larc.nasa.gov,No,Yes
lbpw.larc.nasa.gov,Yes,Yes
lbt.i2sl.org,Yes,Yes
lc.llnl.gov,No,Yes
lcfcrypto.anl.gov,No,Yes
lcls-ii.fnal.gov,Yes,Yes
lcls.aps.anl.gov,Yes,Yes
ldap.dcdt31.healthit.gov,No,Yes
ldas.gsfc.nasa.gov,Yes,Yes
ldcm-cal.gsfc.nasa.gov,No,Yes
ldlink.nih.gov,Yes,Yes
leadership.dra.gov,Yes,Yes
leadership.opm.gov,Yes,Yes
leadpaint.sc.egov.usda.gov,Yes,Yes
leafweb.org,Yes,Yes
learcat.bjs.ojp.gov,No,Yes
learn.childwelfare.gov,Yes,Yes
learn.dhs.gov,Yes,Yes
learn.fletc.gov,Yes,Yes
learn.nlm.nih.gov,Yes,Yes
learnatf.gov,No,Yes
learningcenter.niaid.nih.gov,Yes,Yes
learningconnection.opm.gov,No,Yes
learningnucleus.energy.gov,No,Yes
learningnucleusdev.energy.gov,No,Yes
learningnucleustest.energy.gov,No,Yes
leasing.gsa.gov,Yes,Yes
leempeem10.lbl.gov,Yes,Yes
legacy.catalog.archives.gov,No,Yes
legacy.digitaldashboard.gov,No,Yes
legacy.rivers.gov,Yes,Yes
legacy.rma.usda.gov,No,Yes
lemis.fws.gov,No,Yes
lemistraining.fws.gov,No,Yes
lems.lanl.gov,No,Yes
leonawoodsbnl.phy.bnl.gov,Yes,Yes
leonid.arc.nasa.gov,Yes,Yes
lep-pds.gsfc.nasa.gov,Yes,Yes
letsmove.obamawhitehouse.archives.gov,No,Yes
lexevscts2.nci.nih.gov,Yes,Yes
lexevscts2docs.nci.nih.gov,Yes,Yes
lexsrv3.nlm.nih.gov,No,Yes
lfextractb.cr.usgs.gov,Yes,Yes
lfmi.ninds.nih.gov,No,Yes
lforms-fhir.nlm.nih.gov,Yes,Yes
lforms-formbuilder.lhcaws.nlm.nih.gov,No,Yes
lforms-service-vip.nlm.nih.gov,Yes,Yes
lforms-smart-fhir.nlm.nih.gov,No,Yes
lfs.cancer.gov,Yes,Yes
lft.jpl.nasa.gov,No,Yes
lgdfm5.ncifcrf.gov,No,Yes
lgrd.nichd.nih.gov,Yes,Yes
lgy.va.gov,Yes,Yes
lhc-auth.nlm.nih.gov,No,Yes
lhc-formbuilder.lhc.lhcaws.nlm.nih.gov,No,Yes
lhc-formbuilder.lhcaws.nlm.nih.gov,No,Yes
lhc-maintenance.nlm.nih.gov,No,Yes
lhcflowsheet.nlm.nih.gov,Yes,Yes
lhcformbuilder.lhcaws.nlm.nih.gov,Yes,Yes
lhcformbuilder.nlm.nih.gov,Yes,Yes
lhcforms.lhcaws.nlm.nih.gov,No,Yes
lhcforms.nlm.nih.gov,Yes,Yes
lhcmon.bnl.gov,Yes,Yes
lhncbc.nlm.nih.gov,Yes,Yes
liangtan.lbl.gov,Yes,Yes
lib-www.lanl.gov,No,Yes
libguides.anl.gov,Yes,Yes
library.fnal.gov,Yes,Yes
library.princeton.edu,Yes,Yes
library.usgs.gov,Yes,Yes
libraryguides.usgs.gov,Yes,Yes
licensing.ofac.treas.gov,Yes,Yes
licensinguat.ofac.treas.gov,Yes,Yes
lidar.jpl.nasa.gov,Yes,Yes
light.lbl.gov,Yes,Yes
liheapch.acf.hhs.gov,Yes,Yes
liheappm.acf.hhs.gov,Yes,Yes
lihtc.huduser.gov,Yes,Yes
lima.usgs.gov,Yes,Yes
lincpass.usda.gov,No,Yes
lippincottschwartzlab.nichd.nih.gov,Yes,Yes
lis.gsfc.nasa.gov,Yes,Yes
lisa.nasa.gov,Yes,Yes
lise.lbl.gov,Yes,Yes
list.nih.gov,Yes,Yes
lists.ferc.gov,No,Yes
lists.igsb.anl.gov,Yes,Yes
lists.nrel.gov,No,Yes
listserv.energy.gov,No,Yes
listserv.fnal.gov,Yes,Yes
listserv.gsa.gov,No,Yes
listserv.ihs.gov,Yes,Yes
listserv.mspb.gov,Yes,Yes
listserv.netl.doe.gov,No,Yes
listserv.opm.gov,Yes,Yes
listserv.sos.wa.gov,No,Yes
listserv.usap.gov,Yes,Yes
listserv.va.gov,Yes,Yes
liulab.lbl.gov,Yes,Yes
live.bats.gov,Yes,Yes
livehelp-es.cancer.gov,Yes,Yes
livehelp.cancer.gov,Yes,Yes
livelink.nida.nih.gov:8443,No,Yes
llis.nasa.gov,Yes,Yes
llmpp.nih.gov,Yes,Yes
llrf13.lbl.gov,Yes,Yes
lms.larc.nasa.gov,Yes,Yes
lmse.larc.nasa.gov,Yes,Yes
lmt.ornl.gov,Yes,Yes
local.medlineplus.gov,Yes,Yes
localhelp.healthcare.gov,Yes,Yes
locator.hiv.gov,Yes,Yes
locator.ice.gov,Yes,Yes
locrwg.larc.nasa.gov,Yes,Yes
logbook.aps.anl.gov,No,Yes
login-ndcac.fbi.gov,No,Yes
login.acquisition.gov,Yes,Yes
login.casm.dhs.gov,Yes,Yes
login.consumersentinel.gov,Yes,Yes
login.ezproxy.nihlibrary.nih.gov,No,Yes
login.ezproxyhhs.nihlibrary.nih.gov,No,Yes
login.fr.cloud.gov,No,Yes
login.gov,Yes,Yes
login.occ.gov,No,Yes
lookforwatersense-prod.app.cloud.gov,No,Yes
loop.nigms.nih.gov,Yes,Yes
loring.jobcorps.gov,Yes,Yes
lpc.fnal.gov,Yes,Yes
lpdaac.usgs.gov,Yes,Yes
lpdaacaster.cr.usgs.gov,Yes,Yes
lpo-mager.gsfc.nasa.gov,Yes,Yes
lpvs.gsfc.nasa.gov,Yes,Yes
lrftool.sc.egov.usda.gov,No,Yes
lrs.hud.gov,No,Yes
lscms-sci.fema.gov,Yes,Yes
lscms.fema.gov,Yes,Yes
lsimaging.sandia.gov,Yes,Yes
lspcountdown.ndc.nasa.gov,Yes,Yes
lss.fnal.gov,Yes,Yes
lst.jpl.nasa.gov,Yes,Yes
ltar.ars.usda.gov,Yes,Yes
ltasc.od.nih.gov,Yes,Yes
ltascii.egos.nih.gov,No,Yes
ltcushing.ctss.nih.gov,Yes,Yes
ltdl.wr.usgs.gov,Yes,Yes
ltempeis.anl.gov,Yes,Yes
luigi.wim.usgs.gov,Yes,Yes
lummi.nsopw.gov,Yes,Yes
lunar.gsfc.nasa.gov,Yes,Yes
lunarvolatiles.nasa.gov,Yes,Yes
lustre.ornl.gov,No,Yes
lvis.gsfc.nasa.gov,Yes,Yes
lwrs.inl.gov,Yes,Yes
lws-set.gsfc.nasa.gov,Yes,Yes
lws.gsfc.nasa.gov,Yes,Yes
lws.larc.nasa.gov,Yes,Yes
lwstrt.gsfc.nasa.gov,Yes,Yes
lymphochip.nih.gov,No,Yes
lyris.nifa.usda.gov,No,Yes
m-group.lbl.gov,Yes,Yes
m.huduser.gov,Yes,Yes
m.waterdata.usgs.gov,Yes,Yes
m2m.cr.usgs.gov,Yes,Yes
ma.acl.gov,Yes,Yes
maccs.sandia.gov,Yes,Yes
macpatch-docs.llnl.gov,Yes,Yes
mads.lanl.gov,Yes,Yes
mafspace.msfc.nasa.gov,Yes,Yes
mafurman.lbl.gov,No,Yes
magazine.medlineplus.gov,Yes,Yes
magnetograph.msfc.nasa.gov,Yes,Yes
magpie.nlm.nih.gov,Yes,Yes
maia.jpl.nasa.gov,Yes,Yes
mail.oigempowerline.com,Yes,Yes
mail2.ihs.gov,No,Yes
mailprocess.consumersentinel.gov,No,Yes
maint.services.treasury.gov,No,Yes
maintenance.healthit.gov,No,Yes
maintenance.lhcaws.nlm.nih.gov,No,Yes
mainweb.awsprod.nlm.nih.gov,Yes,Yes
manage.recreation.gov,No,Yes
manhattanprojectbreactor.hanford.gov,Yes,Yes
manticore.niehs.nih.gov,Yes,Yes
map.acf.hhs.gov,Yes,Yes
map.gsfc.nasa.gov,Yes,Yes
map.lbl.gov,Yes,Yes
map.nasa.gov,Yes,Yes
map1.msc.fema.gov,Yes,Yes
mapep.inl.gov,Yes,Yes
mapre.es.ucsb.edu,Yes,Yes
maps.cancer.gov,Yes,Yes
maps.certify.sba.gov,Yes,Yes
maps.ihs.gov,Yes,Yes
maps.jpl.nasa.gov,Yes,Yes
maps.nrel.gov,Yes,Yes
maps.nwcg.gov,No,Yes
maps.usgs.gov,Yes,Yes
maps.waterdata.usgs.gov,Yes,Yes
mapservices.nps.gov,No,Yes
mapstage.acf.hhs.gov,No,Yes
maptest.acf.hhs.gov,No,Yes
maptis.nasa.gov,Yes,Yes
mapviewtest.msc.fema.gov,Yes,Yes
marfa.lanl.gov,No,Yes
marini.nichd.nih.gov,Yes,Yes
mark4sun.jpl.nasa.gov,Yes,Yes
marketnews.usda.gov,No,Yes
marketplace.fedramp.gov,Yes,Yes
marketplace.va.gov,Yes,Yes
marrowfailure.cancer.gov,Yes,Yes
mars.nasa.gov,Yes,Yes
marsnext.jpl.nasa.gov,Yes,Yes
marsoweb.nas.nasa.gov,Yes,Yes
martnsoc.vpn.va.gov,No,Yes
mas.nasa.gov,No,Yes
mastercalendar.ncirc.gov,No,Yes
masterprojects.jpl.nasa.gov,Yes,Yes
matb-files.larc.nasa.gov,No,Yes
matb.larc.nasa.gov,Yes,Yes
match.nci.nih.gov,No,Yes
materials.nrel.gov,Yes,Yes
materialsinspace.nasa.gov,Yes,Yes
mathematicalstatistics.usajobs.gov,Yes,Yes
mathematics.usajobs.gov,Yes,Yes
matrix.bio.anl.gov,Yes,Yes
maximo.bia.gov,No,Yes
mba.cjis.gov,No,Yes
mbescbes.medicaid.gov,Yes,Yes
mbescbesdev.medicaid.gov,No,Yes
mbescbesval0.medicaid.gov,No,Yes
MBRSubmission.ferc.gov,Yes,Yes
MBRWeb.ferc.gov,Yes,Yes
MBRWebApi.ferc.gov,Yes,Yes
mc-review.onemac.cms.gov,No,Yes
mc.hep.anl.gov,No,Yes
mc1.hep.anl.gov,No,Yes
mccjobs.usajobs.gov,Yes,Yes
mcdc.msfc.nasa.gov,Yes,Yes
mcfm.fnal.gov,Yes,Yes
mchb.hrsa.gov,Yes,Yes
mchb.tvisdata.hrsa.gov,Yes,Yes
mchbtvisdatauat05.hrsa.gov,No,Yes
mcl-labcas.jpl.nasa.gov,Yes,Yes
mclprtest.cbp.dhs.gov,No,Yes
mclvpn.fca.gov,No,Yes
mcm.fas.gsa.gov,Yes,Yes
mcnp.lanl.gov,Yes,Yes
mcst.gsfc.nasa.gov,Yes,Yes
mdphd.gpp.nih.gov,Yes,Yes
mdr.nasa.gov,No,Yes
mds.ihs.gov,No,Yes
mds.jpl.nasa.gov,Yes,Yes
mdscc.nasa.gov,Yes,Yes
measures.gesdisc.eosdis.nasa.gov,No,Yes
measures.gsfc.nasa.gov,No,Yes
mecfs.ctss.nih.gov,No,Yes
mechanical-engineering.gsfc.nasa.gov,Yes,Yes
mechanical.usajobs.gov,Yes,Yes
medarts.nih.gov,No,Yes
medeng.jpl.nasa.gov,Yes,Yes
media.ars.usda.gov,No,Yes
media.irsvideos.gov,Yes,Yes
media.ksc.nasa.gov,Yes,Yes
medialibrary.nei.nih.gov,Yes,Yes
mediaman.ndc.nasa.gov,No,Yes
mediastream.ndc.nasa.gov,No,Yes
mediation.lbl.gov,No,Yes
medicalcountermeasures.gov,Yes,Yes
medicalsciences.energy.gov,Yes,Yes
medicalsecureemail.nih.gov,Yes,Yes
medicineonscreen.nlm.nih.gov,Yes,Yes
medpix.nlm.nih.gov,Yes,Yes
medsi.lbl.gov,Yes,Yes
medsun.fda.gov,No,Yes
meetings.nsf.gov,Yes,Yes
megar.nichd.nih.gov,Yes,Yes
megcore.nih.gov,Yes,Yes
mentalhealth.va.gov,Yes,Yes
mepag.jpl.nasa.gov,Yes,Yes
meps.ahrq.gov,Yes,Yes
mercury.ornl.gov,No,Yes
mercury3.dhs.gov,No,Yes
mercurytransit.gsfc.nasa.gov,Yes,Yes
mesa.jpl.nasa.gov,Yes,Yes
mescaleroapache.nsopw.gov,Yes,Yes
mescforyou.ksc.nasa.gov,Yes,Yes
meshb-prev.nlm.nih.gov,Yes,Yes
meshb.nlm.nih.gov,Yes,Yes
meshing.lanl.gov,No,Yes
meshondemand.nlm.nih.gov,Yes,Yes
meskwaki.nsopw.gov,Yes,Yes
met.lbl.gov,No,Yes
metabolomics-sig.nih.gov,Yes,Yes
metacluster.lbl.gov,No,Yes
metadata.boem.gov,Yes,Yes
metagenote.niaid.nih.gov,Yes,Yes
metazome.jgi.doe.gov,Yes,Yes
methane.jpl.nasa.gov,Yes,Yes
methods.18f.gov,Yes,Yes
metrics.cancer.gov,No,Yes
mets.cdc.gov,Yes,Yes
mfix.netl.doe.gov,Yes,Yes
mfpcc.samhsa.gov,Yes,Yes
mft.jsc.nasa.gov,No,Yes
mgm.jgi.doe.gov,Yes,Yes
mgmtaz-ssl.tnet.treas.gov,No,Yes
mgmtva-ssl.tnet.treas.gov,No,Yes
mgs-mager.gsfc.nasa.gov,Yes,Yes
mhanation.nsopw.gov,Yes,Yes
mhm.nlm.nih.gov,Yes,Yes
mia-django-develop.app.cloud.gov,No,Yes
mia-django-devops.app.cloud.gov,No,Yes
mia-django-main.app.cloud.gov,No,Yes
miamination.nsopw.gov,Yes,Yes
miccosukeetribe.nsopw.gov,Yes,Yes
mice.nichd.nih.gov,Yes,Yes
microbenet.cdc.gov,Yes,Yes
microbiology.usgs.gov,Yes,Yes
microboone.fnal.gov,Yes,Yes
microct.lbl.gov,No,Yes
microdevices.jpl.nasa.gov,Yes,Yes
microgrids2.lbl.gov,No,Yes
microserf.lanl.gov,No,Yes
microwavescience.jpl.nasa.gov,Yes,Yes
midas.anl.gov,Yes,Yes
midas.uscis.dhs.gov,Yes,Yes
midcdmz.nrel.gov,Yes,Yes
mids.er.usgs.gov,Yes,Yes
migbirdapps.fws.gov,Yes,Yes
millionhearts.hhs.gov,Yes,Yes
milrecs.archives.gov,Yes,Yes
mim.aphis.usda.gov,No,Yes
mims.doe.gov,Yes,Yes
minerva.fnal.gov,Yes,Yes
minnesota.feb.gov,Yes,Yes
minorityhealth.hhs.gov,Yes,Yes
minorityinternships.energy.gov,No,Yes
mipav.cit.nih.gov,Yes,Yes
mirecc.va.gov,Yes,Yes
mirror.pnl.gov,Yes,Yes
mishoe.nhlbi.nih.gov,No,Yes
misr.jpl.nasa.gov,Yes,Yes
misse1.larc.nasa.gov,Yes,Yes
missionstem.nasa.gov,Yes,Yes
misuse.ncbi.nlm.nih.gov,No,Yes
miul.ndc.nasa.gov,No,Yes
mixedsignalasic.jpl.nasa.gov,Yes,Yes
ml.jpl.nasa.gov,Yes,Yes
mlandriau.lbl.gov,Yes,Yes
mls.jpl.nasa.gov,Yes,Yes
mm.jpl.nasa.gov,No,Yes
mmr.osmre.gov,Yes,Yes
mms.gsfc.nasa.gov,Yes,Yes
mmt.earthdata.nasa.gov,Yes,Yes
mmt.sit.earthdata.nasa.gov,No,Yes
mnc-qa.ornl.gov,Yes,Yes
mnspruce.ornl.gov,Yes,Yes
mnx.pppl.gov,Yes,Yes
mo-idp.cms.gov,Yes,Yes
mo-idp.imp.cms.gov,Yes,Yes
mo99.ne.anl.gov,Yes,Yes
mobile.ahrq.gov,No,Yes
mobile.occ.gov,Yes,Yes
mobile.reginfo.gov,Yes,Yes
mobile.va.gov,Yes,Yes
mobile.vpn.va.gov,No,Yes
mobileguard.usmarshals.gov,No,Yes
mobilemi.ent.usda.gov,No,Yes
mobiler.occ.gov,Yes,Yes
mobiletest.vpn.va.gov,No,Yes
mocha-cbioportal.cancer.gov,No,Yes
mod.lbl.gov,No,Yes
modaps.modaps.eosdis.nasa.gov,Yes,Yes
modis-land.gsfc.nasa.gov,Yes,Yes
modis-snow-ice.gsfc.nasa.gov,Yes,Yes
modis.gsfc.nasa.gov,Yes,Yes
modis.ornl.gov,Yes,Yes
modoc.nsopw.gov,Yes,Yes
modwebsrv.modaps.eosdis.nasa.gov,No,Yes
mojaveindiantribe.nsopw.gov,Yes,Yes
