Website,Public-Facing,Canonical List
anywhere.gsa.gov,No,Yes
ao.jpl.nasa.gov,Yes,Yes
aom.giss.nasa.gov,Yes,Yes
aos.gsfc.nasa.gov,Yes,Yes
aotus.blogs.archives.gov,Yes,Yes
aotus11.blogs.archives.gov,Yes,Yes
apd440.gsfc.nasa.gov,Yes,Yes
apfs-cloud.dhs.gov,Yes,Yes
aphysics2.lanl.gov,Yes,Yes
api-alpha.sam.gov,No,Yes
api.benefits.gov,Yes,Yes
api.bluebutton.cms.gov,Yes,Yes
api.data.gov,Yes,Yes
api.digitalmedia.hhs.gov,No,Yes
api.dol.gov,Yes,Yes
api.globe.gov,No,Yes
api.nasa.gov,Yes,Yes
api.ojp.gov,No,Yes
api.open.fec.gov,Yes,Yes
api.sam.gov,No,Yes
api.seer.cancer.gov,Yes,Yes
api.urs.eosdis.nasa.gov,No,Yes
api2.foia.gov,No,Yes
apod.nasa.gov,Yes,Yes
apology.pnl.gov,No,Yes
app-template.jgi.doe.gov,No,Yes
app.fac.gov,Yes,Yes
app.ntsb.gov,No,Yes
app1.innovation.cms.gov,Yes,Yes
appeears.earthdatacloud.nasa.gov,Yes,Yes
appeears.earthdatacloud.nasa.gov,Yes,Yes
appel.nasa.gov,Yes,Yes
appian-dsc.fda.gov,No,Yes
appian-preprod-dsc.fda.gov,No,Yes
applicantportal.arts.gov,Yes,Yes
applications.cpfp.cancer.gov,Yes,Yes
appliedenergyscience.lbl.gov,Yes,Yes
appliedsciences.nasa.gov,Yes,Yes
apply.fbijobs.gov,Yes,Yes
apply.pmf.gov,Yes,Yes
appointment.treasury.gov,Yes,Yes
apps.conservation.gov,Yes,Yes
apps.fs.usda.gov,Yes,Yes
apps.fsa.usda.gov,No,Yes
apps.irs.gov,Yes,Yes
apps.lex.doe.gov,No,Yes
apps.loanprograms.energy.gov,Yes,Yes
apps.nasa.gov,Yes,Yes
apps.nationalmap.gov,Yes,Yes
apps.nea.gov,No,Yes
apps.neh.gov,Yes,Yes
apps.ocfo.gsa.gov,Yes,Yes
apps.orau.gov,No,Yes
apps.tucson.ars.ag.gov,No,Yes
apps.usfa.fema.gov,Yes,Yes
apps.usgs.gov,Yes,Yes
apps2.eere.energy.gov,Yes,Yes
appvol.ninds.nih.gov,Yes,Yes
aps.anl.gov,Yes,Yes
aps.portal.cms.gov,No,Yes
aptcenter.research.va.gov,Yes,Yes
