target_url,source_list_mil_2
c6f.navy.mil ,TRUE
nmio.ise.gov ,TRUE
ncis.navy.mil ,TRUE
navalsafetycommand.navy.mil,TRUE
nsw.navy.mil ,TRUE
outreach.navy.mil ,TRUE
navsea.navy.mil,TRUE
oni.navy.mil ,TRUE
ttgp.navy.mil ,TRUE
nepa.navy.mil ,TRUE
usncc.edu,TRUE
cusnc.navy.mil ,TRUE
srf.navy.mil ,TRUE
al.ng.mil,TRUE
arkansas.nationalguard.mil ,TRUE
army.nationalguard.mil ,TRUE
atterburymuscatatuck.in.ng.mil ,TRUE
co.ng.mil ,TRUE
dc.ng.mil ,TRUE
de.ng.mil ,TRUE
ftig.ng.mil ,TRUE
il.ngb.army.mil ,TRUE
in.ng.mil ,TRUE
me.ngb.army.mil  ,TRUE
moguard.ngb.mil,TRUE
pa.ng.mil ,TRUE
ri.ng.mil ,TRUE
scguard.ng.mil ,TRUE
ut.ng.mil ,TRUE
ngfamily.vt.gov ,TRUE
