target_url,branch,agency,bureau,base_domain_pulse,source_list_federal_domains,source_list_pulse,source_list_dap,source_list_omb_idea,source_list_eotw,source_list_usagov,source_list_gov_man,source_list_uscourts,source_list_oira,source_list_mil_1,source_list_mil_2,omb_idea_public
consumerfinancialbureau.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,false,false,false,false,false,false,false,false,false,
consumerfinancial.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,false,false,false,false,false,false,false,false,false,
consumerfinancialprotectionbureau.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,false,false,false,false,false,false,false,false,false,
consumerprotectionbureau.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,false,false,false,false,false,false,false,false,false,
consumerprotection.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,false,false,false,false,false,false,false,false,false,
mimm.gov,Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,,true,true,false,true,true,false,false,false,false,false,false,true
anchorit.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,true,true,false,false,true,false,false,false,false,false,false,
atvsafety.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,true,true,false,false,false,false,false,false,false,false,false,
cpsc.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,true,true,true,false,true,true,true,false,true,false,false,
drywallresponse.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,true,true,false,false,false,false,false,false,false,false,false,
poolsafely.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,true,true,true,false,true,false,true,false,false,false,false,
poolsafety.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,true,true,false,false,false,false,false,false,false,false,false,
recalls.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,true,true,false,false,true,true,true,false,false,false,false,
saferproduct.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,true,true,false,false,false,false,false,false,false,false,false,
saferproducts.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,true,true,false,false,true,true,false,false,false,false,false,
seguridadconsumidor.gov,Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,,true,true,false,false,false,false,false,false,false,false,false,
acc.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,false,true,false,false,false,false,false,false,false,false,
americanclimatecorps.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,false,false,false,false,false,false,false,false,false,false,
americorps.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,true,true,false,false,true,false,false,true,false,false,
americorpsoig.gov,Executive,Corporation for National and Community Service,AmeriCorps Office of Inspector General,,true,false,false,false,false,false,false,false,false,false,false,
ccc.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,false,false,false,false,false,false,false,false,false,false,
climatecore.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,false,false,false,false,false,false,false,false,false,false,
climatecorp.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,false,false,false,false,false,false,false,false,false,false,
climatecorps.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,false,false,false,false,false,false,false,false,false,false,
cncs.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,false,false,false,true,false,false,false,false,false,false,
cncsoig.gov,Executive,Corporation for National and Community Service,"Corporation for National and Community Service, Office Of Inspector General,",,true,true,false,false,true,false,false,false,false,false,false,
cns.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,false,false,false,true,false,false,false,false,false,false,
joinamericorps.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,true,false,false,false,false,false,false,false,false,false,
mentor.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,true,false,false,false,false,false,false,false,false,false,
mlkday.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,true,false,false,false,false,false,false,false,false,false,
nationalservice.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,true,false,false,true,true,true,false,true,false,false,
presidentialserviceawards.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,true,false,false,true,false,false,false,false,false,false,
serve.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,true,false,false,false,false,false,false,false,false,false,
vistacampus.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,true,false,false,true,false,false,false,false,false,false,
volunteeringinamerica.gov,Executive,Corporation for National and Community Service,AmeriCorps,,true,true,false,false,false,false,false,false,false,false,false,
cigie.gov,Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,,true,false,false,false,false,false,false,false,false,false,false,
ignet.gov,Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,,true,true,false,false,true,true,true,false,false,false,false,
oversight.gov,Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,,true,true,false,false,true,false,true,false,false,false,false,
pandemicoversight.gov,Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,,true,false,false,false,true,false,false,false,false,false,false,
csosa.gov,Executive,DC Court Services and Offender Supervision Agency,Office of information Technology,,true,true,false,false,true,true,false,false,false,false,false,
pretrialservices.gov,Executive,DC Court Services and Offender Supervision Agency,Pretrial Services Agency for the District of Columbia,,true,true,false,false,false,false,false,false,false,false,false,
psa.gov,Executive,DC Court Services and Offender Supervision Agency,Court Services and Offender Supervision Agency,,true,true,false,false,true,true,false,false,false,false,false,
dnfsb.gov,Executive,Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,,true,true,true,false,true,true,true,false,false,false,false,
dra.gov,Executive,Delta Regional Authority,Delta Regional Authority,,true,true,false,true,true,true,false,false,false,false,false,true
denali.gov,Executive,Denali Commission,Denali Commission,,true,true,true,true,true,true,false,false,false,false,false,true
2020census.gov,Executive,Department of Commerce,Census Bureau,,true,true,false,false,true,false,false,false,false,false,false,
ap.gov,Executive,Department of Commerce,TCD / BIS / Dept of Commerce,,true,true,false,false,false,false,false,false,true,false,false,
aviationweather.gov,Executive,Department of Commerce,National Weather Service,,true,true,true,true,true,false,false,false,false,false,false,true
bea.gov,Executive,Department of Commerce,Bureau of Economic Analysis,,true,true,false,true,true,true,true,false,true,false,false,true
bis.gov,Executive,Department of Commerce,Bureau of Industry and Security,,true,false,true,false,false,false,false,false,false,false,false,
bldrdoc.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,false,false,false,false,false,false,false,false,false,false,
buyusa.gov,Executive,Department of Commerce,International Trade Administration,,true,true,false,false,true,false,false,false,false,false,false,
census.gov,Executive,Department of Commerce,Census Bureau,,true,true,true,true,true,true,true,false,true,false,false,true
chips.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,false,false,false,false,false,false,false,false,false,false,
climate.gov,Executive,Department of Commerce,NWS/OPS33,,true,true,true,true,true,false,false,false,false,false,false,true
commerce.gov,Executive,Department of Commerce,Department of Commerce,,true,true,true,true,true,true,true,false,false,false,false,true
cwc.gov,Executive,Department of Commerce,Bureau of Industry and Security,,true,true,false,true,true,false,false,false,true,false,false,true
dataprivacyframework.gov,Executive,Department of Commerce,International Trade Administration,,true,false,false,true,false,false,false,false,false,false,false,true
dnsops.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,true,false,false,false,false,false,false,false,false,false,
doc.gov,Executive,Department of Commerce,Office of the Chief Information Officer,,true,true,false,false,true,false,true,false,false,false,false,
drought.gov,Executive,Department of Commerce,NOAA/NCDC,,true,true,true,true,true,false,false,false,false,false,false,true
eda.gov,Executive,Department of Commerce,Economic Development Administration,,true,true,false,true,true,true,true,false,false,false,false,true
edison.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,true,false,true,false,false,false,false,false,false,false,true
export.gov,Executive,Department of Commerce,International Trade Administration,,true,true,false,false,true,true,false,false,false,false,false,
firstnet.gov,Executive,Department of Commerce,National Telecommunications and Information Administration,,true,true,true,true,true,false,false,false,false,false,false,true
fishwatch.gov,Executive,Department of Commerce,NOAA Fisheries,,true,true,false,false,true,false,false,false,false,false,false,
goes-r.gov,Executive,Department of Commerce,NASA GSFC,,true,true,true,true,true,false,false,false,false,false,false,true
gps.gov,Executive,Department of Commerce,National Executive Committee for Space-Based PNT,,true,true,true,false,true,false,false,false,false,false,false,
heat.gov,Executive,Department of Commerce,NOAA Climate Program Office,,true,false,false,true,false,false,false,false,false,false,false,true
hurricanes.gov,Executive,Department of Commerce,NOAA/National Hurricane Center,,true,true,false,false,false,false,false,false,false,false,false,
icams-portal.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration Office of the Federal Coordinator for Meteorology,,true,false,false,true,false,false,false,false,false,false,false,true
icts.gov,Executive,Department of Commerce,Bureau of Industry and Security,,true,false,false,false,false,false,false,false,false,false,false,
iedison.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,true,false,true,false,false,false,false,false,false,false,true
internet4all.gov,Executive,Department of Commerce,National Telecommunications and Information Administration,,true,false,false,true,false,false,false,false,false,false,false,false
internetforall.gov,Executive,Department of Commerce,National Telecommunications and Information Administration,,true,false,true,true,false,false,false,false,false,false,false,true
luca-appeals.gov,Executive,Department of Commerce,Census Bureau,,true,true,false,false,false,false,false,false,false,false,false,
manufacturing.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,true,true,true,true,false,false,false,false,false,false,true
marinecadastre.gov,Executive,Department of Commerce,NOAA Coastal Services Center,,true,true,true,true,true,false,false,false,false,false,false,true
mbda.gov,Executive,Department of Commerce,Minority Business Development Agency,,true,true,true,true,true,true,true,false,false,false,false,true
mgi.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,true,false,true,true,false,false,false,false,false,false,true
my2020census.gov,Executive,Department of Commerce,Census Bureau,,true,false,false,false,false,false,false,false,false,false,false,
nehrp.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,true,false,true,true,false,false,false,false,false,false,true
nist.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,true,true,true,true,true,true,false,false,false,false,true
noaa.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,,true,true,true,true,true,true,true,false,false,false,false,true
ntia.gov,Executive,Department of Commerce,National Telecommunications and Information Administration,,true,true,true,true,false,false,false,false,false,false,false,true
ntis.gov,Executive,Department of Commerce,National Technical Information Service,,true,true,false,true,true,true,true,false,false,false,false,true
nwirp.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,false,false,false,false,false,false,false,false,false,false,
ofcm.gov,Executive,Department of Commerce,Office of the Federal Coordinator for Meteorolgy,,true,true,false,false,true,false,false,false,false,false,false,
papahanaumokuakea.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,,true,true,true,true,true,false,false,false,false,false,false,true
privacyshield.gov,Executive,Department of Commerce,International Trade Administration,,true,true,true,false,false,false,false,false,false,false,false,
pscr.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,true,false,false,true,false,false,false,false,false,false,
sdr.gov,Executive,Department of Commerce,National Science and Technology Council,,true,true,true,true,true,false,false,false,false,false,false,true
selectusa.gov,Executive,Department of Commerce,International Trade Administration,,true,true,false,false,true,false,false,false,false,false,false,
semiconductors.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,false,false,false,false,false,false,false,false,false,false,
spaceweather.gov,Executive,Department of Commerce,Space Environment Center W/NP9,,true,true,false,true,false,false,false,false,false,false,false,true
spd15revision.gov,Executive,Department of Commerce,Census Bureau,,true,false,true,true,false,false,false,false,false,false,false,true
spectrum.gov,Executive,Department of Commerce,National Telecommunications and Information Administration,,true,true,false,false,false,false,false,false,false,false,false,
standards.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,true,false,false,true,false,false,false,false,false,false,
stopfakes.gov,Executive,Department of Commerce,International Trade Administration,,true,true,true,true,true,false,false,false,false,false,false,true
sworm.gov,Executive,Department of Commerce,NOAA/Space Weather Prediction Center,,true,true,false,true,true,false,false,false,false,false,false,true
tasefiling.gov,Executive,Department of Commerce,International Trade Administration,,true,false,false,true,false,false,false,false,false,false,false,true
techhubs.gov,Executive,Department of Commerce,Department of Commerce,,true,false,false,false,false,false,false,false,false,false,false,
time.gov,Executive,Department of Commerce,National Institute of Standards and Technology,,true,true,true,true,true,false,false,false,false,false,false,true
tracss.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,,true,false,false,false,false,false,false,false,false,false,false,
trade.gov,Executive,Department of Commerce,International Trade Administration,,true,true,true,true,true,true,true,false,true,false,false,true
tsunami.gov,Executive,Department of Commerce,West Coast & Alaska Tsunami Warning Center,,true,true,false,true,true,false,false,false,false,false,false,true
usicecenter.gov,Executive,Department of Commerce,U. S. National Ice Center,,true,false,true,true,false,false,false,false,false,false,false,true
uspto.gov,Executive,Department of Commerce,USPTO,,true,true,true,true,true,true,true,false,true,false,false,true
weather.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,,true,true,true,true,true,true,true,false,false,false,false,true
wwtg.gov,Executive,Department of Commerce,International Trade Administration,,true,false,false,true,false,false,false,false,false,false,false,true
xd.gov,Executive,Department of Commerce,Census Bureau,,true,true,true,true,false,false,false,false,false,false,false,true
adlnet.gov,Executive,Department of Defense,Advanced Distributed Learning Initiative,,true,true,true,true,true,false,false,false,false,false,false,true
aftac.gov,Executive,Department of Defense,Air Force Technical Applications Center,,true,false,false,false,false,false,false,false,false,false,false,
altusandc.gov,Executive,Department of Defense,Air Force Technical Applications Center,,true,false,false,false,false,false,false,false,false,false,false,
blueroof.gov,Executive,Department of Defense,U.S. Army Corps of Engineers,,true,false,false,false,false,false,false,false,false,false,false,
businessdefense.gov,Executive,Department of Defense,"Office of the Under Secretary of Defense for Acquisition, Technology and Logistics",,true,true,true,true,true,false,false,false,false,true,false,true
cap.gov,Executive,Department of Defense,Civil Air Patrol HQ,,true,true,false,false,false,false,false,false,false,false,false,
capnhq.gov,Executive,Department of Defense,Civil Air Patrol HQ,,true,true,false,true,false,false,false,false,false,false,false,true
cmts.gov,Executive,Department of Defense,US Army Corps of Engineers,,true,true,true,true,true,false,false,false,false,false,false,true
cnss.gov,Executive,Department of Defense,CNSS Secretariat,,true,true,false,true,true,false,false,false,false,false,false,true
ctoc.gov,Executive,Department of Defense,MCTFT,,true,true,false,false,false,false,false,false,false,false,false,
cttso.gov,Executive,Department of Defense,Irregular Warfare Technical Support Directorate,,true,true,false,true,true,false,false,false,false,false,false,true
dc3on.gov,Executive,Department of Defense,Defense Cyber Crime Center,,true,false,false,false,false,false,false,false,false,false,false,
defense.gov,Executive,Department of Defense,Defense Media Activity,,true,true,true,true,true,true,true,false,false,true,false,true
doddns.gov,Executive,Department of Defense,Office of the Department of Defense Chief Information Officer,,true,false,false,false,false,false,false,false,false,false,false,
ecs.gov,Executive,Department of Defense,Office of the Department of Defense Chief Information Officer,,true,false,false,false,false,false,false,false,false,false,false,
ehr.gov,Executive,Department of Defense,Federal Electronic Health Record Modernization,,true,false,false,false,false,false,false,false,false,false,false,
fehrm.gov,Executive,Department of Defense,FEHRM,,true,false,true,true,false,false,false,false,false,false,false,true
fvap.gov,Executive,Department of Defense,Federal Voting Assistance Program,,true,true,false,true,true,true,false,false,true,false,false,true
hive.gov,Executive,Department of Defense,PEO DHMS,,true,false,false,true,false,false,false,false,false,false,false,true
iad.gov,Executive,Department of Defense,National Security Agency,,true,true,false,true,true,false,false,false,false,false,false,true
intelligencecareers.gov,Executive,Department of Defense,National Security Agency,,true,true,true,true,true,false,false,false,false,false,false,true
ioss.gov,Executive,Department of Defense,Interagency OPSEC Support Staff,,true,true,false,false,false,false,false,false,false,false,false,
itc.gov,Executive,Department of Defense,Interagency Training Center,,true,false,false,false,false,false,false,false,false,false,false,
iwtsd.gov,Executive,Department of Defense,Irregular Warfare Technical Support Directorate,,true,false,false,true,false,false,false,false,false,false,false,true
jccs.gov,Executive,Department of Defense,Defense Logistics Agency,,true,true,false,true,true,false,false,false,false,false,false,true
lps.gov,Executive,Department of Defense,"National Security Agency, Laboratory for Physical Sciences",,true,true,false,true,false,false,false,false,false,false,false,true
mds.gov,Executive,Department of Defense,Office of the Department of Defense Chief Information Officer,,true,false,false,false,false,false,false,false,false,false,false,
mtmc.gov,Executive,Department of Defense,Department of Defense,,true,false,false,false,false,false,false,false,false,false,false,
mypay.gov,Executive,Department of Defense,Defense Finance and Accounting Service,,true,false,false,false,false,false,false,false,false,false,false,
nationalresourcedirectory.gov,Executive,Department of Defense,Office of Warrior Care Policy,,true,true,true,true,true,false,false,false,false,false,false,true
nbib.gov,Executive,Department of Defense,Defense Counterintelligence and Security Agency,,true,true,false,false,true,false,false,false,false,false,false,
nrd.gov,Executive,Department of Defense,Office of Warrior Care Policy,,true,true,true,true,true,false,false,false,false,false,false,true
nro.gov,Executive,Department of Defense,NRO,,true,true,true,true,true,true,false,false,false,true,true,true
nsa.gov,Executive,Department of Defense,National Security Agency,,true,true,true,true,true,true,true,false,false,true,true,true
nsep.gov,Executive,Department of Defense,National Security Education Program (NSEP) at DLNSEO,,true,true,false,false,true,false,false,false,false,false,false,
oea.gov,Executive,Department of Defense,Office of Economic Adjustment,,true,true,false,false,true,false,true,false,false,false,false,
oldcc.gov,Executive,Department of Defense,Office of Local Defense Community Cooperation,,true,false,false,true,false,true,false,false,false,false,false,true
oneaftac.gov,Executive,Department of Defense,Air Force Technical Applications Center,,true,false,false,false,false,false,false,false,false,false,false,
tak.gov,Executive,Department of Defense,TAK Product Center,,true,false,false,true,false,false,false,false,false,false,false,true
tswg.gov,Executive,Department of Defense,Irregular Warfare Technical Support Directorate,,true,true,false,true,true,false,false,false,false,false,false,true
ukraineoversight.gov,Executive,Department of Defense,Department of Defense Office of Inspector General,,true,false,true,false,false,false,false,false,false,false,false,
usandc.gov,Executive,Department of Defense,AFTAC/LSCSS,,true,false,false,false,false,false,false,false,false,false,false,
usgovdod.gov,Executive,Department of Defense,Office of the Department of Defense Chief Information Officer,,true,false,false,false,false,false,false,false,false,false,false,
budgetlob.gov,Executive,Department of Education,Office of Chief Information Officer,,true,true,false,false,true,false,false,false,false,false,false,
childstats.gov,Executive,Department of Education,Office of Chief Information Officer,,true,true,true,true,true,false,false,false,false,false,false,true
collegenavigator.gov,Executive,Department of Education,Office of Chief Information Officer,,true,true,false,false,true,false,false,false,false,false,false,
ed.gov,Executive,Department of Education,Office of Chief Information Officer,,true,true,true,true,true,true,true,false,true,false,false,true
fafsa.gov,Executive,Department of Education,Department of Education,,true,true,false,false,true,false,false,false,true,false,false,
g5.gov,Executive,Department of Education,Office of Chief Information Officer,,true,true,false,true,true,false,false,false,true,false,false,true
nagb.gov,Executive,Department of Education,Office of Chief Information Officer,,true,true,true,true,true,false,false,false,false,false,false,true
nationsreportcard.gov,Executive,Department of Education,Office of Chief Information Officer,,true,true,true,true,true,false,false,false,false,false,false,true
studentaid.gov,Executive,Department of Education,Department of Education,,true,true,true,true,true,true,false,false,true,false,false,true
studentloans.gov,Executive,Department of Education,Department of Education,,true,true,false,false,true,false,false,false,false,false,false,
ameslab.gov,Executive,Department of Energy,Ames Laboratory,,true,true,false,true,true,true,false,false,false,false,false,true
anl.gov,Executive,Department of Energy,Argonne National Laboratory,,true,true,false,true,true,true,false,false,false,false,false,true
arm.gov,Executive,Department of Energy,Battelle Pacific Northwest National Laboratory,,true,true,false,true,true,false,false,false,false,false,false,true
biomassboard.gov,Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,,true,true,true,true,true,false,false,false,false,false,false,true
bnl.gov,Executive,Department of Energy,Brookhaven National Laboratory,,true,true,false,true,true,true,false,false,false,false,false,true
bpa.gov,Executive,Department of Energy,Bonneville Power Administration,,true,true,true,true,true,true,false,false,false,false,false,true
buildingamerica.gov,Executive,Department of Energy,Department of Energy,,true,true,false,false,false,false,false,false,false,false,false,
casl.gov,Executive,Department of Energy,Oak Ridge National Laboratory,,true,true,false,true,true,false,false,false,false,false,false,true
cebaf.gov,Executive,Department of Energy,Thomas Jefferson National Accelerator Facility,,true,false,false,false,false,false,false,false,false,false,false,
cendi.gov,Executive,Department of Energy,OSTI,,true,true,false,true,true,false,false,false,false,false,false,true
citap.gov,Executive,Department of Energy,"US Department of Energy, Office of the CIO",,true,false,false,false,false,false,false,false,false,false,false,
doe.gov,Executive,Department of Energy,"US Department of Energy, Office of the CIO",,true,true,false,false,true,false,false,false,false,false,false,
driveelectric.gov,Executive,Department of Energy,National Renewable Energy Laboratory,,true,false,true,true,false,false,false,false,false,false,false,true
eia.gov,Executive,Department of Energy,Energy Information Administration,,true,true,false,true,true,true,true,false,true,false,false,true
energycodes.gov,Executive,Department of Energy,Department of Energy Bulding Energy Codes Program,,true,true,false,true,true,false,false,false,false,false,false,true
energycommunities.gov,Executive,Department of Energy,"US Department of Energy, Office of the CIO",,true,false,false,true,false,false,false,false,false,false,false,true
energy.gov,Executive,Department of Energy,"US Department of Energy, Office of the CIO",,true,true,true,true,true,true,true,false,false,false,false,true
energysaver.gov,Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,,true,false,false,false,false,false,false,false,false,false,false,
energysavers.gov,Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,,true,false,false,false,false,false,false,false,false,false,false,
fnal.gov,Executive,Department of Energy,Fermi National Accelerator Laboratory,,true,true,false,true,true,true,false,false,false,false,false,true
fueleconomy.gov,Executive,Department of Energy,Oak Ridge National Laboratory,,true,true,true,true,true,false,false,false,false,false,false,true
hanford.gov,Executive,Department of Energy,Hanford Mission Integration Solutions,,true,true,false,true,true,false,false,false,false,false,false,true
homeenergyscore.gov,Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,,true,true,false,false,false,false,false,false,false,false,false,
hydrogen.gov,Executive,Department of Energy,Research and Special Programs Administration / Volpe,,true,true,false,false,true,false,false,false,false,false,false,
inel.gov,Executive,Department of Energy,Idaho National Laboratory,,true,false,false,false,false,false,false,false,false,false,false,
inl.gov,Executive,Department of Energy,Idaho National Laboratory,,true,true,false,true,true,true,false,false,false,false,false,true
isotope.gov,Executive,Department of Energy,The National Isotope Development Center ,,true,true,false,false,true,false,false,false,false,false,false,
isotopes.gov,Executive,Department of Energy,The National Isotope Development Center ,,true,true,false,true,true,false,false,false,false,false,false,true
lanl.gov,Executive,Department of Energy,Los Alamos National Laboratory,,true,true,false,true,true,true,false,false,false,false,false,true
lbl.gov,Executive,Department of Energy,Lawrence Berkeley National Laboratory,,true,true,false,true,true,true,false,false,false,false,false,true
llnl.gov,Executive,Department of Energy,Lawrence Livermore National Laboratory,,true,true,true,false,true,true,false,false,false,false,false,
nccs.gov,Executive,Department of Energy,Oak Ridge National Laboratory,,true,true,false,false,false,false,false,false,false,false,false,
ncrc.gov,Executive,Department of Energy,Oak Ridge National Laboratory,,true,true,false,true,true,false,false,false,false,false,false,true
nersc.gov,Executive,Department of Energy,National Energy Research Scientific Computing Center,,true,true,false,true,true,false,false,false,false,false,false,true
neup.gov,Executive,Department of Energy,Office of Nuclear Energy,,true,true,false,false,false,false,false,false,false,false,false,
nnss.gov,Executive,Department of Energy,"National Nuclear Security Administration, National Security Technologies, LLC",,true,true,false,true,true,false,false,false,false,false,false,true
nrel.gov,Executive,Department of Energy,National Renewable Energy Laboratory,,true,true,true,true,true,true,false,false,false,false,false,true
nrelhub.gov,Executive,Department of Energy,National Renewable Energy Laboratory,,true,false,false,false,false,false,false,false,false,false,false,
ntrc.gov,Executive,Department of Energy,Oak Ridge National Laboratory,,true,true,false,false,true,false,false,false,false,false,false,
nuclear.gov,Executive,Department of Energy,Department of Energy,,true,false,false,true,false,false,false,false,false,false,false,false
orau.gov,Executive,Department of Energy,ORAU,,true,true,false,false,false,false,false,false,false,false,false,
ornl.gov,Executive,Department of Energy,Oak Ridge National Laboratory,,true,true,true,true,true,true,false,false,false,false,false,true
osti.gov,Executive,Department of Energy,OSTI,,true,true,true,true,true,true,true,false,false,false,false,true
pcast.gov,Executive,Department of Energy,Department of Energy,,true,false,false,false,false,false,false,false,false,false,false,
pnl.gov,Executive,Department of Energy,Pacific Northwest National Laboratory,,true,true,false,false,true,false,false,false,false,false,false,
