initial_domain,reason
clintonwhitehouse1.archives.gov,all scans failed dns resolution for 6 months in a row
clintonwhitehouse2.archives.gov,all scans failed dns resolution for 6 months in a row
fb.app.archives.gov,all scans failed dns resolution for 6 months in a row
acrf-campaign.arm.gov,all scans failed dns resolution for 6 months in a row
cmdb.arm.gov,all scans failed dns resolution for 6 months in a row
cmdbdev.vsn.arm.gov,all scans failed dns resolution for 6 months in a row
cmdbprd0.vsn.arm.gov,all scans failed dns resolution for 6 months in a row
devoss.arm.gov,all scans failed dns resolution for 6 months in a row
devsa.arm.gov,all scans failed dns resolution for 6 months in a row
dis.arm.gov,all scans failed dns resolution for 6 months in a row
dq-amfc1.amf.arm.gov,all scans failed dns resolution for 6 months in a row
dsview-amfc1.amf.arm.gov,all scans failed dns resolution for 6 months in a row
dsview-amfc3.amf.arm.gov,all scans failed dns resolution for 6 months in a row
dsview.arm.gov,all scans failed dns resolution for 6 months in a row
dsview-enac1.ena.arm.gov,all scans failed dns resolution for 6 months in a row
dsview-nsac1.nsa.arm.gov,all scans failed dns resolution for 6 months in a row
dsview-sgpc1.sgp.arm.gov,all scans failed dns resolution for 6 months in a row
emerald.dmf.arm.gov,all scans failed dns resolution for 6 months in a row
kiosk.arm.gov,all scans failed dns resolution for 6 months in a row
mars.dmf.arm.gov,all scans failed dns resolution for 6 months in a row
pearl.dmf.arm.gov,all scans failed dns resolution for 6 months in a row
prodweb.arm.gov,all scans failed dns resolution for 6 months in a row
radar.arm.gov,all scans failed dns resolution for 6 months in a row
warno.arm.gov,all scans failed dns resolution for 6 months in a row
web-amfc1.amf.arm.gov,all scans failed dns resolution for 6 months in a row
web-amfc3.amf.arm.gov,all scans failed dns resolution for 6 months in a row
web-enac1.ena.arm.gov,all scans failed dns resolution for 6 months in a row
web-nsac1.nsa.arm.gov,all scans failed dns resolution for 6 months in a row
web-sgpc1.sgp.arm.gov,all scans failed dns resolution for 6 months in a row
xdc.arm.gov,all scans failed dns resolution for 6 months in a row
arsusda.gov,all scans failed dns resolution for 6 months in a row
docgw.ssologin1.asap.gov,all scans failed dns resolution for 6 months in a row
assistantdemocraticleader.gov,all scans failed dns resolution for 6 months in a row
ata.gov,all scans failed dns resolution for 6 months in a row
atf-seg365.atf.gov,all scans failed dns resolution for 6 months in a row
dfuzenet.atf.gov,all scans failed dns resolution for 6 months in a row
pilot2.atf.gov,all scans failed dns resolution for 6 months in a row
pilot.atf.gov,all scans failed dns resolution for 6 months in a row
wcs1.atf.gov,all scans failed dns resolution for 6 months in a row
wcs2.atf.gov,all scans failed dns resolution for 6 months in a row
webta.atf.gov,all scans failed dns resolution for 6 months in a row
bcaws.aviationweather.gov,all scans failed dns resolution for 6 months in a row
bam.gov,all scans failed dns resolution for 6 months in a row
hal2012.bbg.gov,all scans failed dns resolution for 6 months in a row
access01.bea.gov,all scans failed dns resolution for 6 months in a row
extws01.bea.gov,all scans failed dns resolution for 6 months in a row
extws02.bea.gov,all scans failed dns resolution for 6 months in a row
join.bea.gov,all scans failed dns resolution for 6 months in a row
msoid.bea.gov,all scans failed dns resolution for 6 months in a row
oos01.bea.gov,all scans failed dns resolution for 6 months in a row
pulse.bea.gov,all scans failed dns resolution for 6 months in a row
sip.bea.gov,all scans failed dns resolution for 6 months in a row
api.benefits.gov,all scans failed dns resolution for 6 months in a row
buscar.benefits.gov,all scans failed dns resolution for 6 months in a row
es.benefits.gov,all scans failed dns resolution for 6 months in a row
search.benefits.gov,all scans failed dns resolution for 6 months in a row
dcfsm.bep.gov,all scans failed dns resolution for 6 months in a row
wcfsm.bep.gov,all scans failed dns resolution for 6 months in a row
bldrdoc.gov,all scans failed dns resolution for 6 months in a row
adoptahorse.blm.gov,all scans failed dns resolution for 6 months in a row
navigator.blm.gov,all scans failed dns resolution for 6 months in a row
navigator-geoserver.blm.gov,all scans failed dns resolution for 6 months in a row
blogs.bls.gov,all scans failed dns resolution for 6 months in a row
blsconfidentialitytraining.bls.gov,all scans failed dns resolution for 6 months in a row
blsconfidentialitytrainingt.bls.gov,all scans failed dns resolution for 6 months in a row
blsprod.psb.bls.gov,all scans failed dns resolution for 6 months in a row
blsrev.psb.bls.gov,all scans failed dns resolution for 6 months in a row
cesdatad.bls.gov,all scans failed dns resolution for 6 months in a row
dewscmspreview.psb.bls.gov,all scans failed dns resolution for 6 months in a row
idcfdbbs.bls.gov,all scans failed dns resolution for 6 months in a row
idcfd.bls.gov,all scans failed dns resolution for 6 months in a row
idcfdoews.bls.gov,all scans failed dns resolution for 6 months in a row
idcfoes.bls.gov,all scans failed dns resolution for 6 months in a row
remoteaccessdr.bls.gov,all scans failed dns resolution for 6 months in a row
subscriptions.bls.gov,all scans failed dns resolution for 6 months in a row
wwtest.bls.gov,all scans failed dns resolution for 6 months in a row
zuni2.psb.bls.gov,all scans failed dns resolution for 6 months in a row
zuni3po.psb.bls.gov,all scans failed dns resolution for 6 months in a row
zuni3.psb.bls.gov,all scans failed dns resolution for 6 months in a row
zuni4m.psb.bls.gov,all scans failed dns resolution for 6 months in a row
zuni4.psb.bls.gov,all scans failed dns resolution for 6 months in a row
ahostman01.usatlas.bnl.gov,all scans failed dns resolution for 6 months in a row
cache6.sdcc.bnl.gov,all scans failed dns resolution for 6 months in a row
cfnproposals.bnl.gov,all scans failed dns resolution for 6 months in a row
cvmfs-s1a.sdcc.bnl.gov,all scans failed dns resolution for 6 months in a row
fom.bnl.gov,all scans failed dns resolution for 6 months in a row
larg-fect.usatlas.bnl.gov,all scans failed dns resolution for 6 months in a row
npp.bnl.gov,all scans failed dns resolution for 6 months in a row
people.usatlas.bnl.gov,all scans failed dns resolution for 6 months in a row
public.bnl.gov,all scans failed dns resolution for 6 months in a row
ruciotest02.usatlas.bnl.gov,all scans failed dns resolution for 6 months in a row
sp.racf.bnl.gov,all scans failed dns resolution for 6 months in a row
sp.usatlas.bnl.gov,all scans failed dns resolution for 6 months in a row
tvdg10.phy.bnl.gov,all scans failed dns resolution for 6 months in a row
usatlasgrid.bnl.gov,all scans failed dns resolution for 6 months in a row
boemre.gov,all scans failed dns resolution for 6 months in a row
gis.boemre.gov,all scans failed dns resolution for 6 months in a row
bor.gov,all scans failed dns resolution for 6 months in a row
connect1.bpa.gov,all scans failed dns resolution for 6 months in a row
connect2.bpa.gov,all scans failed dns resolution for 6 months in a row
customerportal.bpa.gov,all scans failed dns resolution for 6 months in a row
ccdp.bts.gov,all scans failed dns resolution for 6 months in a row
near-miss.bts.gov,all scans failed dns resolution for 6 months in a row
budgetlob.gov,all scans failed dns resolution for 6 months in a row
apply.cancer.gov,all scans failed dns resolution for 6 months in a row
bot.seer.cancer.gov,all scans failed dns resolution for 6 months in a row
cancerresearchideas.cancer.gov,all scans failed dns resolution for 6 months in a row
ccrjira.cancer.gov,all scans failed dns resolution for 6 months in a row
cdr.cancer.gov,all scans failed dns resolution for 6 months in a row
clinicaltrialsapi-int.cancer.gov,all scans failed dns resolution for 6 months in a row
connections.ccr.cancer.gov,all scans failed dns resolution for 6 months in a row
cssi-prod-sg.ha2.cancer.gov,all scans failed dns resolution for 6 months in a row
fair.cancer.gov,all scans failed dns resolution for 6 months in a row
gutcheck.cancer.gov,all scans failed dns resolution for 6 months in a row
hub-dev2.datacommons.cancer.gov,all scans failed dns resolution for 6 months in a row
icbc.cancer.gov,all scans failed dns resolution for 6 months in a row
idp.cancer.gov,all scans failed dns resolution for 6 months in a row
itcr.ha2.cancer.gov,all scans failed dns resolution for 6 months in a row
login.gdc.cancer.gov,all scans failed dns resolution for 6 months in a row
m.cancer.gov,all scans failed dns resolution for 6 months in a row
mtp.ccr.cancer.gov,all scans failed dns resolution for 6 months in a row
ncidose.cancer.gov,all scans failed dns resolution for 6 months in a row
oham.cancer.gov,all scans failed dns resolution for 6 months in a row
ovariancancer.gog199.cancer.gov,all scans failed dns resolution for 6 months in a row
prescancerpanel.ha2.cancer.gov,all scans failed dns resolution for 6 months in a row
sbir.ha2.cancer.gov,all scans failed dns resolution for 6 months in a row
teamsciencetoolkit.cancer.gov,all scans failed dns resolution for 6 months in a row
techtransfer.ha2.cancer.gov,all scans failed dns resolution for 6 months in a row
visualsonline-prod.cancer.gov,all scans failed dns resolution for 6 months in a row
cxo.dialogue2.cao.gov,all scans failed dns resolution for 6 months in a row
cxo.dialogue.cao.gov,all scans failed dns resolution for 6 months in a row
014.nhwg.cap.gov,all scans failed dns resolution for 6 months in a row
016.nhwg.cap.gov,all scans failed dns resolution for 6 months in a row
032.nhwg.cap.gov,all scans failed dns resolution for 6 months in a row
037.nhwg.cap.gov,all scans failed dns resolution for 6 months in a row
053.nhwg.cap.gov,all scans failed dns resolution for 6 months in a row
054.nhwg.cap.gov,all scans failed dns resolution for 6 months in a row
056.nhwg.cap.gov,all scans failed dns resolution for 6 months in a row
059.nhwg.cap.gov,all scans failed dns resolution for 6 months in a row
801.nhwg.cap.gov,all scans failed dns resolution for 6 months in a row
boise.idwg.cap.gov,all scans failed dns resolution for 6 months in a row
cadetcompetition.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
conference.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
ct004.ctwg.cap.gov,all scans failed dns resolution for 6 months in a row
ct011.ctwg.cap.gov,all scans failed dns resolution for 6 months in a row
ct014.ctwg.cap.gov,all scans failed dns resolution for 6 months in a row
ct022.ctwg.cap.gov,all scans failed dns resolution for 6 months in a row
ct058.ctwg.cap.gov,all scans failed dns resolution for 6 months in a row
ct062.ctwg.cap.gov,all scans failed dns resolution for 6 months in a row
ct071.ctwg.cap.gov,all scans failed dns resolution for 6 months in a row
encampment.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
forms.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
group3.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
group4.vawg.cap.gov,all scans failed dns resolution for 6 months in a row
group6.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
iwu.ilwg.cap.gov,all scans failed dns resolution for 6 months in a row
oh004.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
oh051.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
oh085.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
oh096.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
oh115.cap.gov,all scans failed dns resolution for 6 months in a row
oh115.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
oh156.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
oh177.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
oh209.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
oh210.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
oh229.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
oh234.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
oh236.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
oh275.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
oh277.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
oh278.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
oh288.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
ops.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
raptors.nywg.cap.gov,all scans failed dns resolution for 6 months in a row
seg.nywg.cap.gov,all scans failed dns resolution for 6 months in a row
wingcalendar.ohwg.cap.gov,all scans failed dns resolution for 6 months in a row
capitalgiftshop.gov,all scans failed dns resolution for 6 months in a row
capitolgiftshop.gov,all scans failed dns resolution for 6 months in a row
vminfo.casl.gov,all scans failed dns resolution for 6 months in a row
cavc.gov,all scans failed dns resolution for 6 months in a row
cbi-epa.gov,all scans failed dns resolution for 6 months in a row
foiarr.cbp.gov,all scans failed dns resolution for 6 months in a row
forms.cbp.gov,all scans failed dns resolution for 6 months in a row
teregistration.cbp.gov,all scans failed dns resolution for 6 months in a row
accesstest.cdc.gov,all scans failed dns resolution for 6 months in a row
acclft.cdc.gov,all scans failed dns resolution for 6 months in a row
adobeconnect-login.cdc.gov,all scans failed dns resolution for 6 months in a row
atsdr.glb.cdc.gov,all scans failed dns resolution for 6 months in a row
cdcshare.cdc.gov,all scans failed dns resolution for 6 months in a row
cert.cdc.gov,all scans failed dns resolution for 6 months in a row
chamfeweb-ext.cdc.gov,all scans failed dns resolution for 6 months in a row
clftfeweb-ext.cdc.gov,all scans failed dns resolution for 6 months in a row
cra.cdc.gov,all scans failed dns resolution for 6 months in a row
dcipher-training.cdc.gov,all scans failed dns resolution for 6 months in a row
eforms.cdc.gov,all scans failed dns resolution for 6 months in a row
ehseleafio.cdc.gov,all scans failed dns resolution for 6 months in a row
emergency-origin.cdc.gov,all scans failed dns resolution for 6 months in a row
emergency-origin.glb.cdc.gov,all scans failed dns resolution for 6 months in a row
eocexternal.cdc.gov,all scans failed dns resolution for 6 months in a row
eocexternal.glb.cdc.gov,all scans failed dns resolution for 6 months in a row
fl-mmria.services.cdc.gov,all scans failed dns resolution for 6 months in a row
fms.cdc.gov,all scans failed dns resolution for 6 months in a row
fsap.cdc.gov,all scans failed dns resolution for 6 months in a row
gis.glb.cdc.gov,all scans failed dns resolution for 6 months in a row
hehrtv.nchs.cdc.gov,all scans failed dns resolution for 6 months in a row
lgconfweb-ext.cdc.gov,all scans failed dns resolution for 6 months in a row
lyncwebapps-ext.cdc.gov,all scans failed dns resolution for 6 months in a row
meris.cdc.gov,all scans failed dns resolution for 6 months in a row
microbenet.glb.cdc.gov,all scans failed dns resolution for 6 months in a row
npptest.cdc.gov,all scans failed dns resolution for 6 months in a row
nvdrstrain.cdc.gov,all scans failed dns resolution for 6 months in a row
omshrcms.cdc.gov,all scans failed dns resolution for 6 months in a row
performs.cdc.gov,all scans failed dns resolution for 6 months in a row
phil.glb.cdc.gov,all scans failed dns resolution for 6 months in a row
phinmqf.cdc.gov,all scans failed dns resolution for 6 months in a row
phinvadsstg.cdc.gov,all scans failed dns resolution for 6 months in a row
podassistonprem.cdc.gov,all scans failed dns resolution for 6 months in a row
pt.cdc.gov,all scans failed dns resolution for 6 months in a row
qars.cdc.gov,all scans failed dns resolution for 6 months in a row
remoteiptv-piv.cdc.gov,all scans failed dns resolution for 6 months in a row
sdp-v.services.cdc.gov,all scans failed dns resolution for 6 months in a row
secure-int.cdc.gov,all scans failed dns resolution for 6 months in a row
sip.cdc.gov,all scans failed dns resolution for 6 months in a row
sortablestatsapi.cdc.gov,all scans failed dns resolution for 6 months in a row
sortablestats.cdc.gov,all scans failed dns resolution for 6 months in a row
svi.glb.cdc.gov,all scans failed dns resolution for 6 months in a row
tppreporting.cdc.gov,all scans failed dns resolution for 6 months in a row
webappa.glb.cdc.gov,all scans failed dns resolution for 6 months in a row
webaudio.cdc.gov,all scans failed dns resolution for 6 months in a row
webconf.cdc.gov,all scans failed dns resolution for 6 months in a row
wphss.cdc.gov,all scans failed dns resolution for 6 months in a row
wtdv-phgkb-10.cdc.gov,all scans failed dns resolution for 6 months in a row
zikapregnancyregistries.cdc.gov,all scans failed dns resolution for 6 months in a row
cebaf.gov,all scans failed dns resolution for 6 months in a row
author.cms.asd.census.gov,all scans failed dns resolution for 6 months in a row
author-publish.cms.asd.census.gov,all scans failed dns resolution for 6 months in a row
business.census.gov,all scans failed dns resolution for 6 months in a row
cidr-webadmin.econ.census.gov,all scans failed dns resolution for 6 months in a row
cidr-webadmin.train.econ.census.gov,all scans failed dns resolution for 6 months in a row
data.at.census.gov,all scans failed dns resolution for 6 months in a row
data.ci3.census.gov,all scans failed dns resolution for 6 months in a row
data.er.census.gov,all scans failed dns resolution for 6 months in a row
data.er.ditd.census.gov,all scans failed dns resolution for 6 months in a row
data.fr.census.gov,all scans failed dns resolution for 6 months in a row
enum.ti.census.gov,all scans failed dns resolution for 6 months in a row
id-provider.e.tco.census.gov,all scans failed dns resolution for 6 months in a row
it.data.census.gov,all scans failed dns resolution for 6 months in a row
lima.ti.census.gov,all scans failed dns resolution for 6 months in a row
map.dataweb.rm.census.gov,all scans failed dns resolution for 6 months in a row
mcm.ti.census.gov,all scans failed dns resolution for 6 months in a row
share.census.gov,all scans failed dns resolution for 6 months in a row
thedataweb.rm.census.gov,all scans failed dns resolution for 6 months in a row
um.ti.census.gov,all scans failed dns resolution for 6 months in a row
visual.it.census.gov,all scans failed dns resolution for 6 months in a row
vlab-adfs.tco.census.gov,all scans failed dns resolution for 6 months in a row
web3.acs.census.gov,all scans failed dns resolution for 6 months in a row
cofar.cfo.gov,all scans failed dns resolution for 6 months in a row
grantsfeedback.cfo.gov,all scans failed dns resolution for 6 months in a row
mycareer.cfo.gov,all scans failed dns resolution for 6 months in a row
ffiec-api.beta.cfpb.gov,all scans failed dns resolution for 6 months in a row
ffiec-api.cfpb.gov,all scans failed dns resolution for 6 months in a row
ffiec-auth.beta.cfpb.gov,all scans failed dns resolution for 6 months in a row
pert.cftc.gov,all scans failed dns resolution for 6 months in a row
strikeprice.cftc.gov,all scans failed dns resolution for 6 months in a row
