target_url,source_list_dod_2025
almpt.csd.disa.mil,TRUE
alssa.mil,TRUE
altvdi.dtra.mil,TRUE
amclg.csd.disa.mil,TRUE
ameddciviliancorps.amedd.army.mil,TRUE
ameliaearhartis.dodea.edu,TRUE
americanforcestravel.com,TRUE
amhs.jmhs.cpf.navy.mil,TRUE
amhs.jmhs.cpf.navy.smil.mil,TRUE
amps.dla.mil,TRUE
amrs.defense.gov,TRUE
ams.navair.navy.mil,TRUE
amsrrashore.csd.disa.mil,TRUE
amver.com,TRUE
anad.army.mil,TRUE
anchordesk.navy.smil.mil,TRUE
andersen.af.mil,TRUE
andersenes.dodea.edu,TRUE
andersenms.dodea.edu,TRUE
andrelucases.dodea.edu,TRUE
andrewsfss.com,TRUE
ankaraehs.dodea.edu,TRUE
anniston.armymwr.com,TRUE
ansbach.armymwr.com,TRUE
ansbaches.dodea.edu,TRUE
ansbachmhs.dodea.edu,TRUE
ansrp.el.erdc.dren.mil,TRUE
antilleses.dodea.edu,TRUE
antilleshs.dodea.edu,TRUE
antillesms.dodea.edu,TRUE
ants.jieddo.mil,TRUE
apacs.milcloud.mil,TRUE
apcrp.el.erdc.dren.mil,TRUE
api.army.mil,TRUE
api.dencom.army.mil,TRUE
api.dvidshub.net,TRUE
aplits.disa.mil,TRUE
app.mcboss.usmc.mil,TRUE
applicant.nga.mil,TRUE
applications.navsup.navy.mil,TRUE
apps.dse.futures.army.mil,TRUE
apps.dtic.mil,TRUE
apps.mcboss.usmc.mil,TRUE
apps.nag.navy.mil,TRUE
apps.navsea.navy.mil,TRUE
arba.army.pentagon.mil,TRUE
arcgis.com,TRUE
arcus.mil,TRUE
arcwerx.dso.mil,TRUE
arlingtoncemetery.mil,TRUE
army.dodlodging.net,TRUE
army.mil,TRUE
armybiznet.com,TRUE
armycareercounselor.com,TRUE
armyfieldband.com,TRUE
armygameday.com,TRUE
armyhealthfacilities.amedd.army.mil,TRUE
armyignited.army.mil,TRUE
armymwr.com,TRUE
armyresilience.army.mil,TRUE
armyrotc.army.mil,TRUE
armyuniversity.edu,TRUE
armywarcollege.edu,TRUE
arnnes.dodea.edu,TRUE
ars.navatfp.dc3n.navy.mil,TRUE
artifactory.jten.mil,TRUE
asbca.mil,TRUE
asc-406-lrc-belvoir.army.mil,TRUE
asep.armywarcollege.edu,TRUE
asgardgate.com,TRUE
asm.navy.mil,TRUE
asm3.nmci.navy.mil,TRUE
atav.navy.mil,TRUE
atc.navy.mil,TRUE
atiam.train.army.mil,TRUE
atm.dev.il2.afwerx.dso.mil,TRUE
attic.dtra.mil,TRUE
aukammes.dodea.edu,TRUE
auth.vitni.nucleus.asgardgate.com,TRUE
autonoa.army.mil,TRUE
autosaar.usmc.mil,TRUE
avianoes.dodea.edu,TRUE
avianomhs.dodea.edu,TRUE
avplm.services.nres.navy.mil,TRUE
awis.navair.navy.mil,TRUE
awm.army.mil,TRUE
baa-registration.darpa.mil,TRUE
baa-registration.sco.mil,TRUE
baa.darpa.mil,TRUE
baa.sco.mil,TRUE
bahraines.dodea.edu,TRUE
bahrainmhs.dodea.edu,TRUE
barkleyes.dodea.edu,TRUE
barksdalelife.com,TRUE
barsanties.dodea.edu,TRUE
baumholder.armymwr.com,TRUE
baumholdermhs.dodea.edu,TRUE
bavaria.armymwr.com,TRUE
bavr.cnic.navy.mil,TRUE
bechteles.dodea.edu,TRUE
belvoir.armymwr.com,TRUE
benelux.armymwr.com,TRUE
bestofgermany.stripes.com,TRUE
bestofpacific.stripes.com,TRUE
bims.navfac.navy.mil,TRUE
bitbucket.jten.mil,TRUE
bitzis.dodea.edu,TRUE
bliss.armymwr.com,TRUE
blueangels.navy.mil,TRUE
boards.law.af.mil,TRUE
bobhopees.dodea.edu,TRUE
bol.navy.mil,TRUE
boldenems.dodea.edu,TRUE
bootcamp.navy.mil,TRUE
bowleyes.dodea.edu,TRUE
bracbims.bracpmo.navy.mil,TRUE
brewsterms.dodea.edu,TRUE
bridgeport.usmc-mccs.org,TRUE
brussels.armymwr.com,TRUE
brusselsehs.dodea.edu,TRUE
bsaf.el.erdc.dren.mil,TRUE
buchanan.armymwr.com,TRUE
buckley.spaceforce.mil,TRUE
budm.el.erdc.dren.mil,TRUE
bugzilla.jten.mil,TRUE
builder.usmc.mil,TRUE
business.dla.mil,TRUE
businessportal.dla.mil,TRUE
c4isuite.atfp.cnic.navy.mil,TRUE
c4isuite.atfp.cnic.navy.smil.mil,TRUE
c5isrcenter.devcom.army.mil,TRUE
cac.jten.mil,TRUE
cadbimcenter.erdc.dren.mil,TRUE
cadpad.navair.navy.mil,TRUE
camis.nre.navy.mil,TRUE
campbell.armymwr.com,TRUE
campfuji.usmc-mccs.org,TRUE
cams.hqmc.usmc.smil.mil,TRUE
cap.mil,TRUE
capstone.ndu.edu,TRUE
carlisle.armymwr.com,TRUE
carson.armymwr.com,TRUE
cascom.army.mil,TRUE
casey.armymwr.com,TRUE
casl.ndu.edu,TRUE
catch.ncis.navy.mil,TRUE
cats.abl.navsea.navy.mil,TRUE
cavazos.armymwr.com,TRUE
cavazossentinel.com,TRUE
cbrd.navy.mil,TRUE
cbrnedss.dtra.mil,TRUE
cco.ndu.edu,TRUE
ccqas.csd.disa.mil,TRUE
cdms-nf.nmci.navy.mil,TRUE
cdms.navsea.navy.mil,TRUE
cdn.myafn.dodmedia.osd.mil,TRUE
cdse.edu,TRUE
cecom.army.mil,TRUE
cedcchrgw.dc3n.navy.mil,TRUE
centers.hpc.mil,TRUE
cets.dc3n.navy.mil,TRUE
cffo.fleetforces.navy.smil.mil,TRUE
cfwebx.ports.navy.mil,TRUE
cgcart.uscg.mil,TRUE
cgmix.uscg.mil,TRUE
cgpaas.uscg.mil,TRUE
cgrri.uscg.mil,TRUE
chaos.usmc.mil,TRUE
chat.il2.dso.mil,TRUE
cherrypoint.usmc-mccs.org,TRUE
chfs.abausmhs.health.mil,TRUE
chfs2.abausmhs.health.mil,TRUE
chievres.armymwr.com,TRUE
chinalake.navylifesw.com,TRUE
chinfo.navy.mil,TRUE
chrps.erdc.dren.mil,TRUE
chs.erdc.dren.mil,TRUE
cic.ndu.edu,TRUE
cid.army.mil,TRUE
cims.nmci.navy.mil,TRUE
cimts.navair.navy.mil,TRUE
circuits.navfac.navy.mil,TRUE
cirras.dc3n.navy.mil,TRUE
cisa.ndu.edu,TRUE
civbenefits.dc3n.navy.mil,TRUE
cjsl.ndu.edu,TRUE
cl.gtclapps.comtobeglobaltrader.dc2n.navy.mil,TRUE
clc2s.usmc.mil,TRUE
clclaims.jag.navy.mil,TRUE
clear.oni.nmci.navy.smil.mil,TRUE
cleoc.ncis.navy.mil,TRUE
clnr.hqi.usmc.mil,TRUE
cloud.navy.mil,TRUE
cloudone.af.mil,TRUE
clr2.marines.mil,TRUE
cm.navsea.navy.mil,TRUE
cmas.nswcpd.navy.mil,TRUE
cmis.navair.navy.mil,TRUE
cmmainweb.dc3n.navy.mil,TRUE
cmpro.navair.navy.mil,TRUE
cmpro.navy.mil,TRUE
cmpropac.navy.mil,TRUE
cms.dvidshub.net,TRUE
cnafcs.dc3n.navy.mil,TRUE
cno.navy.mil,TRUE
coalition.dso.mil,TRUE
coastguardathletics.com,TRUE
cobra.csd.disa.mil,TRUE
code.mil,TRUE
codenest.dc3n.navy.mil,TRUE
commissaries.com,TRUE
"confluence-ps.jten.mil,confluence-ga.jten.mil,
confluence.jten.mil,",TRUE
connect.disa.mil,TRUE
connect.navyaims.net,TRUE
console.wseast.navair.navy.mil,TRUE
contact.darpa.mil,TRUE
cool.osd.mil,TRUE
coronado.navylifesw.com,TRUE
corp.commissaries.com,TRUE
corp.dc3n.navy.mil,TRUE
corpslakes.erdc.dren.mil,TRUE
corpweb1.dfas.mil,TRUE
cors.navy.mil,TRUE
corsairranch.dso.mil,TRUE
cosmos.navy.mil,TRUE
cotf.navy.mil,TRUE
cpesrs.navair.navy.mil,TRUE
cpm-aim.ncdc.navy.mil,TRUE
cpm-essc.training.navy.smil.mil;cpm-essn.training.navy.smil.mil,TRUE
crcportal.unet.dtra.mil,TRUE
crf.usno.navy.mil,TRUE
criticalminerals.darpa.mil,TRUE
crl.gds.disa.mil,TRUE
crl.nit.disa.mil,TRUE
crossroadses.dodea.edu,TRUE
crsc.secnav.navy.mil,TRUE
csacms.cnic.navy.mil;,TRUE
csams.dc3n.navy.mil,TRUE
csg2.navyaims.net,TRUE
csm.ncis.navy.mil,TRUE
csp.navy.smil.mil,TRUE
ctcc.ddxwan.com,TRUE
ctf74.navy.smil.mil,TRUE
cto.mil,TRUE
ctoinnovation.mil,TRUE
ctuary.defense.gov,TRUE
cultureready.mil,TRUE
cuthill.dt.navy.mil,TRUE
cv-sharp.cvnxx.mil,TRUE
cw-environment.erdc.dren.mil,TRUE
cx.usmc-mccs.org,TRUE
cxmillprod.bol.navy.mil,TRUE
cyber.ncis.navy.mil,TRUE
cybercoe.army.mil,TRUE
cyp.cnic.n9portal.net,TRUE
daac.hpc.mil,TRUE
dacmmis.navy.mil,TRUE
dadms.cloud.navy.mil,TRUE
daegues.dodea.edu,TRUE
daegumhs.dodea.edu,TRUE
dafdto.com,TRUE
dafhistory.af.mil,TRUE
daflearning.af.mil,TRUE
dahlgren.dodea.edu,TRUE
dantes.mil,TRUE
darbyes.dodea.edu,TRUE
darpa.mil,TRUE
data.af.mil,TRUE
dave.acq.osd.mil,TRUE
dcas.dmdc.osd.mil,TRUE
dcast.csd.disa.mil,TRUE
dcpas.osd.mil,TRUE
dctc.mil,TRUE
dds.mil,TRUE
decacards.com,TRUE
decisionlens.cnic.navy.mil,TRUE
deckplate.navair.navy.mil,TRUE
defenseinnovationmarketplace.dtic.mil,TRUE
defensemwr.com,TRUE
deip.jmie.sgov.gov,TRUE
delalioes.dodea.edu,TRUE
demographics.militaryonesource.mil,TRUE
denix.osd.mil,TRUE
deomi.mil,TRUE
detrick.armymwr.com,TRUE
detroit.armymwr.com,TRUE
dev.stargazer.teambespin.us,TRUE
deverses.dodea.edu,TRUE
dexteres.dodea.edu,TRUE
dfba.mil,TRUE
dha-bcs.csd.disa.mil,TRUE
diamondes.dodea.edu,TRUE
digitalu.af.mil,TRUE
dinfos.edu,TRUE
disa.mil,TRUE
discover.dtic.mil,TRUE
discovery5.deloittefed.com,TRUE
diu.mil,TRUE
dliflc.edu,TRUE
dlnseo.mil,TRUE
dmacs.navy.mil,TRUE
dmcs.marines.mil,TRUE
dmdc.osd.mil,TRUE
dmdcrs.dmdc.osd.mil,TRUE
dmfss.com,TRUE
dnc.nga.mil,TRUE
dnws.dtra.mil,TRUE
dod-executiveagent.osd.mil,TRUE
dod365.sharepoint-mil.us,TRUE
dodclearinghouse.osd.mil,TRUE
dodea.edu,TRUE
dodiac.dtic.mil,TRUE
dodlodging.net,TRUE
dodmerb.tricare.osd.mil,TRUE
dodmwrlibraries.org,TRUE
dodnafaccounting.defense.gov,TRUE
dodsbirsttr.mil,TRUE
dodstem.us,TRUE
dodsurveys.mil,TRUE
dodtap.mil,TRUE
dodwarriorgames.com,TRUE
doehrs-ih.csd.disa.mil,TRUE
doer.el.erdc.dren.mil,TRUE
doncio.navy.mil,TRUE
donhq.navy.mil,TRUE
donibsatlas.secnav.navy.mil,TRUE
dots.el.erdc.dren.mil,TRUE
doverfss.com,TRUE
dpc-east.marines.mil,TRUE
dragonhilllodge.com,TRUE
drrsmc.hqmc.usmc.smil.mil,TRUE
drrsn.nrre.navy.mil,TRUE
drrsn.nrre.navy.smil.mil,TRUE
drum.armymwr.com,TRUE
dsb.cto.mil,TRUE
dsca.mil,TRUE
dscats.navy.mil,TRUE
dscu.mil,TRUE
dso.dla.mil,TRUE
dso.marines.mil,TRUE
dto.il2.afwerx.dso.mil,TRUE
dtra1mysiteportal.unet.dtra.mil,TRUE
dtra1portal.unet.dtra.mil,TRUE
dtsa.mil,TRUE
dtscdcwebgov.defensetravel.osd.mil,TRUE
dtsn.darpa.mil,TRUE
dtsproweb.defensetravel.osd.mil,TRUE
dtt.navy.mil,TRUE
dugway.armymwr.com,TRUE
dvhs.dodea.edu,TRUE
dvidshub.net,TRUE
dwp.dmdc.osd.mil,TRUE
dwr.dmdc.osd.mil,TRUE
dwreports.navair.navy.mil,TRUE
dyessfss.com,TRUE
e-commerce.dc3n.navy.mil,TRUE
e2569.abacusmhs.health.mil,TRUE
e2d2.el.erdc.dren.mil,TRUE
ea.ekr.cprobe.army.mil,TRUE
ebusiness.submepp.navy.mil,TRUE
ecms.navfac.navy.mil,TRUE
ecomod.erdc.dren.mil,TRUE
ecraft.csd.disa.mil,TRUE
ecs.mil,TRUE
edelweisslodgeandresort.com,TRUE
edgrenmhs.dodea.edu,TRUE
edis.army.mil,TRUE
education.erdc.dren.mil,TRUE
edw.csd.disa.mil,TRUE
edwards.af.mil,TRUE
eei.darpa.mil,TRUE
eeo.amedd.army.mil,TRUE
efem.psns.navy.mil,TRUE
efmp.amedd.army.mil,TRUE
efmpandme.militaryonesource.mil,TRUE
eforms.nslc.navy.mil,TRUE
egis.dtra.mil,TRUE
eglinlife.com,TRUE
eielsonforcesupport.com,TRUE
eims.dc3n.navy.mil,TRUE
eims.navair.navy.smil.mil,TRUE
eirbpt.csd.disa.mil,TRUE
eis.nslc.navy.mil,TRUE
eisenhower.armymwr.com,TRUE
ejhv.fa.us8.oraclecloud.com,TRUE
ejkingmhs.dodea.edu,TRUE
elcentro.navylifesw.com,TRUE
elisa.dtsa.mil,TRUE
elliottes.dodea.edu,TRUE
ellsworthfss.com,TRUE
emh.housing.navy.mil,TRUE
emh.housing.navy.milandhttps:,TRUE
emrrp.el.erdc.dren.mil,TRUE
ems.logcom.usmc.mil,TRUE
emss.pac.disa.mil,TRUE
enclave.cmil.mil,TRUE
encore.usmc.mil,TRUE
engagesof.com,TRUE
enom.nga.mil,TRUE
enterprisemanagement.army.mil,TRUE
ep.erp.navy.mil,TRUE
ep2.mcsc.usmc.mil,TRUE
epaper.stripes.com,TRUE
ephc.amedd.army.mil,TRUE
epic-sql-migration.dev.digitalu.teambespin.us,TRUE
eprweb.cnic.navy.mil,TRUE
epub.stripes.com,TRUE
epx.erp.navy.mil,TRUE
erdc-library.erdc.dren.mil,TRUE
erdc.hpc.mil,TRUE
erdc.usace.army.mil,TRUE
eri-summit.darpa.mil,TRUE
eris.mceits.usmc.mil,TRUE
es.ndu.edu,TRUE
esams.cnic.navy.mil,TRUE
esgr.csd.disa.mil,TRUE
esgr.mil,TRUE
esgr1.mil,TRUE
esgrevents.mil,TRUE
esgrwebsite2.csd.disa.mil,TRUE
esi.mil,TRUE
essims.navy.mil,TRUE
esso.dc3n.navy.mil,TRUE
etims.navy.mil,TRUE
eu.navy.mil,TRUE
eucom.mil,TRUE
europe.afn.mil,TRUE
europe.stripes.com,TRUE
everett.navylifepnw.com,TRUE
ewardresort.com,TRUE
ewn.erdc.dren.mil,TRUE
exmis.navfac.navy.mil,TRUE
experience.arcgis.com,TRUE
extsp16.darpa.mil,TRUE
fa.hqmc.usmc.mil,TRUE
facilities-integration.usmc.mil,TRUE
factsprod.milcloud.mil,TRUE
fairchildfun.com,TRUE
faithms.dodea.edu,TRUE
fallon.navylifesw.com,TRUE
fapss.dmdc.osd.mil,TRUE
feature-5826.dev.digitalu.teambespin.us,TRUE
feature-6234.dev.digitalu.teambespin.us,TRUE
feature-socom.dev.digitalu.teambespin.us,TRUE
fecd.dc3n.navy.mil,TRUE
federation.prod.cce.af.mil,TRUE
fedmall.mil,TRUE
feeds.stripes.com,TRUE
feltwelles.dodea.edu,TRUE
fett.darpa.mil,TRUE
fewarren.tricare.mil,TRUE
ffsmis.cnic.navy.mil,TRUE
ffsp.navy.mil,TRUE
fifeanddrum.army.mil,TRUE
finance.army.mil,TRUE
financialfrontline.mil,TRUE
fist.navair.navy.mil,TRUE
fl.ng.mil,TRUE
flighthub.navair.navy.mil,TRUE
flint.nres.navy.smil.mil,TRUE
flipsnack.com,TRUE
flisancillaryu.dla.mil,TRUE
fmosystems.navy.mil,TRUE
fmtbneast.marines.mil,TRUE
fmtbnwest.marines.mil,TRUE
fmtbnwest.usmc.afpims.mil,TRUE
foia.af.mil,TRUE
foia.marines.mil,TRUE
forms.navfac.navy.mil,TRUE
forscom.army.mil,TRUE
fortcampbellhs.dodea.edu,TRUE
fortknoxmhs.dodea.edu,TRUE
forum.triagechallenge.darpa.mil,TRUE
forward.darpa.mil,TRUE
fpb.defense.gov,TRUE
fqacalc.erdc.dren.mil,TRUE
freedomaward.mil,TRUE
fres.cnic.navy.mil,TRUE
frfdataportal.erdc.dren.mil,TRUE
fsm.navsup.navy.mil,TRUE
funatwarren.com,TRUE
fuse.navy.mil;https:,TRUE
fusion.navy.mil,TRUE
fwb.metoc.navy.mil,TRUE
g2.cnic.navy.mil,TRUE
gaa351.matcom.usmc.mil,TRUE
garmisch.armymwr.com,TRUE
garmischems.dodea.edu,TRUE
gccsportal.mcw.ad.usmc.smil.mil,TRUE
gcssmc-sakc.usmc.mil,TRUE
geofidelis.usmc.mil,TRUE
geoint.nrlssc.navy.smil.ml;cgs.nrlssc.navy.smil.mil;dev.nrlssc.navy.smil.mil,TRUE
geonames.nga.mil,TRUE
geospatial-usace.opendata.arcgis.com,TRUE
gigeagle.mil,TRUE
gis.aw3s.navy.mil,TRUE
github.com,TRUE
gitlab.jten.mil,TRUE
go.navyonline.com,TRUE
goarmy.com,TRUE
goarmywestpoint.com,TRUE
goarmywestpoint.evenue.net,TRUE
gocoastguard.com,TRUE
goes.bol.navy.mil,TRUE
gogoodfellow.com,TRUE
gomdl.com,TRUE
gopatrickfl.com,TRUE
gordones.dodea.edu,TRUE
government.github.com,TRUE
govnxg.seaport.navy.mil,TRUE
grafenwoehr.armymwr.com,TRUE
grafenwoehres.dodea.edu,TRUE
grandforks319fss.com,TRUE
greely.armymwr.com,TRUE
grgb.navy.mil,TRUE
guam.stripes.com,TRUE
guamhs.dodea.edu,TRUE
gulflink.osd.mil,TRUE
gvsc.devcom.army.mil,TRUE
h2f.army.mil,TRUE
hacc.mil,TRUE
hamilton.armymwr.com,TRUE
hamptonps.dodea.edu,TRUE
hamptonroads.usmc-mccs.org,TRUE
harps.dc3n.navy.mil,TRUE
hawaii.armymwr.com,TRUE
hawaii.usmc-mccs.org,TRUE
hci.mil,TRUE
hcs.usmc.mil,TRUE
health.mil,TRUE
help-dental.health.mil,TRUE
help.disa.mil,TRUE
help.nswcphd.smil.mil,TRUE
hendersonhall.usmc-mccs.org,TRUE
heroeses.dodea.edu,TRUE
"hianti.spawar.navy,mil",TRUE
hianti.spawar.navy.mil,TRUE
hillfss.com,TRUE
history.army.mil,TRUE
history.navy.mil,TRUE
hmx-1.marines.mil,TRUE
hnc.usace.army.mil,TRUE
hohenfels.armymwr.com,TRUE
hohenfelses.dodea.edu,TRUE
hohenfelsmhs.dodea.edu,TRUE
hollomanafbairspaceeis.com,TRUE
home.army.mil,TRUE
homeport.uscg.mil,TRUE
homes.mil,TRUE
housing.army.mil,TRUE
hpc.mil,TRUE
hqmcportal.hqi.usmc.mil,TRUE
hrms.usmc-mccs.org,TRUE
hrojas.cnfj.navy.mil,TRUE
hrportal.unet.dtra.mil,TRUE
httds.dc3n.navy.mil,TRUE
huachuca.armymwr.com,TRUE
hub.arcgis.com,TRUE
humphreys.armymwr.com,TRUE
humphreyscentrales.dodea.edu,TRUE
humphreyshs.dodea.edu,TRUE
humphreysms.dodea.edu,TRUE
humphreyswestes.dodea.edu,TRUE
hunterliggett.armymwr.com,TRUE
ianti.spawar.navy.mil,TRUE
ias2.ports.navy.mil,TRUE
ibons.navair.navy.mil,TRUE
ibpesprod01.navy.mil;https:,TRUE
ice.disa.mil,TRUE
ice.ncis.navy.mil,TRUE
icrane.nmci.navy.mil,TRUE
idco.dmdc.osd.mil,TRUE
ide.peocarriers.navy.mil,TRUE
ideas.govcloud.disa.mil,TRUE
ideservicecenter.com,TRUE
idp.mcrissii.marines.usmc.mil,TRUE
ids.score.com,TRUE
ieapp.hpc.mil,TRUE
iefacman.navfac.navy.mil,TRUE
ikegoes.dodea.edu,TRUE
iler-test.csd.disa.mil,TRUE
imp.myafn.dodmedia.osd.mil,TRUE
inah.pac.disa.mil,TRUE
indpol.staging.acqebiz.mil,TRUE
info.cloudone.af.mil,TRUE
info.stripes.com,TRUE
information.marines.mil,TRUE
infosec.navy.mil,TRUE
innovation.army.mil,TRUE
innovationfellowship.darpa.mil,TRUE
innovativeairforce.com,TRUE
inscom.army.mil,TRUE
insidenslc.navy.mil,TRUE
insider-risk.gov,TRUE
inss.ndu.edu,TRUE
installations.militaryonesource.mil,TRUE
intelligence.marines.mil,TRUE
iosauth.stripes.com,TRUE
iowanationalguard.com,TRUE
ipdm.navy.mil,TRUE
ipps-a.army.mil,TRUE
ironbank.dso.mil,TRUE
irr.mcdsus.mcds.usmc.mil,TRUE
irwin.armymwr.com,TRUE
irwinis.dodea.edu,TRUE
isa.ndu.edu,TRUE
iscsc.dc3n.navy.mil,TRUE
isitdown.mil,TRUE
ismo.ndu.edu,TRUE
issf.dc3n.navy.mil,TRUE
issuu.com,TRUE
italy.armymwr.com,TRUE
itrixwi.nasjax.navy.mil,TRUE
itservices.phdnswc.nmci.navy.mil,TRUE
itsmweb.dc3n.navy.mil;report.dc3n.navy.mil,TRUE
iwakuni.usmc-mccs.org,TRUE
iwakuniis.dodea.edu,TRUE
iwakunims.dodea.edu,TRUE
iwmdt.dtra.mil,TRUE
iwr.usace.army.mil,TRUE
iwrlibrary.sec.usace.army.mil,TRUE
iwtg.navy.smil.mil,TRUE
j9.nv.ng.mil,TRUE
jacks.jpeocbd.osd.mil,TRUE
jackson.armymwr.com,TRUE
jag.navy.mil,TRUE
jagcnet.army.mil,TRUE
jagcnet2.army.mil,TRUE
jalbtcx.usace.army.mil,TRUE
japan.stripes.com,TRUE
jaws.jecs.csd.disa.mil,TRUE
jbabfss.com,TRUE
jbcharleston.com,TRUE
jbleforcesupport.com,TRUE
jblmmwr.com,TRUE
jbmdl.jb.mil,TRUE
jbmhh.armymwr.com,TRUE
jbphh.greatlifehawaii.com,TRUE
jbsatoday.com,TRUE
jcs.mil,TRUE
"jdl-otds.jten.mil,jdl.jten.mil,secure-qa.jten.mil,
secure-qa.jten.mil",TRUE
jdrs.mil,TRUE
jecc.ustranscom.mil,TRUE
jedmics.navair.navy.mil,TRUE
jeod.disa.smil.mil,TRUE
jfac-il2.apps.dso.mil,TRUE
jfac.apps.dso.mil,TRUE
jfac.dso.mil,TRUE
jfhq-dodin.mil,TRUE
jfsc.ndu.edu,TRUE
jiatfs.southcom.mil,TRUE
jifco.defense.gov,TRUE
"jira-ps.jten.mil,jira.ga.jten.mil,jira.jten.mil,",TRUE
"jkosgst-ga.jten.mil,jkodirect.jten.mil,
jkosgst.jten.mil,jkosupport.jten.mil,lms.jten.mil,jko.jten.mil,jkodirect.jten.mil,jkoqa.jten.mil,jkosgst.jten.mil,jkosupportqa.jten.mil,jkosgst-qa.jten.mil,jkodirectqa.jten.mil,jko.jten.mil,",TRUE
jocconops.dtra.mil,TRUE
johnson.armymwr.com,TRUE
johnsonps.dodea.edu,TRUE
jsf.mil,TRUE
jsou.edu,TRUE
jst.doded.mil,TRUE
