target_url,branch,agency,bureau,source_list_federal_domains
cigie.gov,Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,TRUE
ignet.gov,Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,TRUE
oversight.gov,Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,TRUE
pandemicoversight.gov,Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,TRUE
csosa.gov,Executive,Court Services and Offender Supervision Agency for the District of Columbia,,TRUE
pretrialservices.gov,Executive,Court Services and Offender Supervision Agency for the District of Columbia,Pretrial Services Agency for the District of Columbia,TRUE
psa.gov,Executive,Court Services and Offender Supervision Agency for the District of Columbia,,TRUE
dnfsb.gov,Executive,Defense Nuclear Facilities Safety Board,,TRUE
dra.gov,Executive,Delta Regional Authority,,TRUE
denali.gov,Executive,Denali Commission,,TRUE
22007apply.gov,Executive,Department of Agriculture,,TRUE
aff.gov,Executive,Department of Agriculture,,TRUE
ag.gov,Executive,Department of Agriculture,,TRUE
ars-grin.gov,Executive,Department of Agriculture,Agricultural Research Service,TRUE
arsusda.gov,Executive,Department of Agriculture,Agricultural Research Service,TRUE
biopreferred.gov,Executive,Department of Agriculture,Rural Development,TRUE
bosque.gov,Executive,Department of Agriculture,Forest Service,TRUE
choosemyplate.gov,Executive,Department of Agriculture,Food and Nutrition Service,TRUE
connect.gov,Executive,Department of Agriculture,Office of Chief Information Officer,TRUE
dietaryguidelines.gov,Executive,Department of Agriculture,Food and Nutrition Service,TRUE
empowhr.gov,Executive,Department of Agriculture,Office of Chief Financial Officer,TRUE
execsec.gov,Executive,Department of Agriculture,,TRUE
farmerfairness.gov,Executive,Department of Agriculture,Agricultural Marketing Service,TRUE
farmers.gov,Executive,Department of Agriculture,Office of Communications,TRUE
fedsfeedfamilies.gov,Executive,Department of Agriculture,Office of Communications,TRUE
forestsandrangelands.gov,Executive,Department of Agriculture,Forest Service,TRUE
invasivespeciesinfo.gov,Executive,Department of Agriculture,Agricultural Research Service,TRUE
itap.gov,Executive,Department of Agriculture,Agricultural Research Service,TRUE
lcacommons.gov,Executive,Department of Agriculture,Agricultural Research Service,TRUE
myplate.gov,Executive,Department of Agriculture,Food and Nutrition Service,TRUE
nafri.gov,Executive,Department of Agriculture,Forest Service,TRUE
nutrition.gov,Executive,Department of Agriculture,Office of Communications,TRUE
nwcg.gov,Executive,Department of Agriculture,,TRUE
rec.gov,Executive,Department of Agriculture,Forest Service,TRUE
recreation.gov,Executive,Department of Agriculture,Forest Service,TRUE
rural.gov,Executive,Department of Agriculture,Rural Development,TRUE
screwworm.gov,Executive,Department of Agriculture,Office of Communications,TRUE
symbols.gov,Executive,Department of Agriculture,Forest Service,TRUE
usda.gov,Executive,Department of Agriculture,,TRUE
usdapii.gov,Executive,Department of Agriculture,,TRUE
wildfire.gov,Executive,Department of Agriculture,,TRUE
aicenter.gov,Executive,Department of Commerce,International Trade Administration,TRUE
aiexports.gov,Executive,Department of Commerce,International Trade Administration,TRUE
ap.gov,Executive,Department of Commerce,Bureau of Industry and Security,TRUE
aviationweather.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
bea.gov,Executive,Department of Commerce,Bureau of Economic Analysis,TRUE
bis.gov,Executive,Department of Commerce,Bureau of Industry and Security,TRUE
bldrdoc.gov,Executive,Department of Commerce,National Institute of Standards and Technology,TRUE
census.gov,Executive,Department of Commerce,Bureau of the Census,TRUE
chips.gov,Executive,Department of Commerce,National Institute of Standards and Technology,TRUE
climate.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
commerce.gov,Executive,Department of Commerce,,TRUE
cwc.gov,Executive,Department of Commerce,Bureau of Industry and Security,TRUE
dataprivacyframework.gov,Executive,Department of Commerce,International Trade Administration,TRUE
dnsops.gov,Executive,Department of Commerce,National Institute of Standards and Technology,TRUE
doc.gov,Executive,Department of Commerce,,TRUE
drought.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
eda.gov,Executive,Department of Commerce,Economic Development Administration,TRUE
edison.gov,Executive,Department of Commerce,National Institute of Standards and Technology,TRUE
export.gov,Executive,Department of Commerce,International Trade Administration,TRUE
firstnet.gov,Executive,Department of Commerce,National Telecommunications and Information Administration,TRUE
fishwatch.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
goes-r.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
gps.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
heat.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
hurricanes.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
icams-portal.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
icts.gov,Executive,Department of Commerce,Bureau of Industry and Security,TRUE
iedison.gov,Executive,Department of Commerce,National Institute of Standards and Technology,TRUE
internet4all.gov,Executive,Department of Commerce,National Telecommunications and Information Administration,TRUE
internetforall.gov,Executive,Department of Commerce,National Telecommunications and Information Administration,TRUE
investinamerica.gov,Executive,Department of Commerce,Office of the Secretary,TRUE
luca-appeals.gov,Executive,Department of Commerce,Bureau of the Census,TRUE
manufacturing.gov,Executive,Department of Commerce,National Institute of Standards and Technology,TRUE
marinecadastre.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
mbda.gov,Executive,Department of Commerce,Minority Business Development Agency,TRUE
mgi.gov,Executive,Department of Commerce,National Institute of Standards and Technology,TRUE
nehrp.gov,Executive,Department of Commerce,National Institute of Standards and Technology,TRUE
nist.gov,Executive,Department of Commerce,National Institute of Standards and Technology,TRUE
noaa.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
ntia.gov,Executive,Department of Commerce,National Telecommunications and Information Administration,TRUE
ntis.gov,Executive,Department of Commerce,National Technical Information Service,TRUE
nwirp.gov,Executive,Department of Commerce,National Institute of Standards and Technology,TRUE
papahanaumokuakea.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
privacyshield.gov,Executive,Department of Commerce,International Trade Administration,TRUE
pscr.gov,Executive,Department of Commerce,National Institute of Standards and Technology,TRUE
sdr.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
selectusa.gov,Executive,Department of Commerce,International Trade Administration,TRUE
semiconductors.gov,Executive,Department of Commerce,National Institute of Standards and Technology,TRUE
spaceweather.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
spd15revision.gov,Executive,Department of Commerce,Bureau of the Census,TRUE
spectrum.gov,Executive,Department of Commerce,National Telecommunications and Information Administration,TRUE
standards.gov,Executive,Department of Commerce,National Institute of Standards and Technology,TRUE
stopfakes.gov,Executive,Department of Commerce,International Trade Administration,TRUE
sworm.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
tasefiling.gov,Executive,Department of Commerce,International Trade Administration,TRUE
techhubs.gov,Executive,Department of Commerce,,TRUE
time.gov,Executive,Department of Commerce,National Institute of Standards and Technology,TRUE
tracss.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
trade.gov,Executive,Department of Commerce,International Trade Administration,TRUE
trumpgoldcard.gov,Executive,Department of Commerce,,TRUE
tsunami.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
usicecenter.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
uspto.gov,Executive,Department of Commerce,U.S. Patent and Trademark Office,TRUE
weather.gov,Executive,Department of Commerce,National Oceanic and Atmospheric Administration,TRUE
wwtg.gov,Executive,Department of Commerce,International Trade Administration,TRUE
xd.gov,Executive,Department of Commerce,Bureau of the Census,TRUE
adlnet.gov,Executive,Department of Defense,Defense Human Resources Activity,TRUE
aftac.gov,Executive,Department of Defense,Air Force,TRUE
altusandc.gov,Executive,Department of Defense,Air Force,TRUE
blueroof.gov,Executive,Department of Defense,Army,TRUE
businessdefense.gov,Executive,Department of Defense,Office of the Secretary of Defense,TRUE
cap.gov,Executive,Department of Defense,Air Force,TRUE
capnhq.gov,Executive,Department of Defense,Air Force,TRUE
cmts.gov,Executive,Department of Defense,Army,TRUE
cnss.gov,Executive,Department of Defense,Office of the Secretary of Defense,TRUE
cttso.gov,Executive,Department of Defense,Office of the Secretary of Defense,TRUE
dc3on.gov,Executive,Department of Defense,Air Force,TRUE
defense.gov,Executive,Department of Defense,Defense Media Activity,TRUE
doddns.gov,Executive,Department of Defense,Office of the Secretary of Defense,TRUE
ecs.gov,Executive,Department of Defense,Office of the Secretary of Defense,TRUE
ehr.gov,Executive,Department of Defense,Defense Health Agency,TRUE
fehrm.gov,Executive,Department of Defense,Defense Health Agency,TRUE
fvap.gov,Executive,Department of Defense,Office of the Secretary of Defense,TRUE
hive.gov,Executive,Department of Defense,Defense Health Agency,TRUE
iad.gov,Executive,Department of Defense,National Security Agency,TRUE
intelligencecareers.gov,Executive,Department of Defense,National Security Agency,TRUE
ioss.gov,Executive,Department of Defense,Interagency OPSEC Support Staff,TRUE
iwtsd.gov,Executive,Department of Defense,Office of the Secretary of Defense,TRUE
jccs.gov,Executive,Department of Defense,Defense Logistics Agency,TRUE
lps.gov,Executive,Department of Defense,National Security Agency,TRUE
mds.gov,Executive,Department of Defense,Office of the Secretary of Defense,TRUE
mtmc.gov,Executive,Department of Defense,,TRUE
mypay.gov,Executive,Department of Defense,Defense Finance and Accounting Service,TRUE
nationalresourcedirectory.gov,Executive,Department of Defense,Defense Health Agency,TRUE
nbib.gov,Executive,Department of Defense,Defense Counterintelligence and Security Agency,TRUE
nrd.gov,Executive,Department of Defense,Defense Health Agency,TRUE
nro.gov,Executive,Department of Defense,National Reconnaissance Office,TRUE
nsa.gov,Executive,Department of Defense,National Security Agency,TRUE
nsep.gov,Executive,Department of Defense,Defense Human Resources Activity,TRUE
oea.gov,Executive,Department of Defense,Office of Economic Adjustment,TRUE
oldcc.gov,Executive,Department of Defense,Office of the Secretary of Defense,TRUE
oneaftac.gov,Executive,Department of Defense,Air Force,TRUE
tak.gov,Executive,Department of Defense,Army,TRUE
tswg.gov,Executive,Department of Defense,Office of the Secretary of Defense,TRUE
ukraineoversight.gov,Executive,Department of Defense,Office of the Inspector General,TRUE
usandc.gov,Executive,Department of Defense,Air Force,TRUE
usgovdod.gov,Executive,Department of Defense,Office of the Secretary of Defense,TRUE
war.gov,Executive,Department of Defense,,TRUE
budgetlob.gov,Executive,Department of Education,Office of the Chief Information Officer,TRUE
childstats.gov,Executive,Department of Education,Office of the Chief Information Officer,TRUE
collegenavigator.gov,Executive,Department of Education,Office of the Chief Information Officer,TRUE
ed.gov,Executive,Department of Education,Office of the Chief Information Officer,TRUE
fafsa.gov,Executive,Department of Education,,TRUE
foreignfundinghighered.gov,Executive,Department of Education,Office of the Chief Information Officer,TRUE
g5.gov,Executive,Department of Education,Office of the Chief Information Officer,TRUE
nagb.gov,Executive,Department of Education,Office of the Chief Information Officer,TRUE
nationsreportcard.gov,Executive,Department of Education,Office of the Chief Information Officer,TRUE
studentaid.gov,Executive,Department of Education,,TRUE
studentloans.gov,Executive,Department of Education,,TRUE
ameslab.gov,Executive,Department of Energy,Ames National Laboratory,TRUE
anl.gov,Executive,Department of Energy,Argonne National Laboratory,TRUE
arm.gov,Executive,Department of Energy,Battelle Pacific Northwest National Laboratory,TRUE
biomassboard.gov,Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,TRUE
bnl.gov,Executive,Department of Energy,Brookhaven National Laboratory,TRUE
bpa.gov,Executive,Department of Energy,Bonneville Power Administration,TRUE
casl.gov,Executive,Department of Energy,Oak Ridge National Laboratory,TRUE
cebaf.gov,Executive,Department of Energy,Thomas Jefferson National Accelerator Facility,TRUE
cendi.gov,Executive,Department of Energy,Office of Scientific and Technical Information,TRUE
citap.gov,Executive,Department of Energy,Office of the Chief Information Officer,TRUE
doe.gov,Executive,Department of Energy,Office of the Chief Information Officer,TRUE
driveelectric.gov,Executive,Department of Energy,National Renewable Energy Laboratory,TRUE
eia.gov,Executive,Department of Energy,Energy Information Administration,TRUE
energycodes.gov,Executive,Department of Energy,Department of Energy Bulding Energy Codes Program,TRUE
energy.gov,Executive,Department of Energy,Office of the Chief Information Officer,TRUE
energysaver.gov,Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,TRUE
energysavers.gov,Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,TRUE
fnal.gov,Executive,Department of Energy,Fermi National Accelerator Laboratory,TRUE
fueleconomy.gov,Executive,Department of Energy,Oak Ridge National Laboratory,TRUE
hanford.gov,Executive,Department of Energy,Hanford Mission Integration Solutions,TRUE
homeenergyscore.gov,Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,TRUE
hydrogen.gov,Executive,Department of Energy,Research and Special Programs Administration / Volpe,TRUE
inel.gov,Executive,Department of Energy,Idaho National Laboratory,TRUE
inl.gov,Executive,Department of Energy,Idaho National Laboratory,TRUE
isotope.gov,Executive,Department of Energy,The National Isotope Development Center,TRUE
isotopes.gov,Executive,Department of Energy,The National Isotope Development Center,TRUE
lanl.gov,Executive,Department of Energy,Los Alamos National Laboratory,TRUE
lbl.gov,Executive,Department of Energy,Lawrence Berkeley National Laboratory,TRUE
llnl.gov,Executive,Department of Energy,Lawrence Livermore National Laboratory,TRUE
nccs.gov,Executive,Department of Energy,Oak Ridge National Laboratory,TRUE
ncrc.gov,Executive,Department of Energy,Oak Ridge National Laboratory,TRUE
nersc.gov,Executive,Department of Energy,National Energy Research Scientific Computing Center,TRUE
neup.gov,Executive,Department of Energy,Office of Nuclear Energy,TRUE
nlr.gov,Executive,Department of Energy,National Renewable Energy Laboratory,TRUE
nnss.gov,Executive,Department of Energy,"National Nuclear Security Administration, National Security Technologies, LLC",TRUE
nrel.gov,Executive,Department of Energy,National Renewable Energy Laboratory,TRUE
nrelhub.gov,Executive,Department of Energy,National Renewable Energy Laboratory,TRUE
ntrc.gov,Executive,Department of Energy,Oak Ridge National Laboratory,TRUE
nuclear.gov,Executive,Department of Energy,,TRUE
orau.gov,Executive,Department of Energy,Oak Ridge Associated Universities,TRUE
ornl.gov,Executive,Department of Energy,Oak Ridge National Laboratory,TRUE
osti.gov,Executive,Department of Energy,Office of Scientific and Technical Information,TRUE
pcast.gov,Executive,Department of Energy,,TRUE
pnl.gov,Executive,Department of Energy,Pacific Northwest National Laboratory,TRUE
pnnl.gov,Executive,Department of Energy,Pacific Northwest National Laboratory,TRUE
pppl.gov,Executive,Department of Energy,Princeton Plasma Physics Lab,TRUE
pppo.gov,Executive,Department of Energy,Portsmouth/Paducah Project Office,TRUE
rideelectric.gov,Executive,Department of Energy,,TRUE
rl.gov,Executive,Department of Energy,Hanford Mission Integration Solutions,TRUE
safgrandchallenge.gov,Executive,Department of Energy,,TRUE
sandia.gov,Executive,Department of Energy,Sandia National Laboratories,TRUE
scidac.gov,Executive,Department of Energy,Oak Ridge National Laboratory,TRUE
science.gov,Executive,Department of Energy,Office of Scientific and Technical Information,TRUE
smartgrid.gov,Executive,Department of Energy,Office of Electricity Delivery and Energy Reliability,TRUE
sns.gov,Executive,Department of Energy,Oak Ridge National Laboratory,TRUE
solardecathlon.gov,Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,TRUE
srnl.gov,Executive,Department of Energy,Savannah River National Lab,TRUE
srs.gov,Executive,Department of Energy,Savannah River Nuclear Solutions (SRNS),TRUE
swpa.gov,Executive,Department of Energy,Southwestern Power Administration,TRUE
unnpp.gov,Executive,Department of Energy,"National Nuclear Security Administration/Fluor Marine Propulsion, LLC",TRUE
unrpnet.gov,Executive,Department of Energy,Office of Naval Reactors,TRUE
wapa.gov,Executive,Department of Energy,Western Area Power Administration,TRUE
ymp.gov,Executive,Department of Energy,Office of Legacy Management,TRUE
988.gov,Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,TRUE
aanhpiheritage.gov,Executive,Department of Health and Human Services,Office of Assistant Secretary of Public Affairs,TRUE
acf.gov,Executive,Department of Health and Human Services,Administration for Children and Families,TRUE
acl.gov,Executive,Department of Health and Human Services,Administration for Community Living,TRUE
afterschool.gov,Executive,Department of Health and Human Services,"Assistant Secretary for Planning and Evaluation, Office of the Secretary",TRUE
aging.gov,Executive,Department of Health and Human Services,Office of the Secretary of Health and Human Services,TRUE
agingstats.gov,Executive,Department of Health and Human Services,Administration for Community Living,TRUE
aha.gov,Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,TRUE
ahcpr.gov,Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,TRUE
ahrq.gov,Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,TRUE
aids.gov,Executive,Department of Health and Human Services,Office of the Assistant Secretary for Health,TRUE
alzheimers.gov,Executive,Department of Health and Human Services,"National Institutes on Aging, NIH",TRUE
aoa.gov,Executive,Department of Health and Human Services,Administration for Community Living,TRUE
arpa-h.gov,Executive,Department of Health and Human Services,Advanced Research Projects Agency for Health,TRUE
arpah.gov,Executive,Department of Health and Human Services,Advanced Research Projects Agency for Health,TRUE
aspr.gov,Executive,Department of Health and Human Services,Administration for Strategic Preparedness and Response,TRUE
bam.gov,Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,TRUE
betobaccofree.gov,Executive,Department of Health and Human Services,Food and Drug Administration,TRUE
bioethics.gov,Executive,Department of Health and Human Services,"President's Council on Bioethics, Office of the Secretary",TRUE
birthcontrol.gov,Executive,Department of Health and Human Services,Office of the Assistant Secretary for Health,TRUE
brain.gov,Executive,Department of Health and Human Services,National Institute of Neurological Disorders and Stroke,TRUE
cancer.gov,Executive,Department of Health and Human Services,"National Cancer Institute, NIH",TRUE
cdc.gov,Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,TRUE
cdcpartners.gov,Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,TRUE
childcare.gov,Executive,Department of Health and Human Services,Administration for Children and Families,TRUE
childwelfare.gov,Executive,Department of Health and Human Services,Administration for Children and Families,TRUE
clinicaltrial.gov,Executive,Department of Health and Human Services,"National Library of Medicine, NIH",TRUE
clinicaltrials.gov,Executive,Department of Health and Human Services,"National Library of Medicine, NIH",TRUE
cms.gov,Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,TRUE
collegedrinkingprevention.gov,Executive,Department of Health and Human Services,"National Institute on Alcohol Abuse and Alcoholism, NIH",TRUE
cuidadodesalud.gov,Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,TRUE
dhhs.gov,Executive,Department of Health and Human Services,Office of the Secretary of Health and Human Services,TRUE
diabetescommittee.gov,Executive,Department of Health and Human Services,"National Institutes of Diabetes and Digestive and Kidney Diseases, NIH",TRUE
docline.gov,Executive,Department of Health and Human Services,"National Library of Medicine, NIH",TRUE
donaciondeorganos.gov,Executive,Department of Health and Human Services,Health Resources and Services Administration,TRUE
drugabuse.gov,Executive,Department of Health and Human Services,"National Institute on Drug Abuse, NIH",TRUE
eldercare.gov,Executive,Department of Health and Human Services,Administration for Community Living,TRUE
encuentraapoyo.gov,Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,TRUE
everytrycounts.gov,Executive,Department of Health and Human Services,Food and Drug Administration,TRUE
familyplanning.gov,Executive,Department of Health and Human Services,Office of the Assistant Secretary for Health,TRUE
fatherhood.gov,Executive,Department of Health and Human Services,Administration for Children and Families,TRUE
fda.gov,Executive,Department of Health and Human Services,Food and Drug Administration,TRUE
findsupport.gov,Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,TRUE
findtreatment.gov,Executive,Department of Health and Human Services,Substance Abuse and Mental Health Services Administration,TRUE
fitness.gov,Executive,Department of Health and Human Services,Office of the Secretary of Health and Human Services,TRUE
flu.gov,Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,TRUE
foodsafety.gov,Executive,Department of Health and Human Services,Office of the Secretary of Health and Human Services,TRUE
freshempire.gov,Executive,Department of Health and Human Services,Food and Drug Administration,TRUE
fruitsandveggiesmatter.gov,Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,TRUE
genome.gov,Executive,Department of Health and Human Services,National Institutes of Health,TRUE
girlshealth.gov,Executive,Department of Health and Human Services,"Office of Public Health and Science, Office on Women's Health",TRUE
globalhealth.gov,Executive,Department of Health and Human Services,"Office of Global Affairs, Office of the Secretary",TRUE
gmta.gov,Executive,Department of Health and Human Services,"Office of Grants, Division of Workforce Development",TRUE
grants.gov,Executive,Department of Health and Human Services,"Assistant Secretary for Financial Resources, Office of the Secretary",TRUE
grantsolutions.gov,Executive,Department of Health and Human Services,Administration for Children and Families,TRUE
guideline.gov,Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,TRUE
guidelines.gov,Executive,Department of Health and Human Services,Agency for Healthcare Research and Quality,TRUE
hc.gov,Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,TRUE
headstart.gov,Executive,Department of Health and Human Services,Administration for Children and Families,TRUE
healthcare.gov,Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,TRUE
healthdata.gov,Executive,Department of Health and Human Services,Office of the Secretary of Health and Human Services,TRUE
healthfinder.gov,Executive,Department of Health and Human Services,"Office of Disease Prevention and Health Promotion, Office of the Secretary",TRUE
health.gov,Executive,Department of Health and Human Services,"Office of Disease Prevention and Health Promotion, Office of the Secretary",TRUE
healthindicators.gov,Executive,Department of Health and Human Services,Centers for Disease Control and Prevention,TRUE
healthit.gov,Executive,Department of Health and Human Services,"Office of the National Coordinator, Office of the Secretary",TRUE
healthypeople.gov,Executive,Department of Health and Human Services,"Office of Disease Prevention and Health Promotion, Office of the Secretary",TRUE
hearttruth.gov,Executive,Department of Health and Human Services,"National Heart, Lung & Blood Institute, NIH",TRUE
hhs.gov,Executive,Department of Health and Human Services,Office of the Secretary of Health and Human Services,TRUE
hhsoig.gov,Executive,Department of Health and Human Services,,TRUE
hhsops.gov,Executive,Department of Health and Human Services,Program Support Center,TRUE
hiv.gov,Executive,Department of Health and Human Services,Office of the Assistant Secretary for Health,TRUE
hrsa.gov,Executive,Department of Health and Human Services,Health Resources and Services Administration,TRUE
idealab.gov,Executive,Department of Health and Human Services,Office of the Secretary of Health and Human Services,TRUE
ihs.gov,Executive,Department of Health and Human Services,Indian Health Service,TRUE
insurekidsnow.gov,Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,TRUE
longtermcare.gov,Executive,Department of Health and Human Services,Administration for Community Living,TRUE
lowerdrugcosts.gov,Executive,Department of Health and Human Services,Office of Assistant Secretary of Public Affairs,TRUE
medicaid.gov,Executive,Department of Health and Human Services,Centers for Medicare and Medicaid Services,TRUE
