target_url,Federal Agency,Level of Government,source_list_govt_urls
smithsonianjourneys.org,,Federal Government,TRUE
smithsonianmag.com,,Federal Government,TRUE
smithsonianscience.org,,Federal Government,TRUE
smithsonianstore.com,,Federal Government,TRUE
smokeybear.com,,Federal Government,TRUE
smokymountaincfc.org,Combined Federal Campaign,Federal Government,TRUE
socalcfc.org,Combined Federal Campaign,Federal Government,TRUE
southwestfloridacfc.org,Combined Federal Campaign,Federal Government,TRUE
spaceappschallenge.org,,Federal Government,TRUE
stripes.com,Department of Defense,Federal Government,TRUE
suicidepreventionlifeline.org,,Federal Government,TRUE
suncoastcfc.org,Combined Federal Campaign,Federal Government,TRUE
supportportal.com,,Federal Government,TRUE
t2health.org,,Federal Government,TRUE
teexwmdcampus.com,,Federal Government,TRUE
thecommunityguide.org,,Federal Government,TRUE
theshoalscfc.org,Combined Federal Campaign,Federal Government,TRUE
tnregionalcfc.org,Combined Federal Campaign,Federal Government,TRUE
todaysdocument.tumblr.com,,Federal Government,TRUE
todaysmilitary.com,,Federal Government,TRUE
trainex.org,,Federal Government,TRUE
trumanlibrary.org,,Federal Government,TRUE
tva.com,,Federal Government,TRUE
tvaed.com,,Federal Government,TRUE
tvars.com,,Federal Government,TRUE
us-mission.ch,,Federal Government,TRUE
usafa.edu,,Federal Government,TRUE
usafservices.com,,Federal Government,TRUE
usarmyjrotc.com,,Federal Government,TRUE
usarmymars.org,,Federal Government,TRUE
uscga.edu,,Federal Government,TRUE
uscgalaska.com,,Federal Government,TRUE
uscgaux.info,,Federal Government,TRUE
uscgboating.org,,Federal Government,TRUE
uscgnews.com,,Federal Government,TRUE
uschs.org,#N/A,Federal Government,TRUE
usda.mannlib.cornell.edu,,Federal Government,TRUE
usdirectexpress.com,,Federal Government,TRUE
usembassy-china.org.cn,,Federal Government,TRUE
usma.edu,,Federal Government,TRUE
usmc-mccs.org,,Federal Government,TRUE
usmcu.edu,,Federal Government,TRUE
usmma.edu,,Federal Government,TRUE
usna.edu,,Federal Government,TRUE
usps.com,,Federal Government,TRUE
usresponserestoration.wordpress.com,,Federal Government,TRUE
ustraveldocs.com,,Federal Government,TRUE
usu.edu,,Federal Government,TRUE
usuhs.edu,,Federal Government,TRUE
vasc.org,,Federal Government,TRUE
vcn.org,,Federal Government,TRUE
veteranscrisisline.net,,Federal Government,TRUE
veteranshealthlibrary.org,,Federal Government,TRUE
vetmedinfo.org,Health and Human Services (HHS),Federal Government,TRUE
voanews.com,,Federal Government,TRUE
voatour.com,,Federal Government,TRUE
war-on-pineapple.com,Department of Homeland Security,Federal Government,TRUE
waterqualitydata.us,Department of Interior,Federal Government,TRUE
westernmacfc.org,Combined Federal Campaign,Federal Government,TRUE
westernmarylandcfc.org,Combined Federal Campaign,Federal Government,TRUE
westpoint.edu,,Federal Government,TRUE
whitehousehistory.org,#N/A,Federal Government,TRUE
wibeaches.us,Department of the Interior,Federal Government,TRUE
ycq2.org,Department of Defense,Federal Government,TRUE
yes-abroad.org,Department of State,Federal Government,TRUE
yesprograms.org,Department of State,Federal Government,TRUE
