target_url,source_list_dod_public
vance.af.mil,TRUE
ri.ng.mil,TRUE
13thmeu.marines.mil,TRUE
myafn.dodlive.mil,TRUE
usafmcom.army.mil,TRUE
ncc.navfac.navy.mil,TRUE
moncrief.tricare.mil,TRUE
hanscom.af.mil,TRUE
310sw.afrc.af.mil,TRUE
403wg.afrc.af.mil,TRUE
whs.mil,TRUE
mepcom.army.mil,TRUE
marforeur.marines.mil,TRUE
145aw.ang.af.mil,TRUE
ne.ng.mil,TRUE
134arw.ang.af.mil,TRUE
safety.marines.mil,TRUE
jtfncr.mdw.army.mil,TRUE
184iw.ang.af.mil,TRUE
16af.af.mil,TRUE
18af.amc.af.mil,TRUE
9thmcd.marines.mil,TRUE
spangdahlem.af.mil,TRUE
169fw.ang.af.mil,TRUE
mcchord.af.mil,TRUE
148fw.ang.af.mil,TRUE
secretsdeclassified.af.mil,TRUE
navalaviationnews.navylive.dodlive.mil,TRUE
dcma.mil,TRUE
marines.mil,TRUE
301fw.afrc.af.mil,TRUE
jecc.ustranscom.mil,TRUE
prs.mil,TRUE
afaccessionscenter.af.mil,TRUE
8thmcd.marines.mil,TRUE
124thfighterwing.ang.af.mil,TRUE
safcn.af.mil,TRUE
141arw.ang.af.mil,TRUE
139aw.ang.af.mil,TRUE
1af.acc.af.mil,TRUE
315aw.afrc.af.mil,TRUE
afcec.af.mil,TRUE
178wing.ang.af.mil,TRUE
132dwing.ang.af.mil,TRUE
119wg.ang.af.mil,TRUE
187fw.ang.af.mil,TRUE
pscc.army.mil,TRUE
sam.usace.army.mil,TRUE
ncopdd.edu,TRUE
oakharbor.tricare.mil,TRUE
armyupress.army.mil,TRUE
fmtbneast.marines.mil,TRUE
va.ng.mil,TRUE
cnrnw.cnic.navy.mil,TRUE
afmc.af.mil,TRUE
rader.tricare.mil,TRUE
peomlb.navy.mil,TRUE
cprw1.navy.mil,TRUE
mrc-europe.army.mil,TRUE
mcaf.marines.mil,TRUE
usarj.army.mil,TRUE
clwp.navy.mil,TRUE
macdill.af.mil,TRUE
aetc.af.mil,TRUE
bg-crawford.tricare.mil,TRUE
cusnc.navy.mil,TRUE
26thmeu.marines.mil,TRUE
afinspectorgeneral.af.mil,TRUE
nan.usace.army.mil,TRUE
swf.usace.army.mil,TRUE
180fw.ang.af.mil,TRUE
nia.navy.mil,TRUE
151wg.af.mil,TRUE
wtbn.marines.mil,TRUE
rfpb.defense.gov,TRUE
cnrj.cnic.navy.mil,TRUE
dma.mil,TRUE
webtraining.dma.mil,TRUE
navsup.navy.mil,TRUE
grandforks.af.mil,TRUE
miramar-ems.marines.mil,TRUE
115fw.ang.af.mil,TRUE
dodcui.mil,TRUE
152aw.ang.af.mil,TRUE
alpenacrtc.ang.af.mil,TRUE
dinfos.dma.mil,TRUE
mhs-europe.tricare.mil,TRUE
open.defense.gov,TRUE
afsouth.af.mil,TRUE
121arw.ang.af.mil,TRUE
nh.ng.mil,TRUE
dsca.mil,TRUE
12cab.army.mil,TRUE
105aw.ang.af.mil,TRUE
angtec.ang.af.mil,TRUE
sfb.dodlive.mil,TRUE
enterprisemanagement.army.mil,TRUE
cybercom.mil,TRUE
peogcs.army.mil,TRUE
mcesg.marines.mil,TRUE
113wg.ang.af.mil,TRUE
camp-lejeune.tricare.mil,TRUE
usainscom.army.mil,TRUE
pfpa.mil,TRUE
landstuhl.tricare.mil,TRUE
marforres.marines.mil,TRUE
metc.mil,TRUE
keller.tricare.mil,TRUE
niwcpacific.navy.mil,TRUE
arsouth.army.mil,TRUE
airpac.navy.mil,TRUE
2025dodtransition.defense.gov,TRUE
financialfrontline.mil,TRUE
nellis.tricare.mil,TRUE
travis.tricare.mil,TRUE
martin.tricare.mil,TRUE
j9.nv.ng.mil,TRUE
marcent.marines.mil,TRUE
usarpac.army.mil,TRUE
navfac.navy.mil,TRUE
goarmysof.army.mil,TRUE
manpower.marines.mil,TRUE
doha.ogc.osd.mil,TRUE
cherrypoint.marines.mil,TRUE
mccog.marines.mil,TRUE
2cr.army.mil,TRUE
1id.army.mil,TRUE
twentynine-palms.tricare.mil,TRUE
dodig.mil,TRUE
navsea.navy.mil,TRUE
7atc.army.mil,TRUE
eisenhower.tricare.mil,TRUE
c3f.navy.mil,TRUE
asafm.army.mil,TRUE
kadena.af.mil,TRUE
ak.ng.mil,TRUE
kenner.tricare.mil,TRUE
rmc.usace.army.mil,TRUE
smtc.dodlive.mil,TRUE
marforpac.marines.mil,TRUE
171arw.ang.af.mil,TRUE
jrm.cnic.navy.mil,TRUE
nhc-charleston.tricare.mil,TRUE
dodclearinghouse.osd.mil,TRUE
med.navy.mil,TRUE
fuji.marines.mil,TRUE
59mdw.af.mil,TRUE
11thmeu.marines.mil,TRUE
nsa.gov,TRUE
marsoc.marines.mil,TRUE
sapr.mil,TRUE
swcs.mil,TRUE
fewarren.tricare.mil,TRUE
10thaamdc.army.mil,TRUE
tobyhanna.army.mil,TRUE
ipps-a.army.mil,TRUE
6thmcd.marines.mil,TRUE
mcbbutler.marines.mil,TRUE
nepa.navy.mil,TRUE
band.eur.army.mil,TRUE
cotf.navy.mil,TRUE
mces.marines.mil,TRUE
bayne-jones.tricare.mil,TRUE
cherrypoint.tricare.mil,TRUE
amcom.army.mil,TRUE
jpeoaa.army.mil,TRUE
cyberdefensereview.army.mil,TRUE
ig.army.mil,TRUE
asb.army.mil,TRUE
dc.ng.mil,TRUE
belvoirhospital.tricare.mil,TRUE
wilfordhall.tricare.mil,TRUE
iiimef.marines.mil,TRUE
okinawa.tricare.mil,TRUE
usanato.army.mil,TRUE
1tsc.army.mil,TRUE
peols.marines.mil,TRUE
guthrie.tricare.mil,TRUE
netcom.army.mil,TRUE
ewtgpac.navy.mil,TRUE
lawenforcement.marines.mil,TRUE
prevention.mil,TRUE
ssi.armywarcollege.edu,TRUE
casl.ndu.edu,TRUE
cisa.ndu.edu,TRUE
es.ndu.edu,TRUE
inss.ndu.edu,TRUE
ismo.ndu.edu,TRUE
keystone.ndu.edu,TRUE
ndupress.ndu.edu,TRUE
nwc.ndu.edu,TRUE
pinnacle.ndu.edu,TRUE
capstone.ndu.edu,TRUE
rcnsc.ndu.edu,TRUE
defense.gov,TRUE
afd.defense.gov,TRUE
dacowits.defense.gov,TRUE
dam.defense.gov,TRUE
data.defense.gov,TRUE
diversity.defense.gov,TRUE
dod.defense.gov,TRUE
dpac.defense.gov,TRUE
execsec.defense.gov,TRUE
history.defense.gov,TRUE
irt.defense.gov,TRUE
jamrs.defense.gov,TRUE
jifco.defense.gov,TRUE
la.defense.gov,TRUE
militarypay.defense.gov,TRUE
minerva.defense.gov,TRUE
oig.nsa.gov,TRUE
ousdi.defense.gov,TRUE
pclt.defense.gov,TRUE
policy.defense.gov,TRUE
prhome.defense.gov,TRUE
valor.defense.gov,TRUE
dodnafaccounting.defense.gov,TRUE
ngfamily.vt.gov,TRUE
daflearning.af.mil,TRUE
incirlik.af.mil,TRUE
ww3.safaq.hq.af.mil,TRUE
101arw.ang.af.mil,TRUE
103aw.ang.af.mil,TRUE
106rqw.ang.af.mil,TRUE
108thwing.ang.af.mil,TRUE
10af.afrc.af.mil,TRUE
110wg.ang.af.mil,TRUE
111attackwing.ang.af.mil,TRUE
114fw.ang.af.mil,TRUE
116acw.ang.af.mil,TRUE
117arw.ang.af.mil,TRUE
118wg.ang.af.mil,TRUE
120thairliftwing.ang.af.mil,TRUE
122fw.ang.af.mil,TRUE
123aw.ang.af.mil,TRUE
127wg.ang.af.mil,TRUE
128arw.ang.af.mil,TRUE
129rqw.ang.af.mil,TRUE
12ftw.af.mil,TRUE
130aw.ang.af.mil,TRUE
133aw.ang.af.mil,TRUE
137sow.ang.af.mil,TRUE
138fw.ang.af.mil,TRUE
140wg.ang.af.mil,TRUE
142wg.ang.af.mil,TRUE
143aw.ang.af.mil,TRUE
146aw.ang.af.mil,TRUE
147atkw.ang.af.mil,TRUE
149fw.ang.af.mil,TRUE
150sow.ang.af.mil,TRUE
151arw.ang.af.mil,TRUE
153aw.ang.af.mil,TRUE
155arw.ang.af.mil,TRUE
156wg.ang.af.mil,TRUE
157arw.ang.af.mil,TRUE
158fw.ang.af.mil,TRUE
159fw.ang.af.mil,TRUE
15wing.af.mil,TRUE
162wing.ang.af.mil,TRUE
164aw.ang.af.mil,TRUE
165aw.ang.af.mil,TRUE
168wg.ang.af.mil,TRUE
16af.af.mil,TRUE
173fw.ang.af.mil,TRUE
174attackwing.ang.af.mil,TRUE
175wg.ang.af.mil,TRUE
176wg.ang.af.mil,TRUE
177fw.ang.af.mil,TRUE
181iw.ang.af.mil,TRUE
183wg.ang.af.mil,TRUE
185arw.ang.af.mil,TRUE
187fw.ang.af.mil,TRUE
190arw.ang.af.mil,TRUE
193sow.ang.af.mil,TRUE
194wg.ang.af.mil,TRUE
22af.afrc.af.mil,TRUE
2af.aetc.af.mil,TRUE
307bw.afrc.af.mil,TRUE
33fw.af.mil,TRUE
340ftg.afrc.af.mil,TRUE
349amw.afrc.af.mil,TRUE
350sww.af.mil,TRUE
352sow.af.mil,TRUE
353sow.af.mil,TRUE
388fw.acc.af.mil,TRUE
413ftg.afrc.af.mil,TRUE
419fw.afrc.af.mil,TRUE
442fw.afrc.af.mil,TRUE
445aw.afrc.af.mil,TRUE
446aw.afrc.af.mil,TRUE
459arw.afrc.af.mil,TRUE
492sow.af.mil,TRUE
4af.afrc.af.mil,TRUE
501csw.usafe.af.mil,TRUE
505ccw.acc.af.mil,TRUE
514amw.afrc.af.mil,TRUE
521amow.af.mil,TRUE
53rdwing.af.mil,TRUE
552acw.acc.af.mil,TRUE
557weatherwing.af.mil,TRUE
5af.pacaf.af.mil,TRUE
7af.pacaf.af.mil,TRUE
8af.af.mil,TRUE
908ftw.afrc.af.mil,TRUE
916arw.afrc.af.mil,TRUE
920rqw.afrc.af.mil,TRUE
927arw.afrc.af.mil,TRUE
931arw.afrc.af.mil,TRUE
932aw.afrc.af.mil,TRUE
944fw.afrc.af.mil,TRUE
960cyber.afrc.af.mil,TRUE
aatc.ang.af.mil,TRUE
af.mil,TRUE
afaa.af.mil,TRUE
afaccessionscenter.af.mil,TRUE
afgsc.af.mil,TRUE
afhistory.af.mil,TRUE
afhistoryandmuseums.af.mil,TRUE
afhra.af.mil,TRUE
afimsc.af.mil,TRUE
afinspectorgeneral.af.mil,TRUE
afjag.af.mil,TRUE
aflcmc.af.mil,TRUE
afmaa.af.mil,TRUE
afnwc.af.mil,TRUE
afotec.af.mil,TRUE
afpc.af.mil,TRUE
afrc.af.mil,TRUE
afrl.af.mil,TRUE
afsc.af.mil,TRUE
afsfc.af.mil,TRUE
aft3.af.mil,TRUE
aftc.af.mil,TRUE
airforcesmallbiz.af.mil,TRUE
airman.af.mil,TRUE
airmanmagazine.af.mil,TRUE
airuniversity.af.edu,TRUE
ang.af.mil,TRUE
arnold.af.mil,TRUE
arpc.afrc.af.mil,TRUE
aviano.af.mil,TRUE
barksdale.af.mil,TRUE
basictraining.af.mil,TRUE
beale.af.mil,TRUE
beready.af.mil,TRUE
bmtflightphotos.af.mil,TRUE
cannon.af.mil,TRUE
columbus.af.mil,TRUE
data.af.mil,TRUE
dm.af.mil,TRUE
dobbins.afrc.af.mil,TRUE
doctrine.af.mil,TRUE
eads.ang.af.mil,TRUE
eglin.af.mil,TRUE
eielson.af.mil,TRUE
ellsworth.af.mil,TRUE
e-publishing.af.mil,TRUE
expeditionarycenter.af.mil,TRUE
fairchild.af.mil,TRUE
foia.af.mil,TRUE
goodfellow.af.mil,TRUE
gosere.af.mil,TRUE
grissom.afrc.af.mil,TRUE
gulfportcrtc.ang.af.mil,TRUE
hill.af.mil,TRUE
holloman.af.mil,TRUE
homestead.afrc.af.mil,TRUE
hqrio.afrc.af.mil,TRUE
hurlburt.af.mil,TRUE
jagreporter.af.mil,TRUE
jbmdl.jb.mil,TRUE
keesler.af.mil,TRUE
kirtland.af.mil,TRUE
lakenheath.af.mil,TRUE
laughlin.af.mil,TRUE
learningprofessionals.af.mil,TRUE
littlerock.af.mil,TRUE
luke.af.mil,TRUE
march.afrc.af.mil,TRUE
maxwell.af.mil,TRUE
mcconnell.af.mil,TRUE
minneapolis.afrc.af.mil,TRUE
minot.af.mil,TRUE
misawa.af.mil,TRUE
modsim.af.mil,TRUE
moody.af.mil,TRUE
mountainhome.af.mil,TRUE
nellis.af.mil,TRUE
netcents.af.mil,TRUE
niagara.afrc.af.mil,TRUE
njang.ang.af.mil,TRUE
offutt.af.mil,TRUE
osi.af.mil,TRUE
pacaf.af.mil,TRUE
pittsburgh.afrc.af.mil,TRUE
privacy.af.mil,TRUE
publicaffairs.af.mil,TRUE
resilience.af.mil,TRUE
robins.af.mil,TRUE
safety.af.mil,TRUE
saffm.hq.af.mil,TRUE
safgc.hq.af.mil,TRUE
safsq.hq.af.mil,TRUE
scott.af.mil,TRUE
seymourjohnson.af.mil,TRUE
shadowsedge.mil,TRUE
sheppard.af.mil,TRUE
shoc.af.mil,TRUE
specialwarfaretw.af.mil,TRUE
studyguides.af.mil,TRUE
tesseract.af.mil,TRUE
tinker.af.mil,TRUE
torch.aetc.af.mil,TRUE
trademark.af.mil,TRUE
tyndall.af.mil,TRUE
usafa.af.mil,TRUE
usafe.af.mil,TRUE
veterans-in-blue.af.mil,TRUE
volkfield.ang.af.mil,TRUE
warren.af.mil,TRUE
wavelength.af.mil,TRUE
westover.afrc.af.mil,TRUE
whiteman.af.mil,TRUE
woundedwarrior.af.mil,TRUE
wpafb.af.mil,TRUE
yokota.af.mil,TRUE
youngstown.afrc.af.mil,TRUE
ahrpo.army.mil,TRUE
eeo.amedd.army.mil,TRUE
history.army.mil,TRUE
mrdg.health.mil,TRUE
recruiting.army.mil,TRUE
usainscom.army.mil,TRUE
wrairafrica.health.mil,TRUE
wrairwest.health.mil,TRUE
19bcd.army.mil,TRUE
409csb.army.mil,TRUE
afod.eur.army.mil,TRUE
armyhealthfacilities.amedd.army.mil,TRUE
letterkenny.army.mil,TRUE
ncolcoe.army.mil,TRUE
peosoldier.army.mil,TRUE
psmagazine.army.mil,TRUE
hnc.usace.army.mil,TRUE
iwr.usace.army.mil,TRUE
lrb.usace.army.mil,TRUE
lrc.usace.army.mil,TRUE
lrh.usace.army.mil,TRUE
