target_url,source_list_usagov_clicks
amview.japan.usembassy.gov,TRUE
analysistools.cancer.gov,TRUE
analytics.nih.gov,TRUE
analytics.usa.gov,TRUE
andersoncountytn.gov,TRUE
animalcare.lacounty.gov,TRUE
animalcare.sbcounty.gov,TRUE
annotation.blogs.archives.gov,TRUE
annualreport.nichd.nih.gov,TRUE
anrweb.vt.gov,TRUE
answers.ed.gov,TRUE
answers.usa.gov,TRUE
antarcticsun.usap.gov,TRUE
antibodies.cancer.gov,TRUE
antiviolencefund.princegeorgescountymd.gov,TRUE
ao.usembassy.gov,TRUE
aoepay.clarkcountynv.gov,TRUE
aoprals.state.gov,TRUE
aotus.blogs.archives.gov,TRUE
ap.arlingtontx.gov,TRUE
apd440.gsfc.nasa.gov,TRUE
aphis.prod.usda.gov,TRUE
api.benefits.gov,TRUE
api.childwelfare.gov,TRUE
api.congress.gov,TRUE
api.data.gov,TRUE
api.faa.gov,TRUE
api.gdc.cancer.gov,TRUE
api.govinfo.gov,TRUE
api.nal.usda.gov,TRUE
api.nasa.gov,TRUE
api.ods.od.nih.gov,TRUE
api.reporter.nih.gov,TRUE
api.tidesandcurrents.noaa.gov,TRUE
apisstaging.niaaa.nih.gov,TRUE
apod.nasa.gov,TRUE
app.alea.gov,TRUE
app.coastalscience.noaa.gov,TRUE
app.doj.mt.gov,TRUE
app.leg.wa.gov,TRUE
app.lla.la.gov,TRUE
app.mt.gov,TRUE
app1.lla.la.gov,TRUE
appanoosecounty.iowa.gov,TRUE
appel.nasa.gov,TRUE
appext20.dos.ny.gov,TRUE
appgateway.drc.ohio.gov,TRUE
applications.labor.ny.gov,TRUE
applications.sc.gov,TRUE
appliedsciences.nasa.gov,TRUE
apply.intelligencecareers.gov,TRUE
apply.usastaffing.gov,TRUE
apply07.grants.gov,TRUE
apprenticeship.iowa.gov,TRUE
appropriations.house.gov,TRUE
apps-afsc.fisheries.noaa.gov,TRUE
apps-garfo.fisheries.noaa.gov,TRUE
apps-nefsc.fisheries.noaa.gov,TRUE
apps-st.fisheries.noaa.gov,TRUE
apps.adacounty.id.gov,TRUE
apps.ams.usda.gov,TRUE
apps.azdot.gov,TRUE
apps.azsos.gov,TRUE
apps.bea.gov,TRUE
apps.calbar.ca.gov,TRUE
apps.cand.uscourts.gov,TRUE
apps.cdcr.ca.gov,TRUE
apps.cio.ny.gov,TRUE
apps.colorado.gov,TRUE
apps.corrections.ky.gov,TRUE
apps.das.nh.gov,TRUE
apps.dat.noaa.gov,TRUE
apps.deadiversion.usdoj.gov,TRUE
apps.des.wa.gov,TRUE
apps.dnr.wi.gov,TRUE
apps.dos.ny.gov,TRUE
apps.dps.ohio.gov,TRUE
apps.dss.mo.gov,TRUE
apps.ecology.wa.gov,TRUE
apps.era.nih.gov,TRUE
apps.fas.usda.gov,TRUE
apps.fca.gov,TRUE
apps.fcc.gov,TRUE
apps.flathead.mt.gov,TRUE
apps.fs.usda.gov,TRUE
apps.fsa.usda.gov,TRUE
apps.glerl.noaa.gov,TRUE
apps.health.ny.gov,TRUE
apps.hhs.texas.gov,TRUE
apps.highered.texas.gov,TRUE
apps.hud.gov,TRUE
apps.ilsos.gov,TRUE
apps.irs.gov,TRUE
apps.itd.idaho.gov,TRUE
apps.labor.ny.gov,TRUE
apps.leg.wa.gov,TRUE
apps.legislature.ky.gov,TRUE
apps.lickingcounty.gov,TRUE
apps.mh.alabama.gov,TRUE
apps.nationalmap.gov,TRUE
apps.ncdot.gov,TRUE
apps.nd.gov,TRUE
apps.nmfs.noaa.gov,TRUE
apps.nssl.noaa.gov,TRUE
apps.occ.gov,TRUE
apps.orau.gov,TRUE
apps.oregon.gov,TRUE
apps.oregonlegislature.gov,TRUE
apps.pittsburghpa.gov,TRUE
apps.sarpy.gov,TRUE
apps.sd.gov,TRUE
apps.senate.virginia.gov,TRUE
apps.sos.wa.gov,TRUE
apps.sos.wv.gov,TRUE
apps.supremecourt.az.gov,TRUE
apps.twc.texas.gov,TRUE
apps.usfa.fema.gov,TRUE
apps.usgs.gov,TRUE
apps.web.maine.gov,TRUE
apps.weld.gov,TRUE
apps.wv.gov,TRUE
apps02.ins.pa.gov,TRUE
apps03.lakecountyil.gov,TRUE
apps2.collincountytx.gov,TRUE
apsc.arkansas.gov,TRUE
aqua.nasa.gov,TRUE
aquarius.riversideca.gov,TRUE
ar.esd.ny.gov,TRUE
ar.governor.ny.gov,TRUE
ar.usembassy.gov,TRUE
arc.sbcounty.gov,TRUE
arcareers.arkansas.gov,TRUE
archaeology.ky.gov,TRUE
archaeology.ncdcr.gov,TRUE
architecture.mt.gov,TRUE
archive.ada.gov,TRUE
archive.cdc.gov,TRUE
archive.epa.gov,TRUE
archive.fdic.gov,TRUE
archive.gov.ca.gov,TRUE
archive.mbda.gov,TRUE
archive.niams.nih.gov,TRUE
archive.opm.gov,TRUE
archive.usgs.gov,TRUE
archive.whitehouseconferenceonaging.gov,TRUE
archives.alabama.gov,TRUE
archives.cdn.sos.ca.gov,TRUE
archives.colorado.gov,TRUE
archives.delaware.gov,TRUE
archives.fbi.gov,TRUE
archives.federalregister.gov,TRUE
archives.gov,TRUE
archives.hud.gov,TRUE
archives.ncdcr.gov,TRUE
archives.nida.nih.gov,TRUE
archives.nysed.gov,TRUE
archives.obm.ohio.gov,TRUE
archivesfiles.delaware.gov,TRUE
arcr.niaaa.nih.gov,TRUE
arcselfservice.sbcounty.gov,TRUE
arctic.noaa.gov,TRUE
arec.arkansas.gov,TRUE
ares.jsc.nasa.gov,TRUE
arisapp.ars.usda.gov,TRUE
arkansasag.gov,TRUE
arlweb.msha.gov,TRUE
arm.aphis.usda.gov,TRUE
armedforcessports.defense.gov,TRUE
armedservices.house.gov,TRUE
armi.usgs.gov,TRUE
armstrong.house.gov,TRUE
arpa-e.energy.gov,TRUE
arpa-h.gov,TRUE
arsnapworks.dhs.arkansas.gov,TRUE
art.csr.nih.gov,TRUE
art.gsa.gov,TRUE
art.state.gov,TRUE
artcrimes.fbi.gov,TRUE
arts.ca.gov,TRUE
asa24.nci.nih.gov,TRUE
asbcs.az.gov,TRUE
asc.alabama.gov,TRUE
ascent.sba.gov,TRUE
asd.fema.gov,TRUE
asd.gsfc.nasa.gov,TRUE
asean.usmission.gov,TRUE
asg.pr.gov,TRUE
ashlibrary.azdhs.gov,TRUE
ask.fmcsa.dot.gov,TRUE
ask.gpo.gov,TRUE
ask.loc.gov,TRUE
ask.usda.gov,TRUE
askalawlibrarian.nycourts.gov,TRUE
aspe.hhs.gov,TRUE
aspm.faa.gov,TRUE
aspr.hhs.gov,TRUE
asprtracie.hhs.gov,TRUE
asprwgpublic.hhs.gov,TRUE
asrs.arc.nasa.gov,TRUE
assays.cancer.gov,TRUE
assembly.ny.gov,TRUE
assessment.cot.tn.gov,TRUE
assessments.kanecountyil.gov,TRUE
assessments.milwaukee.gov,TRUE
assessor.berkeleycountysc.gov,TRUE
assessor.lacounty.gov,TRUE
assets.performance.gov,TRUE
assist.gsa.gov,TRUE
astrobiology.nasa.gov,TRUE
astrogeology.usgs.gov,TRUE
at.usembassy.gov,TRUE
atap.lbl.gov,TRUE
atb.nrel.gov,TRUE
atbcstudy.cancer.gov,TRUE
atc.dps.mo.gov,TRUE
atg.sd.gov,TRUE
atlas.ams.usda.gov,TRUE
atlas.fbi.gov,TRUE
atlas.thc.texas.gov,TRUE
atldot.atlantaga.gov,TRUE
atlgbtq.atlantaga.gov,TRUE
ato.faa.gov,TRUE
attic.gsfc.nasa.gov,TRUE
attorneygeneral.delaware.gov,TRUE
attorneygeneral.nd.gov,TRUE
attorneygeneral.utah.gov,TRUE
attorneyinfo.aoc.arkansas.gov,TRUE
atyourservice.seattle.gov,TRUE
au.usembassy.gov,TRUE
auchincloss.house.gov,TRUE
auctioneer.alabama.gov,TRUE
auctionfiling.fcc.gov,TRUE
auditor.harriscountytx.gov,TRUE
auditor.mo.gov,TRUE
aura.gsfc.nasa.gov,TRUE
auth.nih.gov,TRUE
authentications.utah.gov,TRUE
autoauctions.gsa.gov,TRUE
autochoice.fas.gsa.gov,TRUE
autovendor.fas.gsa.gov,TRUE
auxdata.uscg.gov,TRUE
aviationweather-bldr.ncep.noaa.gov,TRUE
aviationweather-cprk.ncep.noaa.gov,TRUE
aviationweather.gov,TRUE
awc.faa.gov,TRUE
axaem.archives.ncdcr.gov,TRUE
axon.ars.usda.gov,TRUE
az.gov,TRUE
az.usembassy.gov,TRUE
azcc.gov,TRUE
azcrimestatistics.azdps.gov,TRUE
azdeq.gov,TRUE
azdirect.az.gov,TRUE
azdohs.gov,TRUE
azdor.gov,TRUE
azdot.gov,TRUE
azgovernor.gov,TRUE
azleg.gov,TRUE
azlibrary.gov,TRUE
azmemory.azlibrary.gov,TRUE
azmvdnow.gov,TRUE
azre.gov,TRUE
azsos.gov,TRUE
ba.usembassy.gov,TRUE
babin.house.gov,TRUE
bacon.house.gov,TRUE
badgerbounceback.wi.gov,TRUE
badgesignup.grc.nasa.gov,TRUE
baird.house.gov,TRUE
baldwincountyal.gov,TRUE
balint.house.gov,TRUE
ballotapplication.elections.ny.gov,TRUE
banking.arkansas.gov,TRUE
banking.colorado.gov,TRUE
banking.delaware.gov,TRUE
bankruptcynotices.uscourts.gov,TRUE
banks.data.fdic.gov,TRUE
banks.house.gov,TRUE
bar.ca.gov,TRUE
barr.house.gov,TRUE
barragan.house.gov,TRUE
bartholomew.in.gov,TRUE
basc.pnnl.gov,TRUE
basicresearch.defense.gov,TRUE
baxtercountyar.gov,TRUE
bb.usembassy.gov,TRUE
bbs.ca.gov,TRUE
bci.utah.gov,TRUE
bcrisktool.cancer.gov,TRUE
bcws.berkeleycountysc.gov,TRUE
bd.usembassy.gov,TRUE
be.usembassy.gov,TRUE
beacon.labor.maryland.gov,TRUE
beaconregistration.noaa.gov,TRUE
beamdocs.fnal.gov,TRUE
beatty.house.gov,TRUE
beaumontca.gov,TRUE
beavertonoregon.gov,TRUE
bedfordny.gov,TRUE
bedfordtx.gov,TRUE
bellavistaar.gov,TRUE
bellevueia.gov,TRUE
bellevuewa.gov,TRUE
benefitoptions.az.gov,TRUE
benefits-tool-beta.usa.gov,TRUE
benefits-tool.usa.gov,TRUE
benefits.mt.gov,TRUE
benefits.ohio.gov,TRUE
benefits.ornl.gov,TRUE
benefits.va.gov,TRUE
benefitssupport.tn.gov,TRUE
benniethompson.house.gov,TRUE
bensguide.gpo.gov,TRUE
bentoncountyar.gov,TRUE
bera.house.gov,TRUE
bergman.house.gov,TRUE
berkeleyca.gov,TRUE
berkeleycountysc.gov,TRUE
beta.business.dc.gov,TRUE
beta.clinicaltrials.gov,TRUE
beta.consumerfinance.gov,TRUE
beta.ncd.gov,TRUE
beta.ngs.noaa.gov,TRUE
beta.nsf.gov,TRUE
beta.sam.gov,TRUE
beta.tidesandcurrents.noaa.gov,TRUE
beta.trade.gov,TRUE
beta.weather.gov,TRUE
betheltwplebanon.gov,TRUE
betobaccofree.hhs.gov,TRUE
betterbuildingssolutioncenter.energy.gov,TRUE
beverlyhills-ca.gov,TRUE
beyer.house.gov,TRUE
bf.usembassy.gov,TRUE
bg.usembassy.gov,TRUE
bgj398.ctss.nih.gov,TRUE
bh.usembassy.gov,TRUE
bhddh.ri.gov,TRUE
bhgs.dca.ca.gov,TRUE
bhw.hrsa.gov,TRUE
bi.usembassy.gov,TRUE
biggs.house.gov,TRUE
bil.usajobs.gov,TRUE
bilirakis.house.gov,TRUE
billingsmt.gov,TRUE
billjohnson.house.gov,TRUE
biobeat.nigms.nih.gov,TRUE
biodatacatalyst.nhlbi.nih.gov,TRUE
bioethics.nih.gov,TRUE
bioguide.congress.gov,TRUE
bioguideretro.congress.gov,TRUE
bioinformatics.ccr.cancer.gov,TRUE
bioinformatics.niaid.nih.gov,TRUE
biolincc.nhlbi.nih.gov,TRUE
biomedicalresearchworkforce.nih.gov,TRUE
bionlp.nlm.nih.gov,TRUE
biospecimens.cancer.gov,TRUE
bir.vi.gov,TRUE
birds.outdoornebraska.gov,TRUE
birminghamjailsearch.birminghamal.gov,TRUE
biz.loudoun.gov,TRUE
biz.sosmt.gov,TRUE
bizfileonline.sos.ca.gov,TRUE
biznet.ct.gov,TRUE
bj.usembassy.gov,TRUE
bja.ojp.gov,TRUE
bjatta.bja.ojp.gov,TRUE
bjs.ojp.gov,TRUE
blackcaucus.legislature.ca.gov,TRUE
blackhistorymonth.gov,TRUE
blast.ncbi.nlm.nih.gov,TRUE
ble.texas.gov,TRUE
blend.mdl.nws.noaa.gov,TRUE
blog-nrrd.doi.gov,TRUE
blog.dol.gov,TRUE
blog.ed.gov,TRUE
blog.history.in.gov,TRUE
blog.library.in.gov,TRUE
blog.marinedebris.noaa.gov,TRUE
blog.newspapers.library.in.gov,TRUE
blog.nimhd.nih.gov,TRUE
blog.ninds.nih.gov,TRUE
blog.nssl.noaa.gov,TRUE
blog.response.restoration.noaa.gov,TRUE
blog.ssa.gov,TRUE
blog.trade.gov,TRUE
blog.usa.gov,TRUE
blog.wvlegislature.gov,TRUE
blogs.anl.gov,TRUE
blogs.cdc.gov,TRUE
blogs.loc.gov,TRUE
blogs.nasa.gov,TRUE
blogs.sos.wa.gov,TRUE
bloodstemcell.hrsa.gov,TRUE
bloomington.in.gov,TRUE
bm.usconsulate.gov,TRUE
bms.hanford.gov,TRUE
bmv.ohio.gov,TRUE
bmv.vi.gov,TRUE
bmvonline.dps.ohio.gov,TRUE
bn.usembassy.gov,TRUE
bnctest.uscourts.gov,TRUE
bo.usembassy.gov,TRUE
boa.virginia.gov,TRUE
board.calbar.ca.gov,TRUE
boardofed.idaho.gov,TRUE
boards.bsd.dli.mt.gov,TRUE
boards.hawaii.gov,TRUE
bobbyscott.house.gov,TRUE
boe.ca.gov,TRUE
boe.co.trumbull.oh.gov,TRUE
boe.cuyahogacounty.gov,TRUE
boe.hawaii.gov,TRUE
boeala.alabama.gov,TRUE
boebert.house.gov,TRUE
boebertforms.house.gov,TRUE
bof.fire.ca.gov,TRUE
boiefiling.fincen.gov,TRUE
bon.texas.gov,TRUE
bondpro.gov,TRUE
bookstore.gpo.gov,TRUE
boonecounty.in.gov,TRUE
boonepva.ky.gov,TRUE
bopc.ca.gov,TRUE
borrowerdischarge.ed.gov,TRUE
bos.sbsd.virginia.gov,TRUE
bost.house.gov,TRUE
bouldercolorado.gov,TRUE
bouldercounty.gov,TRUE
bowman.house.gov,TRUE
boxing.nv.gov,TRUE
bphc.hrsa.gov,TRUE
bppe.ca.gov,TRUE
bqs.usgs.gov,TRUE
br.usembassy.gov,TRUE
bradklippert.houserepublicans.wa.gov,TRUE
brads.nichd.nih.gov,TRUE
braininitiative.nih.gov,TRUE
brazil.in.gov,TRUE
brb.nci.nih.gov,TRUE
brd.nci.nih.gov,TRUE
brics.cit.nih.gov,TRUE
bringit.wi.gov,TRUE
broadband.arkansas.gov,TRUE
bronxboropres.nyc.gov,TRUE
brookhaven-ms.gov,TRUE
broomecountyny.gov,TRUE
brownsvilletn.gov,TRUE
bs.usembassy.gov,TRUE
bsaaml.ffiec.gov,TRUE
bsaefiling.fincen.treas.gov,TRUE
bsc.ogs.ny.gov,TRUE
bscc.ca.gov,TRUE
bsesc.energy.gov,TRUE
bsp.guam.gov,TRUE
btep.ccr.cancer.gov,TRUE
btris.nih.gov,TRUE
buchanan.house.gov,TRUE
buck.house.gov,TRUE
budget.delaware.gov,TRUE
budget.hawaii.gov,TRUE
budget.house.gov,TRUE
budgetnotices.in.gov,TRUE
bulletins.ncrec.gov,TRUE
buoybay.noaa.gov,TRUE
burchett.house.gov,TRUE
burgess.house.gov,TRUE
burnseverity.cr.usgs.gov,TRUE
bush.house.gov,TRUE
business.ca.gov,TRUE
business.ct.gov,TRUE
business.defense.gov,TRUE
business.delaware.gov,TRUE
business.idaho.gov,TRUE
business.lacity.gov,TRUE
business.mt.gov,TRUE
business.nj.gov,TRUE
business.nv.gov,TRUE
business.pa.gov,TRUE
business.sos.ri.gov,TRUE
business.utah.gov,TRUE
businessfilings.sc.gov,TRUE
businesssearch.ohiosos.gov,TRUE
buy.gsa.gov,TRUE
bvirtualogp.pr.gov,TRUE
bw.usembassy.gov,TRUE
bwt.cbp.gov,TRUE
by.usembassy.gov,TRUE
bz.usembassy.gov,TRUE
c.lakecountyfl.gov,TRUE
c3.ndc.nasa.gov,TRUE
c3rs.arc.nasa.gov,TRUE
ca.usembassy.gov,TRUE
ca.water.usgs.gov,TRUE
cab.srs.gov,TRUE
cacfp.dss.ca.gov,TRUE
cacmap.fda.gov,TRUE
cacms.state.gov,TRUE
caehydralink.rma.usda.gov,TRUE
cafc.uscourts.gov,TRUE
cahuilla-nsn.gov,TRUE
calable.ca.gov,TRUE
calc.gsa.gov,TRUE
calcareers.ca.gov,TRUE
calcivilrights.ca.gov,TRUE
calendar.niehs.nih.gov,TRUE
calendar.nih.gov,TRUE
calepa.ca.gov,TRUE
caleprocure.ca.gov,TRUE
calfresh.dss.ca.gov,TRUE
calhoun.alacourt.gov,TRUE
callsforservice.sdsheriff.gov,TRUE
calosba.ca.gov,TRUE
calpers.ca.gov,TRUE
calrecycle.ca.gov,TRUE
calrx.ca.gov,TRUE
calvert.house.gov,TRUE
cam.cancer.gov,TRUE
cameo.noaa.gov,TRUE
cameochemicals.noaa.gov,TRUE
campbellcountyky.gov,TRUE
campcreek.atdd.noaa.gov,TRUE
cams.nssl.noaa.gov,TRUE
cancercenters.cancer.gov,TRUE
cancercontrol.cancer.gov,TRUE
cand.uscourts.gov,TRUE
candidates.tsa.dhs.gov,TRUE
cannabis.ca.gov,TRUE
cannabis.ny.gov,TRUE
cao.house.gov,TRUE
capemaycountynj.gov,TRUE
capitol.michigan.gov,TRUE
capitol.texas.gov,TRUE
capitolheightsmd.gov,TRUE
capitolmuseum.ca.gov,TRUE
cara.fs2c.usda.gov,TRUE
carbajal.house.gov,TRUE
card.nih.gov,TRUE
cardinal.cels.anl.gov,TRUE
cards.od.nih.gov,TRUE
care.va.gov,TRUE
careers.cbp.gov,TRUE
careers.colorado.gov,TRUE
careers.dc.gov,TRUE
careers.doi.gov,TRUE
careers.employment.pa.gov,TRUE
careers.georgia.gov,TRUE
careers.ohio.gov,TRUE
careers.sf.gov,TRUE
careers.state.gov,TRUE
careers.vermont.gov,TRUE
careers.wa.gov,TRUE
careertrac.niehs.nih.gov,TRUE
cares.faa.gov,TRUE
carey.house.gov,TRUE
carl.house.gov,TRUE
carrollcountytn.gov,TRUE
cart.sc.egov.usda.gov,TRUE
carter.house.gov,TRUE
casar.house.gov,TRUE
case.house.gov,TRUE
caseclips.courts.in.gov,TRUE
casedocuments.darrp.noaa.gov,TRUE
caseinfo.arcourts.gov,TRUE
caseinfo.mchenrycountyil.gov,TRUE
cassadaga.jobcorps.gov,TRUE
casten.house.gov,TRUE
castor.house.gov,TRUE
castro.house.gov,TRUE
cat.srs.gov,TRUE
catalog.archives.gov,TRUE
catalog.data.gov,TRUE
catalog.fdic.gov,TRUE
catalog.library.ks.gov,TRUE
catalog.losgatosca.gov,TRUE
catalog.mountainview.gov,TRUE
catalog.niams.nih.gov,TRUE
catalog.nidcr.nih.gov,TRUE
catalog.ninds.nih.gov,TRUE
catalog.sos.ri.gov,TRUE
catalog.usmint.gov,TRUE
catalog.wake.gov,TRUE
catchthecometsc.gov,TRUE
cats.airports.faa.gov,TRUE
catweb2.sba.gov,TRUE
cbc.house.gov,TRUE
cbexapp.noaa.gov,TRUE
