target_url,source_list_house_117th
huffman.house.gov,TRUE
huizenga.house.gov,TRUE
humanrightscommission.house.gov,TRUE
intelligence.house.gov,TRUE
issa.house.gov,TRUE
jackson.house.gov,TRUE
jacksonlee.house.gov,TRUE
jacobs.house.gov,TRUE
january6th.house.gov,TRUE
jasonsmith.house.gov,TRUE
jayapal.house.gov,TRUE
jeffduncan.house.gov,TRUE
jeffries.house.gov,TRUE
jhb.house.gov,TRUE
joewilson.house.gov,TRUE
johnjoyce.house.gov,TRUE
johnrose.house.gov,TRUE
jones.house.gov,TRUE
jordan.house.gov,TRUE
joyce.house.gov,TRUE
judiciary.house.gov,TRUE
juliabrownley.house.gov,TRUE
kahele.house.gov,TRUE
kaptur.house.gov,TRUE
katherineclark.house.gov,TRUE
kathleenrice.house.gov,TRUE
katko.house.gov,TRUE
kaygranger.house.gov,TRUE
keating.house.gov,TRUE
keller.house.gov,TRUE
kelly.house.gov,TRUE
kevinbrady.house.gov,TRUE
kevinmccarthy.house.gov,TRUE
khanna.house.gov,TRUE
kids-clerk.house.gov,TRUE
kilmer.house.gov,TRUE
kim.house.gov,TRUE
kind.house.gov,TRUE
kinzinger.house.gov,TRUE
kirkpatrick.house.gov,TRUE
krishnamoorthi.house.gov,TRUE
kuster.house.gov,TRUE
kustoff.house.gov,TRUE
lahood.house.gov,TRUE
lamalfa.house.gov,TRUE
lamb.house.gov,TRUE
lamborn.house.gov,TRUE
langevin.house.gov,TRUE
larsen.house.gov,TRUE
larson.house.gov,TRUE
latta.house.gov,TRUE
laturner.house.gov,TRUE
lawrence.house.gov,TRUE
lawson.house.gov,TRUE
lee.house.gov,TRUE
legcounsel.house.gov,TRUE
lesko.house.gov,TRUE
letlow.house.gov,TRUE
lgbtq.house.gov,TRUE
lieu.house.gov,TRUE
lindasanchez.house.gov,TRUE
lofgren.house.gov,TRUE
long.house.gov,TRUE
loudermilk.house.gov,TRUE
lowenthal.house.gov,TRUE
lucas.house.gov,TRUE
luetkemeyer.house.gov,TRUE
luria.house.gov,TRUE
lynch.house.gov,TRUE
mace.house.gov,TRUE
malinowski.house.gov,TRUE
malliotakis.house.gov,TRUE
maloney.house.gov,TRUE
mann.house.gov,TRUE
manning.house.gov,TRUE
mariodiazbalart.house.gov,TRUE
markgreen.house.gov,TRUE
marymiller.house.gov,TRUE
massie.house.gov,TRUE
mast.house.gov,TRUE
matsui.house.gov,TRUE
mcbath.house.gov,TRUE
mccaul.house.gov,TRUE
mcclain.house.gov,TRUE
mcclintock.house.gov,TRUE
mccollum.house.gov,TRUE
mceachin.house.gov,TRUE
mcgovern.house.gov,TRUE
mchenry.house.gov,TRUE
mckinley.house.gov,TRUE
mcmorris.house.gov,TRUE
mcnerney.house.gov,TRUE
meeks.house.gov,TRUE
meijer.house.gov,TRUE
meng.house.gov,TRUE
mentalhealthcaucus-napolitano.house.gov,TRUE
meuser.house.gov,TRUE
mfume.house.gov,TRUE
mikegarcia.house.gov,TRUE
mikejohnson.house.gov,TRUE
mikelevin.house.gov,TRUE
mikerogers.house.gov,TRUE
mikethompson.house.gov,TRUE
miller.house.gov,TRUE
millermeeks.house.gov,TRUE
modernizecongress.house.gov,TRUE
moolenaar.house.gov,TRUE
mooney.house.gov,TRUE
morelle.house.gov,TRUE
morgangriffith.house.gov,TRUE
motorcyclecaucus-burgess.house.gov,TRUE
moulton.house.gov,TRUE
mrvan.house.gov,TRUE
mullin.house.gov,TRUE
multiculturalmediacaucus-clarke.house.gov,TRUE
murphy.house.gov,TRUE
nadler.house.gov,TRUE
napolitano.house.gov,TRUE
naturalresources.house.gov,TRUE
neal.house.gov,TRUE
neguse.house.gov,TRUE
nehls.house.gov,TRUE
newdemocratcoalition.house.gov,TRUE
newhouse.house.gov,TRUE
newman.house.gov,TRUE
nikemawilliams.house.gov,TRUE
norcross.house.gov,TRUE
norman.house.gov,TRUE
norton.house.gov,TRUE
nuclearsecuritycaucus-fortenberry.house.gov,TRUE
obernolte.house.gov,TRUE
ocasio-cortez.house.gov,TRUE
oce.house.gov,TRUE
ogc.house.gov,TRUE
ohalleran.house.gov,TRUE
olympicparalympiccaucus-langevin.house.gov,TRUE
omar.house.gov,TRUE
opticsphotonicscaucus-morelle.house.gov,TRUE
oversight.house.gov,TRUE
owens.house.gov,TRUE
pacificislandscaucus-case.house.gov,TRUE
palazzo.house.gov,TRUE
pallone.house.gov,TRUE
palmer.house.gov,TRUE
panetta.house.gov,TRUE
pappas.house.gov,TRUE
pascrell.house.gov,TRUE
payne.house.gov,TRUE
pelosi.house.gov,TRUE
pence.house.gov,TRUE
periodical.house.gov,TRUE
perlmutter.house.gov,TRUE
perry.house.gov,TRUE
pfluger.house.gov,TRUE
phillips.house.gov,TRUE
pingree.house.gov,TRUE
plaskett.house.gov,TRUE
pocan.house.gov,TRUE
porter.house.gov,TRUE
posey.house.gov,TRUE
prekcaucus-castro.house.gov,TRUE
pressgallery.house.gov,TRUE
pressley.house.gov,TRUE
price.house.gov,TRUE
privatepropertyrightscaucus-reed.house.gov,TRUE
problemsolverscaucus.house.gov,TRUE
progressives.house.gov,TRUE
quigley.house.gov,TRUE
radewagen.house.gov,TRUE
radiotv.house.gov,TRUE
rangeandtestingcaucus-desjarlais.house.gov,TRUE
raskin.house.gov,TRUE
repcloakroom.house.gov,TRUE
republicanpolicy.house.gov,TRUE
republicans-agriculture.house.gov,TRUE
republicans-appropriations.house.gov,TRUE
republicans-armedservices.house.gov,TRUE
republicans-budget.house.gov,TRUE
republicans-cha.house.gov,TRUE
republicans-climatecrisis.house.gov,TRUE
republicans-edlabor.house.gov,TRUE
republicans-energycommerce.house.gov,TRUE
republicans-financialservices.house.gov,TRUE
republicans-homeland.house.gov,TRUE
republicans-intelligence.house.gov,TRUE
republicans-judiciary.house.gov,TRUE
republicans-naturalresources.house.gov,TRUE
republicans-oversight.house.gov,TRUE
republicans-rules.house.gov,TRUE
republicans-science.house.gov,TRUE
republicans-smallbusiness.house.gov,TRUE
republicans-transportation.house.gov,TRUE
republicans-veterans.house.gov,TRUE
reschenthaler.house.gov,TRUE
rice.house.gov,TRUE
ritchietorres.house.gov,TRUE
robinkelly.house.gov,TRUE
rodneydavis.house.gov,TRUE
rosendale.house.gov,TRUE
ross.house.gov,TRUE
rouzer.house.gov,TRUE
roy.house.gov,TRUE
roybal-allard.house.gov,TRUE
rubengallego.house.gov,TRUE
ruiz.house.gov,TRUE
rules.house.gov,TRUE
ruppersberger.house.gov,TRUE
rush.house.gov,TRUE
rutherford.house.gov,TRUE
sablan.house.gov,TRUE
safeclimatecaucus-lowenthal.house.gov,TRUE
salazar.house.gov,TRUE
sannicolas.house.gov,TRUE
sarajacobs.house.gov,TRUE
sarbanes.house.gov,TRUE
scalise.house.gov,TRUE
scanlon.house.gov,TRUE
schakowsky.house.gov,TRUE
schiff.house.gov,TRUE
schneider.house.gov,TRUE
schrader.house.gov,TRUE
schrier.house.gov,TRUE
schweikert.house.gov,TRUE
science.house.gov,TRUE
scottpeters.house.gov,TRUE
seanmaloney.house.gov,TRUE
sessions.house.gov,TRUE
sewell.house.gov,TRUE
sherman.house.gov,TRUE
sherrill.house.gov,TRUE
shontelbrown.house.gov,TRUE
simpson.house.gov,TRUE
sires.house.gov,TRUE
slotkin.house.gov,TRUE
smallbusiness.house.gov,TRUE
smucker.house.gov,TRUE
soto.house.gov,TRUE
spanberger.house.gov,TRUE
spartz.house.gov,TRUE
speakers-task-force-intergovernmental-affairs-robbishop.house.gov,TRUE
speier.house.gov,TRUE
stansbury.house.gov,TRUE
stanton.house.gov,TRUE
starbasecaucus-lowenthal.house.gov,TRUE
stauber.house.gov,TRUE
steel.house.gov,TRUE
stefanik.house.gov,TRUE
steil.house.gov,TRUE
steube.house.gov,TRUE
stevens.house.gov,TRUE
stewart.house.gov,TRUE
strickland.house.gov,TRUE
submarinecaucus-courtney.house.gov,TRUE
suozzi.house.gov,TRUE
susielee.house.gov,TRUE
swalwell.house.gov,TRUE
sylviagarcia.house.gov,TRUE
takano.house.gov,TRUE
teddeutch.house.gov,TRUE
tenney.house.gov,TRUE
thompson.house.gov,TRUE
tiffany.house.gov,TRUE
timmons.house.gov,TRUE
timryan.house.gov,TRUE
titus.house.gov,TRUE
tlaib.house.gov,TRUE
tonko.house.gov,TRUE
torres.house.gov,TRUE
trahan.house.gov,TRUE
transparencycaucus-quigley.house.gov,TRUE
transportation.house.gov,TRUE
trentkelly.house.gov,TRUE
trone.house.gov,TRUE
troycarter.house.gov,TRUE
turner.house.gov,TRUE
underwood.house.gov,TRUE
upton.house.gov,TRUE
uschinaworkinggroup-larsen.house.gov,TRUE
uscode.house.gov,TRUE
usjapancaucus-castro.house.gov,TRUE
valadao.house.gov,TRUE
valleyfevertaskforce-schweikert.house.gov,TRUE
vandrew.house.gov,TRUE
vanduyne.house.gov,TRUE
vantaylor.house.gov,TRUE
vargas.house.gov,TRUE
veasey.house.gov,TRUE
velazquez.house.gov,TRUE
veterans.house.gov,TRUE
votingrightscaucus-veasey.house.gov,TRUE
wagner.house.gov,TRUE
walberg.house.gov,TRUE
walorski.house.gov,TRUE
waltz.house.gov,TRUE
wassermanschultz.house.gov,TRUE
waters.house.gov,TRUE
watsoncoleman.house.gov,TRUE
waysandmeans.house.gov,TRUE
weber.house.gov,TRUE
webprojects-cao.house.gov,TRUE
webster.house.gov,TRUE
webvendors-cao.house.gov,TRUE
welch.house.gov,TRUE
wenstrup.house.gov,TRUE
westerman.house.gov,TRUE
westerncaucus.house.gov,TRUE
wexton.house.gov,TRUE
whistleblower.house.gov,TRUE
wild.house.gov,TRUE
williams.house.gov,TRUE
wilson.house.gov,TRUE
winecaucus-mikethompson.house.gov,TRUE
wittman.house.gov,TRUE
womack.house.gov,TRUE
workforwarriorscaucus-takano.house.gov,TRUE
workingforests-westerman.house.gov,TRUE
cecc.gov,TRUE
csce.gov,TRUE
dems.gov,TRUE
gop.gov,TRUE
house.gov,TRUE
jct.gov,TRUE
majorityleader.gov,TRUE
majoritywhip.gov,TRUE
openworld.gov,TRUE
republicanleader.gov,TRUE
republicanwhip.gov,TRUE
speaker.gov,TRUE
uscp.gov,TRUE
yarmuth.house.gov,TRUE
youngkim.house.gov,TRUE
zeldin.house.gov,TRUE
