target_url,source_list_search_gov_mil
amphib7flt.navy.mil,TRUE
andersen.af.mil,TRUE
angtec.ang.af.mil,TRUE
arcp.army.mil,TRUE
army.mil,TRUE
armyupress.army.mil,TRUE
arnold.af.mil,TRUE
arnorth.army.mil,TRUE
arpc.afrc.af.mil,TRUE
aschq.army.mil,TRUE
atlanticarea.uscg.mil,TRUE
aviano.af.mil,TRUE
barksdale.af.mil,TRUE
beale.af.mil,TRUE
beaufort.marines.mil,TRUE
bmtflightphotos.af.mil,TRUE
buckley.spaceforce.mil,TRUE
c6f.navy.mil,TRUE
cannon.af.mil,TRUE
climate.mil,TRUE
cnmoc.usff.navy.mil,TRUE
cnrc.navy.mil,TRUE
cpf.navy.mil,TRUE
creech.af.mil,TRUE
ctoinnovation.mil,TRUE
cybercom.mil,TRUE
cyberspacecapabilitiescenter.af.mil,TRUE
dantes.mil,TRUE
dasadec.army.mil,TRUE
data.af.mil,TRUE
dcaa.mil,TRUE
dcma.mil,TRUE
dcms.uscg.mil,TRUE
dco.uscg.mil,TRUE
defensetravel.dod.mil,TRUE
disa.mil,TRUE
dobbins.afrc.af.mil,TRUE
dodig.mil,TRUE
dote.osd.mil,TRUE
dover.af.mil,TRUE
dyess.af.mil,TRUE
e-publishing.af.mil,TRUE
eads.ang.af.mil,TRUE
edwards.af.mil,TRUE
eglin.af.mil,TRUE
eielson.af.mil,TRUE
ellsworth.af.mil,TRUE
erdc.hpc.mil,TRUE
esd.whs.mil,TRUE
europeafrica.army.mil,TRUE
expeditionarycenter.af.mil,TRUE
fairchild.af.mil,TRUE
first.army.mil,TRUE
goodfellow.af.mil,TRUE
grandforks.af.mil,TRUE
grissom.afrc.af.mil,TRUE
hanscom.af.mil,TRUE
hill.af.mil,TRUE
holloman.af.mil,TRUE
honorguard.af.mil,TRUE
hurlburt.af.mil,TRUE
il.ngb.army.mil,TRUE
incirlik.af.mil,TRUE
jag.navy.mil,TRUE
jagreporter.af.mil,TRUE
japan.marines.mil,TRUE
jba.af.mil,TRUE
jbab.jb.mil,TRUE
jber.jb.mil,TRUE
jtf-spacedefense.mil,TRUE
jtfb.southcom.mil,TRUE
jtnc.mil,TRUE
kadena.af.mil,TRUE
keesler.af.mil,TRUE
kirtland.af.mil,TRUE
kunsan.af.mil,TRUE
lakenheath.af.mil,TRUE
laughlin.af.mil,TRUE
learningprofessionals.af.mil,TRUE
littlerock.af.mil,TRUE
losangeles.spaceforce.mil,TRUE
luke.af.mil,TRUE
macdill.af.mil,TRUE
malmstrom.af.mil,TRUE
march.afrc.af.mil,TRUE
marforpac.marines.mil,TRUE
marineband.marines.mil,TRUE
marines.mil,TRUE
marsoc.marines.mil,TRUE
maxwell.af.mil,TRUE
mcasiwakuni.marines.mil,TRUE
mcasiwakunijp.marines.mil,TRUE
mcbbutler.marines.mil,TRUE
mcchord.af.mil,TRUE
mcconnell.af.mil,TRUE
mcieast.marines.mil,TRUE
mciwest.marines.mil,TRUE
me.ng.mil,TRUE
metc.mil,TRUE
mhpcc.hpc.mil,TRUE
mildenhall.af.mil,TRUE
minneapolis.afrc.af.mil,TRUE
minot.af.mil,TRUE
miramar-ems.marines.mil,TRUE
misawa.af.mil,TRUE
moguard.ngb.mil,TRUE
moody.af.mil,TRUE
mortuary.af.mil,TRUE
mountainhome.af.mil,TRUE
msc.usff.navy.mil,TRUE
music.af.mil,TRUE
mycg.uscg.mil,TRUE
mynavyhr.navy.mil,TRUE
nationalmuseum.af.mil,TRUE
navfac.navy.mil,TRUE
navy.mil,TRUE
navyreserve.navy.mil,TRUE
nellis.af.mil,TRUE
nepa.navy.mil,TRUE
netc.navy.mil,TRUE
netcents.af.mil,TRUE
news.uscg.mil,TRUE
niagara.afrc.af.mil,TRUE
nrl.navy.mil,TRUE
offutt.af.mil,TRUE
okinawa.marines.mil,TRUE
osan.af.mil,TRUE
osi.af.mil,TRUE
pa.ng.mil,TRUE
pacaf.af.mil,TRUE
pacificarea.uscg.mil,TRUE
pacom.mil,TRUE
pittsburgh.afrc.af.mil,TRUE
pope.af.mil,TRUE
psmagazine.army.mil,TRUE
ramstein.af.mil,TRUE
retirees.af.mil,TRUE
robins.af.mil,TRUE
safety.af.mil,TRUE
safia.hq.af.mil,TRUE
safie.hq.af.mil,TRUE
scguard.ng.mil,TRUE
schriever.spaceforce.mil,TRUE
scott.af.mil,TRUE
seymourjohnson.af.mil,TRUE
shaw.af.mil,TRUE
sheppard.af.mil,TRUE
southcom.mil,TRUE
spaceforce.mil,TRUE
spangdahlem.af.mil,TRUE
spoc.spaceforce.mil,TRUE
sublant.usff.navy.mil,TRUE
surflant.usff.navy.mil,TRUE
surfpac.navy.mil,TRUE
swt-wc.usace.army.mil,TRUE
tinker.af.mil,TRUE
tobyhanna.army.mil,TRUE
torch.aetc.af.mil,TRUE
trademark.af.mil,TRUE
travel.dod.mil,TRUE
travis.af.mil,TRUE
trngcmd.marines.mil,TRUE
tyndall.af.mil,TRUE
usace.army.mil,TRUE
usafa.af.mil,TRUE
usafmcom.army.mil,TRUE
usariem.army.mil,TRUE
usarj.army.mil,TRUE
uscg.mil,TRUE
usff.navy.mil,TRUE
vance.af.mil,TRUE
veterans-in-blue.af.mil,TRUE
warren.af.mil,TRUE
westover.afrc.af.mil,TRUE
whiteman.af.mil,TRUE
whs.mil,TRUE
woundedwarrior.af.mil,TRUE
wpafb.af.mil,TRUE
wv.ng.mil,TRUE
yokota.af.mil,TRUE
youngstown.afrc.af.mil,TRUE
