target_url,source_list_usagov_clicks_mil
dpaa-mil.sites.crmforce.mil,TRUE
dpris.dod.mil,TRUE
ds-itsmweb.dc3n.navy.mil,TRUE
dsb.cto.mil,TRUE
dtod.transport.mil,TRUE
dunham.tricare.mil,TRUE
dwp.dmdc.osd.mil,TRUE
dyess.tricare.mil,TRUE
eagle.dla.mil,TRUE
earth-info.nga.mil,TRUE
edmgateway.dfas.mil,TRUE
eeo.amedd.army.mil,TRUE
efmp.amedd.army.mil,TRUE
efmpeducationdirectory.militaryonesource.mil,TRUE
eielson.tricare.mil,TRUE
eisenhower.tricare.mil,TRUE
elearn.uscg.mil,TRUE
elearning.uscg.mil,TRUE
ellsworth.tricare.mil,TRUE
elmendorfrichardson.tricare.mil,TRUE
emma-web.dmdc.osd.mil,TRUE
employees.hr.dla.mil,TRUE
erdc-library.erdc.dren.mil,TRUE
evaluations.hrc.army.mil,TRUE
evans.tricare.mil,TRUE
exwc.navfac.navy.mil,TRUE
fairchild.tricare.mil,TRUE
fewarren.tricare.mil,TRUE
ffr.cnic.navy.mil,TRUE
fifeanddrum.army.mil,TRUE
fl.ng.mil,TRUE
flisancillaryu.dla.mil,TRUE
fmso.tradoc.army.mil,TRUE
forms.documentservices.dla.mil,TRUE
forms.osi.apps.mil,TRUE
frcse.navair.navy.mil,TRUE
frcsw.navair.navy.mil,TRUE
ftp.arl.army.mil,TRUE
futurearmyofficers.army.mil,TRUE
fvsembassy.fvse.mil,TRUE
ga.ng.mil,TRUE
gcss.army.mil,TRUE
geospatial-lrp.usace.army.mil,TRUE
gfebs.army.mil,TRUE
goodfellow.tricare.mil,TRUE
goordnance.army.mil,TRUE
grandforks.tricare.mil,TRUE
grgb.navy.mil,TRUE
guantanamo.tricare.mil,TRUE
gulflink.health.mil,TRUE
guthrie.tricare.mil,TRUE
gwg.nga.mil,TRUE
hanscom.tricare.mil,TRUE
hcm.direct-access.uscg.mil,TRUE
health.mil,TRUE
hearing.health.mil,TRUE
hill.tricare.mil,TRUE
history.army.mil,TRUE
history.redstone.army.mil,TRUE
holloman.tricare.mil,TRUE
home.army.mil,TRUE
home.daas.dla.mil,TRUE
homeport.uscg.mil,TRUE
hqda.etms2.army.mil,TRUE
hurlburt.tricare.mil,TRUE
iase.disa.mil,TRUE
iatraining.disa.mil,TRUE
idco.dmdc.osd.mil,TRUE
ig.army.mil,TRUE
info.nga.mil,TRUE
innovation.army.mil,TRUE
installations.militaryonesource.mil,TRUE
intranet.tradoc.army.mil,TRUE
iperms.hrc.army.mil,TRUE
iperms.mymilrecord.uscg.mil,TRUE
ipps-a.army.mil,TRUE
ireland.tricare.mil,TRUE
irwin.tricare.mil,TRUE
jacksonville.tricare.mil,TRUE
jag.navylive.dodlive.mil,TRUE
jitc.fhu.disa.mil,TRUE
jko.jten.mil,TRUE
jkodirect.jten.mil,TRUE
jobs.navair.navy.mil,TRUE
jpeoaa.army.mil,TRUE
jrm.cnic.navy.mil,TRUE
jst.doded.mil,TRUE
jts.health.mil,TRUE
juniorofficer.army.mil,TRUE
kadena.tricare.mil,TRUE
keesler.tricare.mil,TRUE
keller.tricare.mil,TRUE
kenner.tricare.mil,TRUE
kesselrun.af.mil,TRUE
kimbrough.tricare.mil,TRUE
kirtland.tricare.mil,TRUE
kunsan.tricare.mil,TRUE
ky.ng.mil,TRUE
landandmaritimeapps.dla.mil,TRUE
landstuhl.tricare.mil,TRUE
langleyeustis.tricare.mil,TRUE
laughlin.tricare.mil,TRUE
leave.af.mil,TRUE
lemoore.tricare.mil,TRUE
leonard-wood.tricare.mil,TRUE
lewismcchord.tricare.mil,TRUE
littlerock.tricare.mil,TRUE
losangeles.tricare.mil,TRUE
lre-wm.usace.army.mil,TRUE
luke.tricare.mil,TRUE
lyster.tricare.mil,TRUE
macdill.tricare.mil,TRUE
madigan.tricare.mil,TRUE
madsciblog.tradoc.army.mil,TRUE
malmstrom.tricare.mil,TRUE
manuals.health.mil,TRUE
map.nga.mil,TRUE
martin.tricare.mil,TRUE
maxwell.tricare.mil,TRUE
mcconnell.tricare.mil,TRUE
mcdonald.tricare.mil,TRUE
mcguiredixlakehurst.tricare.mil,TRUE
mctims.usmc.mil,TRUE
mdwhome.mdw.army.mil,TRUE
medcoe.army.mil,TRUE
medicalmuseum.health.mil,TRUE
medlinet.amedd.army.mil,TRUE
medpros.mods.army.mil,TRUE
mhs-europe.tricare.mil,TRUE
milconnect.dmdc.osd.mil,TRUE
mildenhall.usaf.afpims.mil,TRUE
millifelearning.militaryonesource.mil,TRUE
minationalguard.dodlive.mil,TRUE
minot.tricare.mil,TRUE
misawa.tricare.mil,TRUE
mla.dmdc.osd.mil,TRUE
mobcop.aoc.army.pentagon.mil,TRUE
mol.usmc.mil,TRUE
moncrief.tricare.mil,TRUE
moody.tricare.mil,TRUE
mountainhome.tricare.mil,TRUE
mpp.acq.osd.mil,TRUE
mrc-europe.army.mil,TRUE
mrdc.health.mil,TRUE
mrdg.health.mil,TRUE
mris.dmdc.osd.mil,TRUE
mrsi.erdc.dren.mil,TRUE
msepjobs.militaryonesource.mil,TRUE
msi.nga.mil,TRUE
munson.tricare.mil,TRUE
my.navy.mil,TRUE
my.portal.uscg.mil,TRUE
myaccess.dmdc.osd.mil,TRUE
myarmybenefits.us.army.mil,TRUE
myfss.us.af.mil,TRUE
myinvestigation.nbis.mil,TRUE
mypay.dfas.mil,TRUE
myseco.militaryonesource.mil,TRUE
myvector.us.af.mil,TRUE
naples.tricare.mil,TRUE
navalsafetycommand.navy.mil,TRUE
navigation.usace.army.mil,TRUE
navydsrc.hpc.mil,TRUE
navyfamily.navy.mil,TRUE
ncc.navfac.navy.mil,TRUE
ndia.dtic.mil,TRUE
ndw.cnic.navy.mil,TRUE
ne.ng.mil,TRUE
nellis.tricare.mil,TRUE
netcom.army.mil,TRUE
newengland.tricare.mil,TRUE
newsroom.tricare.mil,TRUE
nh.ng.mil,TRUE
nhchawaii.tricare.mil,TRUE
nmd.sscno.nmci.navy.mil,TRUE
nrc.uscg.mil,TRUE
nrewwwtest.nre.navy.mil,TRUE
nsa-demo.dod.afpims.mil,TRUE
oakharbor.tricare.mil,TRUE
odin.tradoc.army.mil,TRUE
oe.tradoc.army.mil,TRUE
offutt.tricare.mil,TRUE
ogc.osd.mil,TRUE
oig.dia.mil,TRUE
ok.ng.mil,TRUE
okinawa.tricare.mil,TRUE
osan.tricare.mil,TRUE
outreach.navy.mil,TRUE
p1.dso.mil,TRUE
p2p.navy.mil,TRUE
pac.whs.mil,TRUE
pacific.navfac.navy.mil,TRUE
passportmatters.army.mil,TRUE
path.tamc.amedd.army.mil,TRUE
patrick.tricare.mil,TRUE
paxriver.tricare.mil,TRUE
pearlharborhickam.tricare.mil,TRUE
pensacola.tricare.mil,TRUE
peoc3t.army.mil,TRUE
peoiews.army.mil,TRUE
peosoldier.army.afpims.mil,TRUE
peostri.army.mil,TRUE
permits.ops.usace.army.mil,TRUE
peterson.tricare.mil,TRUE
ph.health.mil,TRUE
phc.amedd.army.mil,TRUE
phcp.health.mil,TRUE
piee.eb.mil,TRUE
pieetraining.eb.mil,TRUE
plainsguardian.dodlive.mil,TRUE
platform.chra.army.mil,TRUE
pope.tricare.mil,TRUE
portal.apps.deas.mil,TRUE
portal.apps.mil,TRUE
portal.daas.dla.mil,TRUE
portal.marinenet.usmc.mil,TRUE
portsmouth.tricare.mil,TRUE
prdweb.afmiscloud.army.mil,TRUE
produpk.dai.csd.disa.mil,TRUE
public.cyber.mil,TRUE
public.logisticsinformationservice.dla.mil,TRUE
purview.dodlive.mil,TRUE
qmmuseum.lee.army.mil,TRUE
qmo.amedd.army.mil,TRUE
qpldocs.dla.mil,TRUE
quantico.tricare.mil,TRUE
quartermaster.army.mil,TRUE
quicksearch.dla.mil,TRUE
rader.tricare.mil,TRUE
rafcroughton.tricare.mil,TRUE
raflakenheath.tricare.mil,TRUE
ramstein.tricare.mil,TRUE
raymond-bliss.tricare.mil,TRUE
rcms.usar.army.mil,TRUE
rdl.train.army.mil,TRUE
recruiting.army.mil,TRUE
redstone.tricare.mil,TRUE
registered.mda.mil,TRUE
resreg.spl.usace.army.mil,TRUE
reynolds.tricare.mil,TRUE
rfpwizard.mrsi.erdc.dren.mil,TRUE
rivergages.mvr.usace.army.mil,TRUE
rms.usace.army.mil,TRUE
robins.tricare.mil,TRUE
rodriguez.tricare.mil,TRUE
rota.tricare.mil,TRUE
rsm.usace.army.mil,TRUE
rt.cto.mil,TRUE
s3i.avmc.army.mil,TRUE
safe.apps.mil,TRUE
safety.army.mil,TRUE
samm.dsca.mil,TRUE
sandiego.tricare.mil,TRUE
scott.tricare.mil,TRUE
scra.dmdc.osd.mil,TRUE
search.af.mil,TRUE
secure.defensetravel.dod.mil,TRUE
serdp-estcp.mil,TRUE
seymourjohnson.tricare.mil,TRUE
shaw.tricare.mil,TRUE
sheppard.tricare.mil,TRUE
sigonella.tricare.mil,TRUE
sill-www.army.mil,TRUE
skillbridge.osd.mil,TRUE
slite.dma.mil,TRUE
smartvoucher.dfas.mil,TRUE
smtc.dodlive.mil,TRUE
software.forge.mil,TRUE
soldierforlife.army.mil,TRUE
southcomclinic.tricare.mil,TRUE
spangdahlem.tricare.mil,TRUE
spanweb.dtsa.mil,TRUE
spork.navsea.navy.mil,TRUE
ssilrc.army.mil,TRUE
static.dma.mil,TRUE
static.e-publishing.af.mil,TRUE
sublant.usff.navy.mil,TRUE
tadlp.tradoc.army.mil,TRUE
talent.army.mil,TRUE
tasa.dodmedia.osd.mil,TRUE
test.public.militarychildcare.csd.disa.mil,TRUE
tinker.tricare.mil,TRUE
tjaglcs.army.mil,TRUE
tjaglcspublic2.army.mil,TRUE
today.dla.mil,TRUE
transportation.army.mil,TRUE
travel.dod.mil,TRUE
travis.tricare.mil,TRUE
tribute.militaryonesource.mil,TRUE
tricare.mil,TRUE
tripler.tricare.mil,TRUE
trips.safety.army.mil,TRUE
twentynine-palms.tricare.mil,TRUE
tyndall.tricare.mil,TRUE
ulc.usace.army.mil,TRUE
us.army.mil,TRUE
usacac.army.mil,TRUE
usacimt.tradoc.army.mil,TRUE
usahca.medcom.amedd.army.mil,TRUE
usammda.health.mil,TRUE
usamraa.health.mil,TRUE
usamriid.health.mil,TRUE
usariem.health.mil,TRUE
uscg.mil,TRUE
usfk.mil,TRUE
usmap.osd.mil,TRUE
usnhistory.navylive.dodlive.mil,TRUE
ut.ng.mil,TRUE
uwww.pacaf.af.mil,TRUE
va.ng.mil,TRUE
vance.tricare.mil,TRUE
vandenberg.tricare.mil,TRUE
vendornxg.seaport.navy.mil,TRUE
vi.ng.mil,TRUE
view.avmc.army.mil,TRUE
vmpf.us.af.mil,TRUE
vt.public.ng.mil,TRUE
w3.saj.usace.army.mil,TRUE
wageandsalary.dcpas.osd.mil,TRUE
walterreed.tricare.mil,TRUE
warriorcare.dodlive.mil,TRUE
water.usace.army.mil,TRUE
wawf.eb.mil,TRUE
web.git.mil,TRUE
web.mail.mil,TRUE
webmail.apps.mil,TRUE
weed-irwin.tricare.mil,TRUE
whiteman.tricare.mil,TRUE
wi.ng.mil,TRUE
wilfordhall.tricare.mil,TRUE
william-beaumont.tricare.mil,TRUE
winn.tricare.mil,TRUE
womack.tricare.mil,TRUE
wrair.health.mil,TRUE
wrightpatterson.tricare.mil,TRUE
ww3.safaq.hq.af.mil,TRUE
101arw.ang.af.mil,TRUE
102iw.ang.af.mil,TRUE
103aw.ang.af.mil,TRUE
104fw.ang.af.mil,TRUE
105aw.ang.af.mil,TRUE
106rqw.ang.af.mil,TRUE
107attackwing.ang.af.mil,TRUE
108thwing.ang.af.mil,TRUE
109aw.ang.af.mil,TRUE
10af.afrc.af.mil,TRUE
10thaamdc.army.mil,TRUE
110wg.ang.af.mil,TRUE
111attackwing.ang.af.mil,TRUE
113wg.ang.af.mil,TRUE
114fw.ang.af.mil,TRUE
115fw.ang.af.mil,TRUE
116acw.ang.af.mil,TRUE
117arw.ang.af.mil,TRUE
118wg.ang.af.mil,TRUE
119wg.ang.af.mil,TRUE
120thairliftwing.ang.af.mil,TRUE
121arw.ang.af.mil,TRUE
122fw.ang.af.mil,TRUE
123aw.ang.af.mil,TRUE
124thfighterwing.ang.af.mil,TRUE
125fw.ang.af.mil,TRUE
126arw.ang.af.mil,TRUE
127wg.ang.af.mil,TRUE
128arw.ang.af.mil,TRUE
129rqw.ang.af.mil,TRUE
12af.acc.af.mil,TRUE
12cab.army.mil,TRUE
12ftw.af.mil,TRUE
130aw.ang.af.mil,TRUE
131bw.ang.af.mil,TRUE
132dwing.ang.af.mil,TRUE
133aw.ang.af.mil,TRUE
134arw.ang.af.mil,TRUE
136aw.ang.af.mil,TRUE
137sow.ang.af.mil,TRUE
138fw.ang.af.mil,TRUE
139aw.ang.af.mil,TRUE
140wg.ang.af.mil,TRUE
141arw.ang.af.mil,TRUE
142wg.ang.af.mil,TRUE
143aw.ang.af.mil,TRUE
144fw.ang.af.mil,TRUE
144fw.ang.af.milwww.144fw.ang.af.mil,TRUE
145aw.ang.af.mil,TRUE
146aw.ang.af.mil,TRUE
147atkw.ang.af.mil,TRUE
148fw.ang.af.mil,TRUE
149fw.ang.af.mil,TRUE
150sow.ang.af.mil,TRUE
151arw.ang.af.mil,TRUE
152aw.ang.af.mil,TRUE
153aw.ang.af.mil,TRUE
154wg.ang.af.mil,TRUE
155arw.ang.af.mil,TRUE
156wg.ang.af.mil,TRUE
157arw.ang.af.mil,TRUE
158fw.ang.af.mil,TRUE
159fw.ang.af.mil,TRUE
15af.acc.af.mil,TRUE
15wing.af.mil,TRUE
161arw.ang.af.mil,TRUE
162wing.ang.af.mil,TRUE
163atkw.ang.af.mil,TRUE
164aw.ang.af.mil,TRUE
165aw.ang.af.mil,TRUE
165aw.ang.af.milwww.165aw.ang.af.mil,TRUE
166aw.ang.af.mil,TRUE
167aw.ang.af.mil,TRUE
169fw.ang.af.mil,TRUE
16af.af.mil,TRUE
171arw.ang.af.mil,TRUE
171arw.ang.af.milwww.171arw.ang.af.mil,TRUE
172aw.ang.af.mil,TRUE
173fw.ang.af.mil,TRUE
174attackwing.ang.af.mil,TRUE
175wg.ang.af.mil,TRUE
176wg.ang.af.mil,TRUE
177fw.ang.af.mil,TRUE
178wing.ang.af.mil,TRUE
179aw.ang.af.mil,TRUE
179cw.ang.af.mil,TRUE
180fw.ang.af.mil,TRUE
181iw.ang.af.mil,TRUE
182aw.ang.af.mil,TRUE
183wg.ang.af.mil,TRUE
184iw.ang.af.mil,TRUE
185arw.ang.af.mil,TRUE
186arw.ang.af.mil,TRUE
187fw.ang.af.mil,TRUE
188wg.ang.af.mil,TRUE
189aw.ang.af.mil,TRUE
18af.amc.af.mil,TRUE
190arw.ang.af.mil,TRUE
192wg.ang.af.mil,TRUE
193sow.ang.af.mil,TRUE
194wg.ang.af.mil,TRUE
195wg.ang.af.mil,TRUE
1af.acc.af.mil,TRUE
1id.army.mil,TRUE
1stmaw.marines.mil,TRUE
1stmcd.marines.mil,TRUE
1stmlg.marines.mil,TRUE
1tsc.army.mil,TRUE
20af.af.mil,TRUE
20cbrne.army.mil,TRUE
21tsc.army.mil,TRUE
22af.afrc.af.mil,TRUE
22ndmeu.marines.mil,TRUE
24sow.af.mil,TRUE
26thmeu.marines.mil,TRUE
29palms.marines.mil,TRUE
2af.aetc.af.mil,TRUE
2cr.army.mil,TRUE
2id.korea.army.mil,TRUE
2ndmlg.marines.mil,TRUE
2sigbde.army.mil,TRUE
301fw.afrc.af.mil,TRUE
302aw.afrc.af.mil,TRUE
307bw.afrc.af.mil,TRUE
310sw.afrc.af.mil,TRUE
315aw.afrc.af.mil,TRUE
33fw.af.mil,TRUE
340ftg.afrc.af.mil,TRUE
349amw.afrc.af.mil,TRUE
350sww.af.mil,TRUE
352sow.af.mil,TRUE
37trw.af.mil,TRUE
388fw.acc.af.mil,TRUE
3rdmardiv.marines.mil,TRUE
3rdmaw.marines.mil,TRUE
403wg.afrc.af.mil,TRUE
409csb.army.mil,TRUE
419fw.afrc.af.mil,TRUE
41fab.army.mil,TRUE
433aw.afrc.af.mil,TRUE
442fw.afrc.af.mil,TRUE
445aw.afrc.af.mil,TRUE
446aw.afrc.af.mil,TRUE
459arw.afrc.af.mil,TRUE
477fg.afrc.af.mil,TRUE
492sow.af.mil,TRUE
4af.afrc.af.mil,TRUE
4thmcd.marines.mil,TRUE
501csw.usafe.af.mil,TRUE
505ccw.acc.af.mil,TRUE
507arw.afrc.af.mil,TRUE
512aw.afrc.af.mil,TRUE
514amw.afrc.af.mil,TRUE
521amow.af.mil,TRUE
53rdwing.af.mil,TRUE
552acw.acc.af.mil,TRUE
557weatherwing.af.mil,TRUE
557weatherwing.af.milwww.557weatherwing.af.mil,TRUE
59mdw.af.mil,TRUE
5af.pacaf.af.mil,TRUE
618tacc.amc.af.mil,TRUE
624rsg.afrc.af.mil,TRUE
7af.pacaf.af.mil,TRUE
7atc.army.mil,TRUE
8af.af.mil,TRUE
908aw.afrc.af.mil,TRUE
913ag.afrc.af.mil,TRUE
916arw.afrc.af.mil,TRUE
919sow.afrc.af.mil,TRUE
920rqw.afrc.af.mil,TRUE
926wing.afrc.af.mil,TRUE
927arw.afrc.af.mil,TRUE
931arw.afrc.af.mil,TRUE
932aw.afrc.af.mil,TRUE
940arw.afrc.af.mil,TRUE
944fw.afrc.af.mil,TRUE
960cyber.afrc.af.mil,TRUE
aaro.mil,TRUE
aatc.ang.af.mil,TRUE
acc.af.mil,TRUE
acc.af.milwww.acc.af.mil,TRUE
acmc.marines.mil,TRUE
acq.osd.mil,TRUE
adr.af.mil,TRUE
aepubs.eur.army.mil,TRUE
aetc.af.mil,TRUE
af.mil,TRUE
af.milwww.af.mil,TRUE
afaa.af.mil,TRUE
afams.af.mil,TRUE
afcec.af.mil,TRUE
afcent.af.mil,TRUE
afdw.af.mil,TRUE
afgsc.af.mil,TRUE
afgsc.af.milwww.afgsc.af.mil,TRUE
afhistory.af.mil,TRUE
afhistoryandmuseums.af.mil,TRUE
afhra.af.mil,TRUE
afhra.af.milwww.afhra.af.mil,TRUE
afimsc.af.mil,TRUE
afinspectorgeneral.af.mil,TRUE
afjag.af.mil,TRUE
aflcmc.af.mil,TRUE
afmaa.af.mil,TRUE
afmc.af.mil,TRUE
afmc.af.milwww.afmc.af.mil,TRUE
afnwc.af.mil,TRUE
afod.eur.army.mil,TRUE
afotec.af.mil,TRUE
afpc.af.mil,TRUE
afrc.af.mil,TRUE
africom.mil,TRUE
afrl.af.mil,TRUE
afsbeurope.army.mil,TRUE
afsc.af.mil,TRUE
afsfc.af.mil,TRUE
afsoc.af.mil,TRUE
afspc.af.mil,TRUE
aft3.af.mil,TRUE
aftc.af.mil,TRUE
agc.army.mil,TRUE
ai.mil,TRUE
aiaccelerator.af.mil,TRUE
airforcebes.af.mil,TRUE
airforcemedicine.af.mil,TRUE
airlant.usff.navy.mil,TRUE
airman.af.mil,TRUE
airmanmagazine.af.mil,TRUE
airpac.navy.mil,TRUE
albany.marines.mil,TRUE
alpenacrtc.ang.af.mil,TRUE
alsa.mil,TRUE
altus.af.mil,TRUE
alu.army.mil,TRUE
amc.af.mil,TRUE
amc.af.milwww.amc.af.mil,TRUE
amc.army.mil,TRUE
amcom.army.mil,TRUE
amlc.army.mil,TRUE
amphib7flt.navy.mil,TRUE
andersen.af.mil,TRUE
ang.af.mil,TRUE
angtec.ang.af.mil,TRUE
applocker.navy.mil,TRUE
arcp.army.mil,TRUE
arcyber.army.mil,TRUE
arlingtoncemetery.mil,TRUE
army.mil,TRUE
armyhealthfacilities.amedd.army.mil,TRUE
armyignited.army.mil,TRUE
armyresilience.army.mil,TRUE
armyupress.army.mil,TRUE
arnold.af.mil,TRUE
arnold.af.milwww.arnold.af.mil,TRUE
arnorth.army.mil,TRUE
arpc.afrc.af.mil,TRUE
arsouth.army.mil,TRUE
asafm.army.mil,TRUE
asbca.mil,TRUE
aschq.army.mil,TRUE
ask.army.mil,TRUE
atec.army.mil,TRUE
atlanticarea.uscg.mil,TRUE
atrrs.army.mil,TRUE
aviano.af.mil,TRUE
avmc.army.mil,TRUE
awg.army.mil,TRUE
barksdale.af.mil,TRUE
barracks.marines.mil,TRUE
basictraining.af.mil,TRUE
beale.af.mil,TRUE
beaufort.marines.mil,TRUE
beready.af.mil,TRUE
bic.marines.mil,TRUE
blueangels.navy.mil,TRUE
bmtflightphotos.af.mil,TRUE
bootcamp.navy.mil,TRUE
bracpmo.navy.mil,TRUE
buckley.spaceforce.mil,TRUE
c2f.usff.navy.mil,TRUE
c3f.navy.mil,TRUE
c6f.navy.mil,TRUE
c7f.navy.mil,TRUE
cac.mil,TRUE
cannon.af.mil,TRUE
cape.osd.mil,TRUE
capl.army.mil,TRUE
career-satisfaction.army.mil,TRUE
ccad.army.mil,TRUE
ccsg15.navy.mil,TRUE
cecom.army.mil,TRUE
centcom.mil,TRUE
charleston.af.mil,TRUE
cid.army.mil,TRUE
cims.army.mil,TRUE
citamn.afrc.af.mil,TRUE
climate.mil,TRUE
cloud.mil,TRUE
clwp.navy.mil,TRUE
cmc.marines.mil,TRUE
cnatra.navy.mil,TRUE
cnic.navy.mil,TRUE
cnmoc.usff.navy.mil,TRUE
cnrc.navy.mil,TRUE
columbus.af.mil,TRUE
compliance.af.mil,TRUE
cool.osd.mil,TRUE
cpf.navy.mil,TRUE
cprw1.navy.mil,TRUE
creech.af.mil,TRUE
csg4.usff.navy.mil,TRUE
csp.navy.mil,TRUE
cto.mil,TRUE
ctoinnovation.mil,TRUE
cusnc.navy.mil,TRUE
cybercom.mil,TRUE
cyberspacecapabilitiescenter.af.mil,TRUE
daip.jcs.mil,TRUE
dami.army.pentagon.mil,TRUE
dantes.mil,TRUE
darpa.mil,TRUE
dasadec.army.mil,TRUE
data.af.mil,TRUE
dc3.mil,TRUE
dcaa.mil,TRUE
dcma.mil,TRUE
dcms.uscg.mil,TRUE
dco.uscg.mil,TRUE
dcpas.osd.mil,TRUE
dcsa.mil,TRUE
de.ng.mil,TRUE
defenseculture.mil,TRUE
defensesbirsttr.mil,TRUE
defensetravel.dod.mil,TRUE
defensetravel.osd.mil,TRUE
denix.osd.mil,TRUE
deomi.mil,TRUE
dfas.mil,TRUE
dhra.mil,TRUE
dia-old.mil,TRUE
dia.mil,TRUE
dibbs.bsm.dla.mil,TRUE
dimoc.mil,TRUE
dinfos.dma.mil,TRUE
disa.mil,TRUE
diu.mil,TRUE
dla.mil,TRUE
dm.af.mil,TRUE
dma.mil,TRUE
dmcs.marines.mil,TRUE
dmdc.osd.mil,TRUE
dobbins.afrc.af.mil,TRUE
doctrine.af.mil,TRUE
dod.mil,TRUE
dodclearinghouse.osd.mil,TRUE
dodcui.mil,TRUE
dodig.mil,TRUE
dodmantech.mil,TRUE
dodsbirsttr.mil,TRUE
dodtap.mil,TRUE
doncio.navy.mil,TRUE
dote.osd.mil,TRUE
dover.af.mil,TRUE
dpaa.mil,TRUE
dsca.mil,TRUE
dso.marines.mil,TRUE
dsp.dla.mil,TRUE
dspo.mil,TRUE
dtic.mil,TRUE
dtra.mil,TRUE
dtsa.mil,TRUE
dyess.af.mil,TRUE
